model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
V64,66,0.0,0.8694099789429949,0.8668215253581107,0.8689024390243902,0.8392170071601868,0.7872791518859323,35,0.80116789492338,per-rate-test-oracle
V64,66,0.1,0.8558734071162651,0.8532649260320547,0.8551829268292683,0.8957913517951965,0.7500970118843336,35,0.80116789492338,per-rate-test-oracle
V64,66,0.2,0.8324733049461066,0.8284893946740441,0.8323170731707317,0.9285773038864136,0.6889550532019986,41,0.80116789492338,per-rate-test-oracle
V64,66,0.3,0.8221321919611272,0.8168356392555578,0.823170731707317,0.9222949743270874,0.6783560804136917,34,0.80116789492338,per-rate-test-oracle
V64,66,0.4,0.8139321826570669,0.8092295957284517,0.8140243902439024,0.9421507120132446,0.6764652600589833,80,0.80116789492338,per-rate-test-oracle
V64,66,0.5,0.7576802186405242,0.7517369416973116,0.7576219512195121,1.0590953826904297,0.614776458735306,29,0.80116789492338,per-rate-test-oracle
V64,66,0.6,0.7669318377421666,0.7599915273003861,0.7682926829268293,1.0494531393051147,0.6055993776362874,36,0.80116789492338,per-rate-test-oracle
V64,66,0.7,0.7619930354023999,0.7537033244590075,0.7652439024390244,1.0509614944458008,0.5802781325939945,34,0.80116789492338,per-rate-test-oracle
V64,67,0.0,0.879419362297312,0.8762816702356482,0.8795731707317073,0.7602670788764954,0.8024492863828262,56,0.801243595803066,per-rate-test-oracle
V64,67,0.1,0.8611033160639923,0.8574890125499239,0.8612804878048781,0.9220921993255615,0.7477487355439757,30,0.801243595803066,per-rate-test-oracle
V64,67,0.2,0.8305734765117184,0.8250157621611136,0.8323170731707317,0.8420700430870056,0.7410546395071015,51,0.801243595803066,per-rate-test-oracle
V64,67,0.3,0.8074119272327835,0.8021599264705883,0.8079268292682927,0.9040621519088745,0.7113694364129927,55,0.801243595803066,per-rate-test-oracle
V64,67,0.4,0.7637005858924987,0.7565452091767881,0.7652439024390244,1.062146544456482,0.5865185636637094,30,0.801243595803066,per-rate-test-oracle
V64,67,0.5,0.7660740160466144,0.7596361781462616,0.7667682926829268,1.034435749053955,0.6014029485498867,55,0.801243595803066,per-rate-test-oracle
V64,67,0.6,0.7860156926413792,0.7774161830956963,0.7911585365853658,0.9774413108825684,0.6440246900170243,60,0.801243595803066,per-rate-test-oracle
V64,67,0.7,0.7670894021219025,0.7602708108939837,0.7682926829268293,1.0497535467147827,0.5898621396982949,30,0.801243595803066,per-rate-test-oracle
V64,68,0.0,0.8714523919850597,0.867818077144502,0.8719512195121951,0.8312867283821106,0.7910088980581766,40,0.8025708821150357,per-rate-test-oracle
V64,68,0.1,0.8531788434767464,0.8491014520534816,0.8536585365853658,0.7748252749443054,0.7678844149342889,53,0.8025708821150357,per-rate-test-oracle
V64,68,0.2,0.8426125667097369,0.8383598674688707,0.8429878048780488,0.8310308456420898,0.7414438149011429,53,0.8025708821150357,per-rate-test-oracle
V64,68,0.3,0.8229918350006692,0.8184299689811501,0.823170731707317,0.8979637026786804,0.6975440031818771,93,0.8025708821150357,per-rate-test-oracle
V64,68,0.4,0.7945320148516467,0.788413583277972,0.7957317073170732,0.9559851884841919,0.6649078209842526,31,0.8025708821150357,per-rate-test-oracle
V64,68,0.5,0.7785551613969685,0.771514817287319,0.7804878048780488,1.0259368419647217,0.6371429933370171,21,0.8025708821150357,per-rate-test-oracle
V64,68,0.6,0.7677837863632492,0.7586895606769452,0.7728658536585366,1.0199254751205444,0.6034663473367745,65,0.8025708821150357,per-rate-test-oracle
V64,68,0.7,0.7187123826239622,0.7060310363231725,0.7286585365853658,1.117458462715149,0.5157215288245791,47,0.8025708821150357,per-rate-test-oracle
V64,69,0.0,0.8789877836334679,0.8754754610440318,0.8795731707317073,0.8906018733978271,0.7902253144428859,40,0.8016182036370145,per-rate-test-oracle
