variant,heads,key_dim,value_dim,output_dim,parameter_count,trainable_parameter_count,selected_8rate_mean,selected_8rate_std,selected_delta_vs_H4,per_rate_oracle_mean,per_rate_oracle_delta_vs_H4,high_missing_oracle_mean,high_missing_delta_vs_H4
H8,8,32,32,500,6428017,5567857,79.98734604956402,0.4626084757692938,-0.060903459830925044,80.61556479666233,-0.03801702702561727,76.44281704392274,0.16410713056603754
KV64,4,64,64,500,6428001,5567841,79.68974608277095,0.1270900388666329,-0.35850342662399726,80.37242069585734,-0.2811611278306003,76.04204840634084,-0.2366615070158673
V64,4,32,64,500,5903201,5043041,80.0697576381495,0.22019497261566184,0.02150812875454733,80.71486499888958,0.06128317520163762,76.34293041718949,0.06422050383278588
Out700,4,32,32,700,5442577,4582417,79.8232092935426,0.5786032007221097,-0.22504021585234568,80.5561191462225,-0.0974626774654439,76.19547910974472,-0.08323080361198265
H8+Out700,8,32,32,700,7181217,6321057,80.26679315741299,0.43493262687553824,0.21854364801804138,80.78053892987991,0.12695710619196632,76.58607345304237,0.3073635396856673
