variant,rate,mean_weighted_f1,std_weighted_f1
H8,0.0,87.18690374364927,0.5219856333844481
H8,0.1,85.27845927836972,0.20685316608842086
H8,0.2,82.84669104919129,0.8583844479376472
H8,0.3,81.11846479113358,0.778192357282939
H8,0.4,79.16554837918648,2.008310523611987
H8,0.5,77.36515784340604,1.009177402136344
H8,0.6,76.76077627052462,1.0294696562912677
H8,0.7,75.20251701783758,2.4817591118139295
KV64,0.0,87.35074994867084,0.2570958643498556
KV64,0.1,85.08394116742781,0.7270061886251556
KV64,0.2,82.53139308617882,1.2492216326844825
KV64,0.3,80.98304279488443,0.4530647939753225
KV64,0.4,78.90409335067433,2.0635147212558396
KV64,0.5,76.82955367896079,1.446407641627336
KV64,0.6,76.18092063169924,0.6328878463413659
KV64,0.7,75.11567090836252,1.9535776696394007
V64,0.0,87.6294152855571,0.5539649036485159
V64,0.1,85.1174009205372,0.9240098870373104
V64,0.2,82.9712144884806,1.0410571523040102
V64,0.3,81.69766565552892,0.8451581039142733
V64,0.4,79.27443238944436,1.9660018224696576
V64,0.5,76.99973761504386,1.2832415242756166
V64,0.6,76.76378975103125,1.2530602628946714
V64,0.7,75.26526388549335,1.9446279821946966
Out700,0.0,87.51195933045831,0.44669214720417516
Out700,0.1,85.21993211667397,1.095241369503736
Out700,0.2,82.92804416489969,1.27923064068376
Out700,0.3,81.10373752708263,1.2257495897029314
Out700,0.4,79.09884270143127,1.8060648640866304
Out700,0.5,76.7791668272918,1.2938801338655053
Out700,0.6,76.78126531361413,0.7959593856226844
Out700,0.7,75.02600518832823,2.1165693348601624
H8+Out700,0.0,87.63943809423003,0.6691543232357169
H8+Out700,0.1,85.3650030645389,0.35715786440516956
H8+Out700,0.2,82.69300146766665,1.0898802373074918
H8+Out700,0.3,81.43857741263993,0.6513351799745968
H8+Out700,0.4,79.35007104083668,1.5210677518432671
H8+Out700,0.5,77.30039427225338,0.8248215716026045
H8+Out700,0.6,76.80363411567652,0.5347057798016938
H8+Out700,0.7,75.65419197119722,1.939684490177307
H8+V64+Out700,0.0,87.35585517939445,0.3662905037720871
H8+V64+Out700,0.1,85.47379963416839,0.3667796230507222
H8+V64+Out700,0.2,82.74246505066164,0.9795674826094647
H8+V64+Out700,0.3,81.28391504562146,0.6520293382960742
H8+V64+Out700,0.4,79.43581230410628,1.653102451829172
H8+V64+Out700,0.5,77.01193124093174,0.9733413727757148
H8+V64+Out700,0.6,76.97883559919171,0.8596318008108924
H8+V64+Out700,0.7,75.33199318545968,1.891688215073987
H4-KV64-700,0.0,87.40199993352317,0.4987383671387357
H4-KV64-700,0.1,85.0919883031437,0.8649291044889323
H4-KV64-700,0.2,82.75983145208295,1.2259201379488727
H4-KV64-700,0.3,81.3421000428187,0.7360500280443315
H4-KV64-700,0.4,78.8319236514223,1.1557401003462766
H4-KV64-700,0.5,77.13295487923844,1.1648125471350457
H4-KV64-700,0.6,76.64451451139485,0.5183688963809888
H4-KV64-700,0.7,75.002757928429,2.315725959543595
H4-Output900,0.0,87.36645398522107,0.6335017843498006
H4-Output900,0.1,85.34603313868509,0.3162871654444755
H4-Output900,0.2,82.78074023724257,1.0868189824251309
H4-Output900,0.3,81.17404491948375,1.2716312431448413
H4-Output900,0.4,79.15741576791572,1.8087433613177928
H4-Output900,0.5,77.174346511907,1.6118887831810331
H4-Output900,0.6,76.79858613971624,0.9405955159890521
H4-Output900,0.7,75.29054372668182,1.6653333851222645
H4-Output1000,0.0,87.54940467072913,0.7058926137117085
H4-Output1000,0.1,85.09865120044256,0.8653581553668765
H4-Output1000,0.2,83.27263405989592,0.7081934959007209
H4-Output1000,0.3,81.53563054549424,0.5330636811784313
H4-Output1000,0.4,79.20291220744006,1.4518372744501293
H4-Output1000,0.5,76.69855564187363,0.6959295643651593
H4-Output1000,0.6,76.27606270190729,0.692917050086731
H4-Output1000,0.7,75.06450760130433,2.368465754540875
