dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
IEMOCAPFour,0.1,audio,133,5,0.03759398496240601
IEMOCAPFour,0.1,text,138,1,0.007246376811594203
IEMOCAPFour,0.1,visual,114,3,0.02631578947368421
