seed,pattern,observed_count,checkpoint_rate,checkpoint_epoch,weighted_f1,accuracy,mae,correlation
66,A,1,0.7,58,53.84827857937717,53.65853658536586,1.5235953330993652,0.03399080692690474
66,AL,2,0.3,67,84.33947982300215,84.60365853658537,0.8135373592376709,0.7758632672286349
66,ALV,3,0.0,64,86.53310773176815,86.58536585365853,0.8855311274528503,0.7974964744351661
66,AV,2,0.3,67,59.1657800356695,59.14634146341463,1.3433505296707153,0.21894603445356542
66,L,1,0.7,58,84.50676136651745,84.45121951219512,1.0684187412261963,0.7520288258512825
66,LV,2,0.3,67,85.49764833862025,85.67073170731707,0.7653886079788208,0.7877678836690287
66,V,1,0.7,58,57.8952273560586,58.6890243902439,1.4844368696212769,0.2406452507816314
67,A,1,0.7,66,48.993129197596325,48.78048780487805,1.5460222959518433,-0.0161183509937811
67,AL,2,0.3,37,85.00190817016967,85.21341463414635,0.854569137096405,0.7495698581307418
67,ALV,3,0.0,60,87.33140135528721,87.34756097560977,0.7545189261436462,0.7978409240662294
67,AV,2,0.3,37,55.8377477765078,56.40243902439024,1.4072518348693848,0.06981041327938325
67,L,1,0.7,66,84.8403915777439,85.0609756097561,0.7968684434890747,0.7698321946206462
67,LV,2,0.3,37,84.04466571908843,84.29878048780488,0.8882318139076233,0.7233980126756898
67,V,1,0.7,66,46.107037666292534,50.30487804878049,1.5260089635849,0.1468540605582889
68,A,1,0.7,46,44.246342536771415,48.78048780487805,1.51611328125,0.07374874447703411
68,AL,2,0.3,41,85.8761966277324,86.1280487804878,0.796678900718689,0.7694835065953665
68,ALV,3,0.0,68,87.5,87.5,0.7719367146492004,0.8053899883416701
68,AV,2,0.3,41,59.177622408134646,59.29878048780488,1.3407841920852661,0.19761921318251474
68,L,1,0.7,46,84.83211381407929,85.21341463414635,0.8405231237411499,0.7526794813138368
68,LV,2,0.3,41,86.20924091511264,86.28048780487805,0.8085610270500183,0.7732971184573928
68,V,1,0.7,46,43.35464871842935,50.762195121951216,1.4440382719039917,0.2635294809531705
