rate,joint_mean,joint_sd,emotion_only_mean,emotion_only_sd,state_mean,state_sd,delta_vs_joint,positive_vs_joint,delta_vs_emotion_only,positive_vs_emotion_only
0.0,87.41675823136406,0.22363251911304963,87.32341065072627,0.20225279722849604,87.33998596533787,0.39145119301533754,-0.07677226602617111,3,0.016575314611606017,2
0.1,85.3978675263429,0.7190867406514985,84.96087049766918,0.6813743233629393,84.97930249819474,0.3396062059707921,-0.4185650281481742,1,0.018432000525567104,3
0.2,81.93533089486353,1.1953096313654312,82.21291888970214,1.0633794073119223,82.21971356419478,0.9269831470414284,0.28438266933125933,4,0.006794674492647345,2
0.3,80.90709582532651,0.8903471381837074,80.93765432411051,0.6127434906816671,80.89495749384481,0.5068871653979912,-0.012138331481699538,2,-0.04269683026570022,2
0.4,78.08756137088544,1.0333595596528224,78.61869658964585,2.080093675120577,77.9275760558685,1.7550844560383423,-0.15998531501693664,3,-0.6911205337773509,1
0.5,76.62993445059381,1.0638203511695492,76.52329890251306,1.1366461112029782,76.3506669092338,1.210187045384335,-0.2792675413600193,2,-0.172631993279262,2
0.6,75.0903066447032,0.8347113390585674,75.53513005194148,0.2564114824561143,75.59144493804106,0.7032855592069985,0.5011382933378513,4,0.05631488609958239,3
0.7,74.55283562008108,2.172177519600399,74.49216794056731,2.2018751587249894,73.81675412185359,2.869647120115908,-0.7360814982274888,2,-0.6754138187137186,1
all8,80.00221132052006,0.46770925105372785,80.07551848085947,0.45244212996148986,79.89005019332114,0.17366578474113406,-0.11216112719892238,1,-0.18546828753832473,2
high,75.42435890512604,0.876699663000675,75.51686563167395,0.6159848317608554,75.25295532304281,0.42423633985082837,-0.171403582083218,1,-0.263910308631128,1
