dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.5,audio,312,32,0.10256410256410256
CMUMOSI,0.5,text,309,26,0.08414239482200647
CMUMOSI,0.5,visual,325,20,0.06153846153846154
