audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=069 train_wf1=0.8895 validation_wf1=0.7655 cls=0.5952 jepa=2.4926
epoch=070 train_wf1=0.8917 validation_wf1=0.7709 cls=0.6638 jepa=2.5762
epoch=071 train_wf1=0.8904 validation_wf1=0.7725 cls=0.6365 jepa=2.5115
epoch=072 train_wf1=0.8872 validation_wf1=0.7697 cls=0.6726 jepa=2.5125
epoch=073 train_wf1=0.8892 validation_wf1=0.7785 cls=0.5736 jepa=2.4907
epoch=074 train_wf1=0.9026 validation_wf1=0.7692 cls=0.6110 jepa=2.5191
epoch=075 train_wf1=0.9006 validation_wf1=0.7713 cls=0.6506 jepa=2.4924
epoch=076 train_wf1=0.8791 validation_wf1=0.7660 cls=0.6717 jepa=2.5361
epoch=077 train_wf1=0.8791 validation_wf1=0.7742 cls=0.5971 jepa=2.4511
epoch=078 train_wf1=0.9040 validation_wf1=0.7925 cls=0.6089 jepa=2.5158
epoch=079 train_wf1=0.9140 validation_wf1=0.7861 cls=0.5526 jepa=2.4276
epoch=080 train_wf1=0.9049 validation_wf1=0.7911 cls=0.5725 jepa=2.4625
epoch=081 train_wf1=0.9035 validation_wf1=0.7618 cls=0.5425 jepa=2.4350
epoch=082 train_wf1=0.8811 validation_wf1=0.7550 cls=0.5774 jepa=2.4657
epoch=083 train_wf1=0.9018 validation_wf1=0.7610 cls=0.5426 jepa=2.4422
epoch=084 train_wf1=0.8809 validation_wf1=0.7444 cls=0.5423 jepa=2.5041
epoch=085 train_wf1=0.8994 validation_wf1=0.7691 cls=0.5974 jepa=2.4328
epoch=086 train_wf1=0.9029 validation_wf1=0.7725 cls=0.5847 jepa=2.4787
epoch=087 train_wf1=0.8858 validation_wf1=0.7591 cls=0.6017 jepa=2.4408
epoch=088 train_wf1=0.8962 validation_wf1=0.7533 cls=0.6025 jepa=2.4555
epoch=089 train_wf1=0.8910 validation_wf1=0.7502 cls=0.5694 jepa=2.3528
epoch=090 train_wf1=0.8919 validation_wf1=0.7613 cls=0.5469 jepa=2.4347
epoch=091 train_wf1=0.9128 validation_wf1=0.7541 cls=0.4632 jepa=2.3774
epoch=092 train_wf1=0.8968 validation_wf1=0.7516 cls=0.6075 jepa=2.4520
epoch=093 train_wf1=0.8945 validation_wf1=0.7729 cls=0.5834 jepa=2.3478
epoch=094 train_wf1=0.8884 validation_wf1=0.7723 cls=0.6727 jepa=2.4235
epoch=095 train_wf1=0.9161 validation_wf1=0.7827 cls=0.4847 jepa=2.3657
epoch=096 train_wf1=0.9122 validation_wf1=0.7742 cls=0.4920 jepa=2.4369
epoch=097 train_wf1=0.9164 validation_wf1=0.7436 cls=0.4593 jepa=2.4043
epoch=098 train_wf1=0.8965 validation_wf1=0.7456 cls=0.6080 jepa=2.4426
epoch=099 train_wf1=0.9078 validation_wf1=0.7392 cls=0.4579 jepa=2.3421
epoch=100 train_wf1=0.8930 validation_wf1=0.7626 cls=0.6195 jepa=2.4478
