seed,rate,no_jepa_wf1,text_core_wf1,delta,selected_epoch,text_core_centered_cosine,text_core_pred_target_std_ratio
66,0.0,0.8746649050245099,0.8662900924654019,-0.008374812559107991,49,,0.8479190806144693
67,0.0,0.8697969823904403,0.8691363307583253,-0.0006606516321150391,42,,0.6287073416380967
68,0.0,0.8747369905986095,0.8720121463804565,-0.0027248442181529997,34,,0.7028730820323067
69,0.0,0.8737267460601196,0.8645985590283211,-0.009128187031798518,41,,0.8171072625617483
70,0.0,0.8732449084626344,0.8661586362006295,-0.007086272262004867,25,,1.2430491894255875
66,0.1,0.8606961736398836,0.8446570645863898,-0.016039109053493816,53,0.20686926311474071,0.6756404188235975
67,0.1,0.8488926185751124,0.8535859797957247,0.004693361220612258,28,0.20858049077915194,0.5328447415539459
68,0.1,0.8488101920216966,0.8447896015970836,-0.004020590424613002,34,0.07300427706058528,0.7374685259176668
69,0.1,0.8420110330509841,0.8273513749123504,-0.01465965813863368,29,0.125160805440636,0.952675497606463
70,0.1,0.8476335075957818,0.846558822008116,-0.001074685587665769,25,0.10760856974805345,1.2248313174953358
66,0.2,0.8260436999144509,0.8227986696273011,-0.0032450302871498415,49,0.17264000148105207,0.9179121539690474
67,0.2,0.8363056295303274,0.84341786325608,0.007112233725752648,45,0.16417047506501467,0.733546630193754
68,0.2,0.8244712235973529,0.8158342728955995,-0.00863695070175341,70,0.17003886446176883,0.7252752960991687
69,0.2,0.8152124569154068,0.808527298051992,-0.0066851588634148085,26,0.140275752460891,0.5905763633869211
70,0.2,0.8086129345275687,0.8232548688111065,0.014641934283537883,24,0.18645236535178292,1.044075801370775
66,0.3,0.8113878258762106,0.7983053441527962,-0.013082481723414419,53,0.10821240402646719,0.7122513704053445
67,0.3,0.8024740002329799,0.8065391659926799,0.004065165759700062,28,0.1221461715629441,0.5549141515152743
68,0.3,0.8075530803714405,0.8112001490194376,0.0036470686479971315,54,0.18753200818837074,0.8511927346830835
69,0.3,0.8187597950614899,0.8045359397213467,-0.014223855340143143,29,0.17234864248367257,1.0034870128450313
70,0.3,0.8067080146634045,0.8031025029918135,-0.003605511671590955,52,0.17590734702036798,0.8883802167883045
66,0.4,0.810784375345543,0.7983053441527962,-0.012479031192746848,53,0.07640869322678379,0.77032008216582
67,0.4,0.7554871885657127,0.7748253695458202,0.019338180980107422,46,0.13492984757523477,0.7638295277212159
68,0.4,0.7913060294566705,0.7844211520429583,-0.006884877413712243,98,0.14582435661656115,0.9178314977591809
69,0.4,0.777832185337731,0.7797679756382078,0.0019357903004767474,29,0.12796957934300396,1.0306745744168697
70,0.4,0.7955250507766353,0.7791195202278631,-0.01640553054877214,39,0.12433116513429218,0.8935053926757719
66,0.5,0.7735113573070099,0.7640510047648349,-0.009460352542175032,49,0.17490276070247252,1.016982286449079
67,0.5,0.7533865557120616,0.7515984060146773,-0.001788149697384278,100,0.1948813917015156,0.8461568197794486
68,0.5,0.7791195202278631,0.7881606942832253,0.0090411740553622,33,0.15553015246338642,0.8106377399951943
69,0.5,0.7656345683027924,0.7636351784047146,-0.001999389898077797,41,0.10269180061618828,0.8121574568031651
70,0.5,0.7545129435759259,0.748653247155844,-0.0058596964200818835,39,0.1156097997878083,0.9021477243357292
66,0.6,0.7541366879345974,0.7548309496020025,0.0006942616674050495,50,0.17361155274760667,1.0016608333725727
67,0.6,0.7547981029909067,0.7738389911487273,0.01904088815782068,48,0.12348175932382606,0.9617171711204759
68,0.6,0.7590882070755458,0.7651488811113811,0.006060674035835323,60,0.1574900493524235,0.9519176195869128
69,0.6,0.7564421181799231,0.7544397865853658,-0.002002331594557316,29,0.13095050416935144,1.072852500826419
70,0.6,0.7522913864161006,0.747503057221379,-0.004788329194721608,39,0.10255447222287697,0.8921544026880582
66,0.7,0.7549917143504451,0.7571737736177508,0.002182059267305747,53,0.07218485826576898,0.8352327945686281
67,0.7,0.7597623996659827,0.7570250491143624,-0.0027373505516202767,47,0.14452361130242963,0.897032241522949
68,0.7,0.7089495785328294,0.6984519489029921,-0.010497629629837246,48,0.07959596540743319,0.8408799348484798
69,0.7,0.7619083633039142,0.7534630982036968,-0.00844526510021737,29,0.13071335245172105,1.0740859298724938
70,0.7,0.7389963411751944,0.7329560129971,-0.006040328178094412,39,0.11790953524130142,0.8671709790386894
