variant,seed,rate,pattern,count,weighted_f1
no-JEPA,68,0.1,AV,57,0.6491228070175439
no-JEPA,68,0.1,AT,50,0.8593526691887348
no-JEPA,68,0.1,ATV,489,0.8568507157464212
no-JEPA,68,0.2,V,29,0.6258085532132719
no-JEPA,68,0.2,T,19,0.8947368421052632
no-JEPA,68,0.2,TV,97,0.8154773061989556
no-JEPA,68,0.2,A,25,0.595093555093555
no-JEPA,68,0.2,AV,91,0.7391079508726567
no-JEPA,68,0.2,AT,83,0.8554216867469879
no-JEPA,68,0.2,ATV,342,0.8536409092037024
no-JEPA,68,0.3,V,41,0.6787672527888069
no-JEPA,68,0.3,T,63,0.7671335200746966
no-JEPA,68,0.3,TV,102,0.8155188556021455
no-JEPA,68,0.3,A,49,0.6792292459739766
no-JEPA,68,0.3,AV,97,0.6842993859308542
no-JEPA,68,0.3,AT,96,0.9072557876905702
no-JEPA,68,0.3,ATV,238,0.8326957937888925
no-JEPA,68,0.4,V,70,0.5430824415261021
no-JEPA,68,0.4,T,68,0.9117647058823529
no-JEPA,68,0.4,TV,108,0.8888888888888888
no-JEPA,68,0.4,A,87,0.7099668232221221
no-JEPA,68,0.4,AV,92,0.5889122200263504
no-JEPA,68,0.4,AT,96,0.8224013502502618
no-JEPA,68,0.4,ATV,165,0.8715653214022925
no-JEPA,68,0.5,V,105,0.6410562770562771
no-JEPA,68,0.5,T,117,0.8559670781893002
no-JEPA,68,0.5,TV,90,0.8232841103921243
no-JEPA,68,0.5,A,116,0.6938943129280538
no-JEPA,68,0.5,AV,88,0.6804584304584305
no-JEPA,68,0.5,AT,92,0.8580312917682207
no-JEPA,68,0.5,ATV,78,0.8725961538461539
no-JEPA,68,0.6,V,152,0.6017723344254515
no-JEPA,68,0.6,T,150,0.8276078431372549
no-JEPA,68,0.6,TV,67,0.8805970149253731
no-JEPA,68,0.6,A,154,0.7180424764576236
no-JEPA,68,0.6,AV,52,0.6317016317016316
no-JEPA,68,0.6,AT,73,0.8484610069127226
no-JEPA,68,0.6,ATV,38,0.9735104452253157
no-JEPA,68,0.7,V,203,0.625615763546798
no-JEPA,68,0.7,T,137,0.8966500934447618
no-JEPA,68,0.7,TV,44,0.7966942148760331
no-JEPA,68,0.7,A,188,0.5709926674837468
no-JEPA,68,0.7,AV,46,0.5883235687120979
no-JEPA,68,0.7,AT,46,0.8695652173913043
no-JEPA,68,0.7,ATV,22,0.7722567287784678
no-JEPA,69,0.0,ATV,686,0.8593733686722597
no-JEPA,69,0.1,V,7,0.7142857142857143
no-JEPA,69,0.1,T,7,0.8507936507936508
no-JEPA,69,0.1,TV,52,0.8659578903481342
no-JEPA,69,0.1,A,9,0.6222222222222222
no-JEPA,69,0.1,AV,58,0.6117059891107078
no-JEPA,69,0.1,AT,49,0.876600985221675
no-JEPA,69,0.1,ATV,504,0.8606655974338412
no-JEPA,69,0.2,V,24,0.662004662004662
no-JEPA,69,0.2,T,23,0.8685481820493264
no-JEPA,69,0.2,TV,80,0.8501879699248122
no-JEPA,69,0.2,A,29,0.5795241913926759
no-JEPA,69,0.2,AV,87,0.6793592565419417
no-JEPA,69,0.2,AT,96,0.7935571687840289
no-JEPA,69,0.2,ATV,347,0.8441466660800316
no-JEPA,69,0.3,V,46,0.7161841480778357
no-JEPA,69,0.3,T,45,0.8894660894660894
no-JEPA,69,0.3,TV,102,0.8140778964179518
no-JEPA,69,0.3,A,50,0.5342657342657343
no-JEPA,69,0.3,AV,94,0.7276144251932953
no-JEPA,69,0.3,AT,105,0.838653021244976
no-JEPA,69,0.3,ATV,244,0.8761099726775957
no-JEPA,69,0.4,V,79,0.620253164556962
no-JEPA,69,0.4,T,78,0.8709935897435898
no-JEPA,69,0.4,TV,96,0.8743055555555556
no-JEPA,69,0.4,A,90,0.57
no-JEPA,69,0.4,AV,101,0.7014193900593066
no-JEPA,69,0.4,AT,91,0.8159517901453385
no-JEPA,69,0.4,ATV,151,0.8539481864290018
no-JEPA,69,0.5,V,125,0.616
no-JEPA,69,0.5,T,133,0.8591077411391289
no-JEPA,69,0.5,TV,88,0.8636363636363636
no-JEPA,69,0.5,A,123,0.6678206136900078
no-JEPA,69,0.5,AV,77,0.663022113022113
no-JEPA,69,0.5,AT,70,0.8160733384262796
no-JEPA,69,0.5,ATV,70,0.8584126984126985
no-JEPA,69,0.6,V,151,0.6874626366512037
no-JEPA,69,0.6,T,166,0.8439220181470081
no-JEPA,69,0.6,TV,56,0.8106566226628062
no-JEPA,69,0.6,A,148,0.6472734753984755
no-JEPA,69,0.6,AV,51,0.5207434325081383
no-JEPA,69,0.6,AT,65,0.845329134802819
no-JEPA,69,0.6,ATV,49,0.8775510204081632
no-JEPA,69,0.7,V,173,0.7327800974644666
no-JEPA,69,0.7,T,194,0.8758079681319231
no-JEPA,69,0.7,TV,53,0.9429262905613384
no-JEPA,69,0.7,A,156,0.5852383717860725
no-JEPA,69,0.7,AV,48,0.5491803278688524
no-JEPA,69,0.7,AT,47,0.8885377278627461
no-JEPA,69,0.7,ATV,15,0.9339366515837104
no-JEPA,70,0.0,ATV,686,0.8631282206002417
no-JEPA,70,0.1,V,6,0.6666666666666666
no-JEPA,70,0.1,T,5,0.888888888888889
no-JEPA,70,0.1,TV,64,0.9053552492046659
no-JEPA,70,0.1,A,8,0.5333333333333333
no-JEPA,70,0.1,AV,56,0.6595238095238096
no-JEPA,70,0.1,AT,55,0.8162337662337663
no-JEPA,70,0.1,ATV,492,0.8580519579622631
no-JEPA,70,0.2,V,30,0.5041128084606346
no-JEPA,70,0.2,T,26,0.8501759678230266
no-JEPA,70,0.2,TV,74,0.877686618575601
no-JEPA,70,0.2,A,25,0.6329064039408867
no-JEPA,70,0.2,AV,93,0.6029171457967681
no-JEPA,70,0.2,AT,85,0.811608364275943
no-JEPA,70,0.2,ATV,353,0.8556138211895391
no-JEPA,70,0.3,V,63,0.6651411136536994
no-JEPA,70,0.3,T,45,0.8674603174603175
no-JEPA,70,0.3,TV,115,0.7398410358985156
no-JEPA,70,0.3,A,44,0.7183600713012477
no-JEPA,70,0.3,AV,98,0.7318513119533528
no-JEPA,70,0.3,AT,86,0.8271501250156873
no-JEPA,70,0.3,ATV,235,0.8648258601662008
no-JEPA,70,0.4,V,70,0.6773333333333335
no-JEPA,70,0.4,T,82,0.864041172521817
no-JEPA,70,0.4,TV,95,0.8825659841401349
no-JEPA,70,0.4,A,83,0.6441401971522452
no-JEPA,70,0.4,AV,107,0.6542056074766355
no-JEPA,70,0.4,AT,109,0.8070742823320508
no-JEPA,70,0.4,ATV,140,0.9004166666666666
no-JEPA,70,0.5,V,113,0.6690079180251514
no-JEPA,70,0.5,T,118,0.85570781536574
no-JEPA,70,0.5,TV,84,0.8939898006084616
no-JEPA,70,0.5,A,128,0.5555146155735691
no-JEPA,70,0.5,AV,84,0.6077659903182614
no-JEPA,70,0.5,AT,86,0.8372093023255814
no-JEPA,70,0.5,ATV,73,0.8865515187611673
no-JEPA,70,0.6,V,116,0.6643355809609601
no-JEPA,70,0.6,T,164,0.8425033087540177
no-JEPA,70,0.6,TV,62,0.7905953849898854
no-JEPA,70,0.6,A,150,0.6824498501853639
no-JEPA,70,0.6,AV,75,0.6025487256371814
no-JEPA,70,0.6,AT,80,0.8125880143952433
no-JEPA,70,0.6,ATV,39,0.8719638963541402
no-JEPA,70,0.7,V,194,0.6405571397236236
no-JEPA,70,0.7,T,175,0.854024462076851
no-JEPA,70,0.7,TV,41,0.811588592076397
no-JEPA,70,0.7,A,176,0.6544097017964614
no-JEPA,70,0.7,AV,35,0.5571560724197172
no-JEPA,70,0.7,AT,54,0.8494965553789083
no-JEPA,70,0.7,ATV,11,1.0
Text-Core,66,0.0,ATV,686,0.8480239674511065
Text-Core,66,0.1,V,8,0.7500000000000001
Text-Core,66,0.1,T,7,0.6
Text-Core,66,0.1,TV,62,0.8598744708801636
Text-Core,66,0.1,A,7,0.8571428571428571
Text-Core,66,0.1,AV,58,0.6896551724137931
Text-Core,66,0.1,AT,51,0.8081140350877193
Text-Core,66,0.1,ATV,493,0.8557467490876962
Text-Core,66,0.2,V,32,0.6945701357466063
Text-Core,66,0.2,T,23,0.6790405966607339
Text-Core,66,0.2,TV,87,0.8870892836410078
Text-Core,66,0.2,A,21,0.7023809523809523
Text-Core,66,0.2,AV,96,0.6479179104477613
Text-Core,66,0.2,AT,82,0.797016286994553
Text-Core,66,0.2,ATV,345,0.8585842190016103
Text-Core,66,0.3,V,41,0.6647225167903853
Text-Core,66,0.3,T,43,0.8619951040391676
Text-Core,66,0.3,TV,80,0.8129411764705882
Text-Core,66,0.3,A,48,0.7916666666666666
Text-Core,66,0.3,AV,122,0.6426123193902876
Text-Core,66,0.3,AT,105,0.8186319948593851
Text-Core,66,0.3,ATV,247,0.8393511250654108
Text-Core,66,0.4,V,96,0.7184753119913184
Text-Core,66,0.4,T,71,0.7746478873239436
Text-Core,66,0.4,TV,102,0.8627450980392157
Text-Core,66,0.4,A,73,0.6634286657392781
Text-Core,66,0.4,AV,94,0.7189292122898892
Text-Core,66,0.4,AT,103,0.8547538720844228
Text-Core,66,0.4,ATV,147,0.8443692940180059
Text-Core,66,0.5,V,122,0.6185545831792596
Text-Core,66,0.5,T,129,0.869002382854759
Text-Core,66,0.5,TV,94,0.8939071566731142
Text-Core,66,0.5,A,102,0.6740166151930856
Text-Core,66,0.5,AV,85,0.6146835073107025
Text-Core,66,0.5,AT,80,0.778515625
Text-Core,66,0.5,ATV,74,0.7898270941749201
Text-Core,66,0.6,V,161,0.6377182077635564
Text-Core,66,0.6,T,144,0.8481770833333334
Text-Core,66,0.6,TV,83,0.8207599629286376
Text-Core,66,0.6,A,136,0.6678743961352657
Text-Core,66,0.6,AV,66,0.5926190848738182
Text-Core,66,0.6,AT,63,0.8897504379541081
Text-Core,66,0.6,ATV,33,0.8792335115864528
Text-Core,66,0.7,V,173,0.6885919334935378
Text-Core,66,0.7,T,202,0.8422306877152362
Text-Core,66,0.7,TV,48,0.8537139689578715
Text-Core,66,0.7,A,168,0.6879315719741251
Text-Core,66,0.7,AV,41,0.4730423620025674
Text-Core,66,0.7,AT,38,0.8695150574849823
Text-Core,66,0.7,ATV,16,0.875
Text-Core,67,0.0,ATV,686,0.8549968114788389
Text-Core,67,0.1,V,6,0.8380952380952381
Text-Core,67,0.1,T,7,0.7142857142857143
Text-Core,67,0.1,TV,59,0.864406779661017
Text-Core,67,0.1,A,5,0.6
Text-Core,67,0.1,AV,62,0.7623436471362738
Text-Core,67,0.1,AT,61,0.8348656033082262
Text-Core,67,0.1,ATV,486,0.8462777886646199
Text-Core,67,0.2,V,24,0.6814814814814816
Text-Core,67,0.2,T,16,0.8102226720647774
Text-Core,67,0.2,TV,85,0.8175915649278579
Text-Core,67,0.2,A,19,0.6734449760765551
Text-Core,67,0.2,AV,93,0.7184388689765033
Text-Core,67,0.2,AT,80,0.8877647058823529
Text-Core,67,0.2,ATV,369,0.8704313892520443
Text-Core,67,0.3,V,53,0.663288409703504
Text-Core,67,0.3,T,58,0.8399187019876674
Text-Core,67,0.3,TV,93,0.8599485746570683
Text-Core,67,0.3,A,49,0.5807726864330638
Text-Core,67,0.3,AV,103,0.6797934654950923
Text-Core,67,0.3,AT,97,0.927301394784718
Text-Core,67,0.3,ATV,233,0.8289174340374292
Text-Core,67,0.4,V,94,0.5596706514041707
Text-Core,67,0.4,T,90,0.9111111111111111
Text-Core,67,0.4,TV,85,0.8140954495005549
Text-Core,67,0.4,A,79,0.7334665778369975
Text-Core,67,0.4,AV,92,0.6881038647342994
Text-Core,67,0.4,AT,93,0.8104105571847507
Text-Core,67,0.4,ATV,153,0.7918375869757042
Text-Core,67,0.5,V,120,0.6917582417582419
Text-Core,67,0.5,T,110,0.7804841897233201
Text-Core,67,0.5,TV,85,0.8231242561596314
Text-Core,67,0.5,A,125,0.6104898567632381
Text-Core,67,0.5,AV,85,0.6728512193407828
Text-Core,67,0.5,AT,81,0.8391531620649191
Text-Core,67,0.5,ATV,80,0.8628825069546717
Text-Core,67,0.6,V,161,0.6353241823305903
Text-Core,67,0.6,T,153,0.8355172853615663
Text-Core,67,0.6,TV,58,0.9148453942043064
Text-Core,67,0.6,A,148,0.6768548587617449
Text-Core,67,0.6,AV,65,0.7222887169756239
Text-Core,67,0.6,AT,68,0.9132421340629274
Text-Core,67,0.6,ATV,33,0.8500168520390967
Text-Core,67,0.7,V,187,0.6922542712222347
Text-Core,67,0.7,T,171,0.8694207027540362
Text-Core,67,0.7,TV,41,0.750609756097561
Text-Core,67,0.7,A,168,0.6942117258092991
Text-Core,67,0.7,AV,55,0.5943548387096774
Text-Core,67,0.7,AT,46,0.8695652173913043
Text-Core,67,0.7,ATV,18,0.9442724458204333
Text-Core,68,0.0,ATV,686,0.8577228607678797
Text-Core,68,0.1,V,3,0.3333333333333333
Text-Core,68,0.1,T,8,0.7333333333333334
Text-Core,68,0.1,TV,75,0.8670995670995671
Text-Core,68,0.1,A,4,0.8571428571428571
Text-Core,68,0.1,AV,57,0.5742690058479533
Text-Core,68,0.1,AT,50,0.88
Text-Core,68,0.1,ATV,489,0.8553027237932396
Text-Core,68,0.2,V,29,0.72561155319776
Text-Core,68,0.2,T,19,0.7894736842105263
Text-Core,68,0.2,TV,97,0.85431821735012
Text-Core,68,0.2,A,25,0.704
Text-Core,68,0.2,AV,91,0.760848954966602
Text-Core,68,0.2,AT,83,0.8038625088589653
Text-Core,68,0.2,ATV,342,0.8244935072179653
Text-Core,68,0.3,V,41,0.6972512582268681
Text-Core,68,0.3,T,63,0.8262590632961003
Text-Core,68,0.3,TV,102,0.8140778964179518
Text-Core,68,0.3,A,49,0.6976446492575524
Text-Core,68,0.3,AV,97,0.7032417915619856
Text-Core,68,0.3,AT,96,0.8958333333333334
Text-Core,68,0.3,ATV,238,0.8317268083704069
Text-Core,68,0.4,V,70,0.6270541549953316
Text-Core,68,0.4,T,68,0.8201817312290769
Text-Core,68,0.4,TV,108,0.8864100891498152
Text-Core,68,0.4,A,87,0.7491923972654198
Text-Core,68,0.4,AV,92,0.5569428298328554
Text-Core,68,0.4,AT,96,0.8224013502502618
Text-Core,68,0.4,ATV,165,0.8593334472501298
Text-Core,68,0.5,V,105,0.6801104007266883
Text-Core,68,0.5,T,117,0.8398095694034415
Text-Core,68,0.5,TV,90,0.8444444444444444
Text-Core,68,0.5,A,116,0.7126278785006122
Text-Core,68,0.5,AV,88,0.7163966396639665
Text-Core,68,0.5,AT,92,0.8260869565217391
Text-Core,68,0.5,ATV,78,0.8602154819583637
Text-Core,68,0.6,V,152,0.6131026310092182
Text-Core,68,0.6,T,150,0.8212284223203532
Text-Core,68,0.6,TV,67,0.8807566445845639
Text-Core,68,0.6,A,154,0.7100658445196261
Text-Core,68,0.6,AV,52,0.6500915381512395
Text-Core,68,0.6,AT,73,0.8904109589041096
Text-Core,68,0.6,ATV,38,0.8698119505953045
Text-Core,68,0.7,V,203,0.6186258939226719
Text-Core,68,0.7,T,137,0.8772732539155897
Text-Core,68,0.7,TV,44,0.7727272727272727
Text-Core,68,0.7,A,188,0.5501543860833179
Text-Core,68,0.7,AV,46,0.6487232574189096
Text-Core,68,0.7,AT,46,0.8905785935999642
Text-Core,68,0.7,ATV,22,0.7603485838779956
Text-Core,69,0.0,ATV,686,0.8506748141571417
Text-Core,69,0.1,V,7,0.7912087912087912
Text-Core,69,0.1,T,7,0.7023809523809523
Text-Core,69,0.1,TV,52,0.8646942800788954
Text-Core,69,0.1,A,9,0.7777777777777778
Text-Core,69,0.1,AV,58,0.5912778904665315
Text-Core,69,0.1,AT,49,0.8081632653061225
Text-Core,69,0.1,ATV,504,0.8499176964444274
Text-Core,69,0.2,V,24,0.6619047619047619
Text-Core,69,0.2,T,23,0.7809136367488769
Text-Core,69,0.2,TV,80,0.8245580808080808
Text-Core,69,0.2,A,29,0.5186781609195402
Text-Core,69,0.2,AV,87,0.7054287056499647
Text-Core,69,0.2,AT,96,0.8241880341880342
Text-Core,69,0.2,ATV,347,0.8403262048584735
Text-Core,69,0.3,V,46,0.7261904761904762
Text-Core,69,0.3,T,45,0.9119341563786009
Text-Core,69,0.3,TV,102,0.8020062725945077
Text-Core,69,0.3,A,50,0.4883924235065566
Text-Core,69,0.3,AV,94,0.723404255319149
Text-Core,69,0.3,AT,105,0.837496145544249
Text-Core,69,0.3,ATV,244,0.8630142587228695
Text-Core,69,0.4,V,79,0.6480923279743485
Text-Core,69,0.4,T,78,0.858560651313024
