variant,label,seed,rate,pattern,n,weighted_f1
no-jepa,baseline no-JEPA,67,0.0,TEXT_PRESENT,656,0.8697969823904403
no-jepa,baseline no-JEPA,67,0.0,ALL,656,0.8697969823904403
no-jepa,baseline no-JEPA,67,0.1,A,5,0.4
no-jepa,baseline no-JEPA,67,0.1,T,7,0.6714285714285715
no-jepa,baseline no-JEPA,67,0.1,V,6,0.8380952380952381
no-jepa,baseline no-JEPA,67,0.1,AT,55,0.8705516705516704
no-jepa,baseline no-JEPA,67,0.1,AV,59,0.765819209039548
no-jepa,baseline no-JEPA,67,0.1,TV,58,0.8790554948769959
no-jepa,baseline no-JEPA,67,0.1,ATV,466,0.8603666549305783
no-jepa,baseline no-JEPA,67,0.1,NO_TEXT,70,0.7467499699627538
no-jepa,baseline no-JEPA,67,0.1,TEXT_PRESENT,586,0.861342752639021
no-jepa,baseline no-JEPA,67,0.1,ALL,656,0.8488926185751124
no-jepa,baseline no-JEPA,67,0.2,A,18,0.7213622291021671
no-jepa,baseline no-JEPA,67,0.2,T,14,0.789152024446142
no-jepa,baseline no-JEPA,67,0.2,V,24,0.6018518518518519
no-jepa,baseline no-JEPA,67,0.2,AT,75,0.9063660762211486
no-jepa,baseline no-JEPA,67,0.2,AV,92,0.6851178274740687
no-jepa,baseline no-JEPA,67,0.2,TV,81,0.8658312447786131
no-jepa,baseline no-JEPA,67,0.2,ATV,352,0.8787321746880569
no-jepa,baseline no-JEPA,67,0.2,NO_TEXT,134,0.6734036057138854
no-jepa,baseline no-JEPA,67,0.2,TEXT_PRESENT,522,0.878073557317918
no-jepa,baseline no-JEPA,67,0.2,ALL,656,0.8363056295303274
no-jepa,baseline no-JEPA,67,0.3,A,45,0.6497354497354497
no-jepa,baseline no-JEPA,67,0.3,T,56,0.8368012955783481
no-jepa,baseline no-JEPA,67,0.3,V,50,0.662060606060606
no-jepa,baseline no-JEPA,67,0.3,AT,95,0.926163356903925
no-jepa,baseline no-JEPA,67,0.3,AV,99,0.6621997732192558
no-jepa,baseline no-JEPA,67,0.3,TV,89,0.864117358499381
no-jepa,baseline no-JEPA,67,0.3,ATV,222,0.8375657764970743
no-jepa,baseline no-JEPA,67,0.3,NO_TEXT,194,0.6593237166000421
no-jepa,baseline no-JEPA,67,0.3,TEXT_PRESENT,462,0.8608792277241476
no-jepa,baseline no-JEPA,67,0.3,ALL,656,0.8024740002329799
no-jepa,baseline no-JEPA,67,0.4,A,75,0.6399999999999999
no-jepa,baseline no-JEPA,67,0.4,T,88,0.9088530517101945
no-jepa,baseline no-JEPA,67,0.4,V,90,0.5613472886247147
no-jepa,baseline no-JEPA,67,0.4,AT,86,0.7921707699652185
no-jepa,baseline no-JEPA,67,0.4,AV,89,0.6384291480309806
no-jepa,baseline no-JEPA,67,0.4,TV,81,0.8242487770789658
no-jepa,baseline no-JEPA,67,0.4,ATV,147,0.8361507253503812
no-jepa,baseline no-JEPA,67,0.4,NO_TEXT,254,0.6189096519235976
no-jepa,baseline no-JEPA,67,0.4,TEXT_PRESENT,402,0.8401572384988638
no-jepa,baseline no-JEPA,67,0.4,ALL,656,0.7554871885657127
no-jepa,baseline no-JEPA,67,0.5,A,121,0.6037393307139954
no-jepa,baseline no-JEPA,67,0.5,T,105,0.8233122822299652
