dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.7,audio,423,61,0.14420803782505912
CMUMOSI,0.7,text,382,51,0.13350785340314136
CMUMOSI,0.7,visual,408,24,0.058823529411764705
