dataset,missing_rate,overlap_bucket,head_count,max_key_overlap_mean,mean_key_overlap_mean,write_damage_mean,write_damage_median,decay_damage_mean
IEMOCAPFour,0.5,"[0,.1)",2577,0.05116541590397042,0.04948646545397146,0.022034585863340256,0.011719390749931335,0.01193697241141808
IEMOCAPFour,0.5,"[.1,.2)",2878,0.1507870561059479,0.14095305504770517,0.08202393585913106,0.0737539604306221,0.012078286249571123
IEMOCAPFour,0.5,"[.2,.4)",4739,0.2878450446363792,0.2618954250265536,0.1851513907494148,0.16990117728710175,0.0117375777783173
IEMOCAPFour,0.5,"[.4,.6)",1981,0.4838137250696391,0.42476712489958546,0.3503751237112756,0.3440909683704376,0.011906013798658773
IEMOCAPFour,0.5,"[.6,1]",721,0.6803169376145785,0.5865227972750194,0.5632051550027567,0.5639703273773193,0.011815394295557776
