dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
IEMOCAPFour,0.5,audio,555,21,0.03783783783783784
IEMOCAPFour,0.5,text,565,20,0.035398230088495575
IEMOCAPFour,0.5,visual,553,20,0.03616636528028933
