seed,rate,no_jepa_wf1,uniform_wf1,delta,selected_epoch
66,0.0,0.8746649050245099,0.8655714045448489,-0.009093500479660954,48
67,0.0,0.8697969823904403,0.8738994669066071,0.004102484516166793,25
68,0.0,0.8747369905986095,0.86918833084963,-0.005548659748979556,56
69,0.0,0.8737267460601196,0.8733805605374345,-0.00034618552268506075,59
70,0.0,0.8732449084626344,0.8712862485410514,-0.0019586599215829503,23
66,0.1,0.8606961736398836,0.8450180617212614,-0.01567811191862223,53
67,0.1,0.8488926185751124,0.8596142139660481,0.010721595390935645,32
68,0.1,0.8488101920216966,0.8367028311426229,-0.012107360879073714,42
69,0.1,0.8420110330509841,0.8351992946557956,-0.00681173839518856,41
70,0.1,0.8476335075957818,0.8519452929473325,0.004311785351550634,25
66,0.2,0.8260436999144509,0.8177813659669698,-0.008262333947481104,48
67,0.2,0.8363056295303274,0.8457558524665792,0.009450222936251862,32
68,0.2,0.8244712235973529,0.814931374811559,-0.009539848785793947,35
69,0.2,0.8152124569154068,0.8047813063942996,-0.010431150521107213,60
70,0.2,0.8086129345275687,0.8119359549571712,0.00332302042960253,64
66,0.3,0.8113878258762106,0.8083580285058284,-0.0030297973703822256,55
67,0.3,0.8024740002329799,0.8015179201062583,-0.000956080126721548,64
68,0.3,0.8075530803714405,0.8178326042771298,0.010279523905689314,56
69,0.3,0.8187597950614899,0.8094970272331163,-0.009262767828373542,30
70,0.3,0.8067080146634045,0.804910160037496,-0.0017978546259084238,23
66,0.4,0.810784375345543,0.7888333993080638,-0.021950976037479197,44
67,0.4,0.7554871885657127,0.76967759124206,0.014190402676347302,64
68,0.4,0.7913060294566705,0.7818484356247366,-0.009457593831933897,29
69,0.4,0.777832185337731,0.779016551590415,0.0011843662526840326,83
70,0.4,0.7955250507766353,0.7747507082381444,-0.020774342538490864,41
66,0.5,0.7735113573070099,0.7573464377402945,-0.016164919566715397,49
67,0.5,0.7533865557120616,0.7488665072092063,-0.004520048502855256,67
68,0.5,0.7791195202278631,0.7739488174770894,-0.0051707027507736925,27
69,0.5,0.7656345683027924,0.7721582553899626,0.006523687087170216,31
70,0.5,0.7545129435759259,0.7547465017702479,0.00023355819432202551,25
66,0.6,0.7541366879345974,0.7444048391892805,-0.009731848745316962,78
67,0.6,0.7547981029909067,0.7631157757570606,0.008317672766153916,59
68,0.6,0.7590882070755458,0.7682213211539438,0.009133114078398008,26
69,0.6,0.7564421181799231,0.7651488811113811,0.008706762931458,60
70,0.6,0.7522913864161006,0.7353584929844329,-0.016932893431667706,23
66,0.7,0.7549917143504451,0.7462962423341485,-0.008695472016296613,37
67,0.7,0.7597623996659827,0.761116921491684,0.0013545218257012825,67
68,0.7,0.7089495785328294,0.7044062699416765,-0.004543308591152817,26
69,0.7,0.7619083633039142,0.7543179900263994,-0.0075903732775147725,50
70,0.7,0.7389963411751944,0.7343746540337401,-0.004621687141454278,25
