dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.1,fixed0.4,current_observed_write_fit,text,err_after,5,0.5527435302831863,0.011382473390133206
iemocap4,0.1,fixed0.4,current_observed_write_fit,visual,err_after,5,0.37815936157601415,0.013973017721492282
iemocap4,0.1,fixed0.4,retention,audio,err_decay,5,0.39981085482769235,0.028414820103789783
iemocap4,0.1,fixed0.4,retention,text,err_decay,5,0.5606346269006628,0.011432927018514262
iemocap4,0.1,fixed0.4,retention,visual,err_decay,5,0.3960418536808739,0.019216633829833497
iemocap4,0.1,fixed0.4,task,,accuracy,5,0.845447219983884,0.004780788710456485
iemocap4,0.1,fixed0.4,task,,macro_f1,5,0.8428666126393709,0.0057631033904241985
iemocap4,0.1,fixed0.4,task,,weighted_f1,5,0.8456601699598785,0.004914148706945893
iemocap4,0.1,fixed0.6,current_observed_write_fit,audio,err_after,5,0.260346084272219,0.015143077311036743
iemocap4,0.1,fixed0.6,current_observed_write_fit,text,err_after,5,0.38405917095050235,0.008229967855778033
iemocap4,0.1,fixed0.6,current_observed_write_fit,visual,err_after,5,0.25186811576294593,0.010520238105543627
iemocap4,0.1,fixed0.6,retention,audio,err_decay,5,0.2795440531296231,0.021605237955183532
iemocap4,0.1,fixed0.6,retention,text,err_decay,5,0.39795496733851676,0.009331054867621032
iemocap4,0.1,fixed0.6,retention,visual,err_decay,5,0.2744758774812917,0.013129156809859339
iemocap4,0.1,fixed0.6,task,,accuracy,5,0.8464141821112007,0.005147048967823111
iemocap4,0.1,fixed0.6,task,,macro_f1,5,0.844181094151575,0.006363093730198712
iemocap4,0.1,fixed0.6,task,,weighted_f1,5,0.8465144866820075,0.005005988131213818
iemocap4,0.1,fixed0.8,current_observed_write_fit,audio,err_after,5,0.1371139779524593,0.007988624851778677
iemocap4,0.1,fixed0.8,current_observed_write_fit,text,err_after,5,0.20403480317705971,0.004407664476023791
iemocap4,0.1,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1308738562987591,0.0059074884894607495
iemocap4,0.1,fixed0.8,retention,audio,err_decay,5,0.1623172158585505,0.012711028826585927
iemocap4,0.1,fixed0.8,retention,text,err_decay,5,0.2288103590336596,0.006586642135457952
