dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
iemocap4,68,0.1,0.8,0.6,0.0058969311007915914
iemocap4,68,0.1,0.6,0.4,0.0019342616473030372
iemocap4,68,0.1,0.4,0.2,-0.01829869388810601
iemocap4,68,0.1,0.2,0.0,-0.11373425929525449
iemocap4,68,0.3,1.0,0.95,0.0015206630722391923
iemocap4,68,0.3,0.95,0.9,-0.002342459372727479
iemocap4,68,0.3,0.9,0.8,0.0031239098794919595
iemocap4,68,0.3,0.8,0.6,-2.2693594079914448e-05
iemocap4,68,0.3,0.6,0.4,0.009693334404691445
iemocap4,68,0.3,0.4,0.2,-0.018140363017907668
iemocap4,68,0.3,0.2,0.0,-0.1493675875091388
iemocap4,68,0.5,1.0,0.95,0.002318079304390097
iemocap4,68,0.5,0.95,0.9,0.0038728929944429336
iemocap4,68,0.5,0.9,0.8,0.0007511135598053942
iemocap4,68,0.5,0.8,0.6,-0.0006653599798897014
iemocap4,68,0.5,0.6,0.4,-0.0030853498904637178
iemocap4,68,0.5,0.4,0.2,-0.013936678044637052
iemocap4,68,0.5,0.2,0.0,-0.18510030999189186
iemocap4,68,0.7,1.0,0.95,-4.140374406602643e-05
iemocap4,68,0.7,0.95,0.9,2.0309534241369498e-05
iemocap4,68,0.7,0.9,0.8,0.0008425435780524682
iemocap4,68,0.7,0.8,0.6,-0.004718046930454856
iemocap4,68,0.7,0.6,0.4,-0.0016444392461282265
iemocap4,68,0.7,0.4,0.2,-0.02870654737591638
iemocap4,68,0.7,0.2,0.0,-0.213252484033306
iemocap4,68,all,1.0,0.95,0.0012377771822197348
iemocap4,68,all,0.95,0.9,0.0006354836915770656
iemocap4,68,all,0.9,0.8,0.001405276593887006
iemocap4,68,all,0.8,0.6,0.0002554888972372549
iemocap4,68,all,0.6,0.4,0.0014341464703331308
iemocap4,68,all,0.4,0.2,-0.01895545816667099
iemocap4,68,all,0.2,0.0,-0.15059911972963969
iemocap4,69,0,1.0,0.95,0.0008890538908359336
iemocap4,69,0,0.95,0.9,0.0016785617997294722
iemocap4,69,0,0.9,0.8,0.005567940519994763
iemocap4,69,0,0.8,0.6,0.00578764639312046
iemocap4,69,0,0.6,0.4,0.00017708688653961246
iemocap4,69,0,0.4,0.2,-0.00448979282675499
iemocap4,69,0,0.2,0.0,-0.08562790668230191
iemocap4,69,0.1,1.0,0.95,0.003920406573080681
iemocap4,69,0.1,0.95,0.9,0.0016486131613131505
iemocap4,69,0.1,0.9,0.8,0.004866576801506928
iemocap4,69,0.1,0.8,0.6,0.0001800582853751509
iemocap4,69,0.1,0.6,0.4,0.005614974426762509
iemocap4,69,0.1,0.4,0.2,-0.004735943871267523
iemocap4,69,0.1,0.2,0.0,-0.10980586436874362
iemocap4,69,0.3,1.0,0.95,0.004271608644474734
iemocap4,69,0.3,0.95,0.9,-0.0007106619583127083
iemocap4,69,0.3,0.9,0.8,0.002506034811463831
iemocap4,69,0.3,0.8,0.6,0.0018383355288902337
iemocap4,69,0.3,0.6,0.4,-0.003941712606971848
iemocap4,69,0.3,0.4,0.2,-0.002853104369221149
iemocap4,69,0.3,0.2,0.0,-0.11859471642618136
iemocap4,69,0.5,1.0,0.95,0.00011803450594116693
iemocap4,69,0.5,0.95,0.9,0.003181168139769097
iemocap4,69,0.5,0.9,0.8,0.0023209066751888052
iemocap4,69,0.5,0.8,0.6,0.005426071759770057
iemocap4,69,0.5,0.6,0.4,-0.006510536304108028
iemocap4,69,0.5,0.4,0.2,-0.004404371353170955
iemocap4,69,0.5,0.2,0.0,-0.172951763026993
iemocap4,69,0.7,1.0,0.95,0.003138626313176296
iemocap4,69,0.7,0.95,0.9,0.0023417498110411827
iemocap4,69,0.7,0.9,0.8,0.0052447249404149465
iemocap4,69,0.7,0.8,0.6,0.01256896365488025
iemocap4,69,0.7,0.6,0.4,0.0016458010077502472
iemocap4,69,0.7,0.4,0.2,-0.012777097400511472
iemocap4,69,0.7,0.2,0.0,-0.19023271281268173
iemocap4,69,all,1.0,0.95,0.0024675459855018067
iemocap4,69,all,0.95,0.9,0.0016278861907079722
iemocap4,69,all,0.9,0.8,0.004101236749713855
iemocap4,69,all,0.8,0.6,0.00516021512440723
iemocap4,69,all,0.6,0.4,-0.000602877318005457
iemocap4,69,all,0.4,0.2,-0.005852061964185196
iemocap4,69,all,0.2,0.0,-0.13544259266338032
iemocap4,70,0,1.0,0.95,0.0024899925312166227
iemocap4,70,0,0.95,0.9,0.001634918735639035
iemocap4,70,0,0.9,0.8,0.0057639865562510995
iemocap4,70,0,0.8,0.6,0.00252898871110796
iemocap4,70,0,0.6,0.4,-0.005585951894778174
iemocap4,70,0,0.4,0.2,-0.008413153459727929
