dataset,seed,rate,peak_eta,neighbor_eta,neighbor_direction,peak_minus_neighbor
mosi,69,0.3,0.4,0.6,higher,-0.003287282447738127
mosi,70,0.3,0.4,0.6,higher,-0.004430775972116274
mosi,66,0.5,1.0,0.95,lower,0.00015921748667979685
mosi,67,0.5,1.0,0.95,lower,-0.0014538211034776927
mosi,68,0.5,1.0,0.95,lower,-0.003250536096430112
mosi,69,0.5,1.0,0.95,lower,0.00489566967713384
mosi,70,0.5,1.0,0.95,lower,0.0014504839036227901
mosi,66,0.7,0.6,0.4,lower,0.00902321425244057
mosi,67,0.7,0.6,0.4,lower,0.002867177314900271
mosi,68,0.7,0.6,0.4,lower,-0.002698300443640944
mosi,69,0.7,0.6,0.4,lower,0.0002458658788901946
mosi,70,0.7,0.6,0.4,lower,-0.006174617219080081
mosi,66,0.7,0.6,0.8,higher,0.0017359947599625558
mosi,67,0.7,0.6,0.8,higher,0.0022330002063897236
mosi,68,0.7,0.6,0.8,higher,0.005548814276635228
mosi,69,0.7,0.6,0.8,higher,-0.00011536485512708694
mosi,70,0.7,0.6,0.8,higher,0.0018954586469557277
mosi,66,all,0.6,0.4,lower,0.002382082177941114
mosi,67,all,0.6,0.4,lower,0.0005975502425064061
mosi,68,all,0.6,0.4,lower,-0.0033282406476914383
mosi,69,all,0.6,0.4,lower,0.0016960741822409364
mosi,70,all,0.6,0.4,lower,-9.464574494000288e-05
mosi,66,all,0.6,0.8,higher,0.002274092951228157
mosi,67,all,0.6,0.8,higher,0.0019470234595754254
mosi,68,all,0.6,0.8,higher,0.0031180243972476207
mosi,69,all,0.6,0.8,higher,0.00014684745646575958
mosi,70,all,0.6,0.8,higher,-1.2306517451210475e-05
