spec_id,group,learning_rate,batch_size,optimizer,lr_schedule,weight_decay,dropout,projector_dropout,epochs,latent_dim,output_dim,heads,key_dim,value_dim,all8_mean,high_missing_mean,parameter_count,trainable_parameter_count,selected_epochs
cfg05_lr3e4_b16_d2,optimization,0.0003,16,adam,constant,1e-05,0.2,0.1,100,256,700,8,32,32,0.7996159622048357,0.7469111799722463,7181217,6321057,"{""0.0"": 23, ""0.1"": 25, ""0.2"": 21, ""0.3"": 21, ""0.4"": 24, ""0.5"": 21, ""0.6"": 25, ""0.7"": 25}"
cfg09_lr3e4_wd1e3_d3,optimization,0.0003,32,adam,constant,0.001,0.3,0.1,100,256,700,8,32,32,0.7991302604688691,0.7517555532029166,7181217,6321057,"{""0.0"": 56, ""0.1"": 22, ""0.2"": 39, ""0.3"": 30, ""0.4"": 39, ""0.5"": 68, ""0.6"": 62, ""0.7"": 22}"
cfg38_lr3e4_wd1e6_d3,optimization,0.0003,32,adam,constant,1e-06,0.3,0.1,100,256,700,8,32,32,0.7990719946697815,0.7492936745220735,7181217,6321057,"{""0.0"": 34, ""0.1"": 64, ""0.2"": 34, ""0.3"": 34, ""0.4"": 32, ""0.5"": 26, ""0.6"": 25, ""0.7"": 28}"
cfg55_adamw_lr1e3_constant200,schedule,0.001,32,adamw,constant,0.0001,0.5,0.1,200,256,700,8,32,32,0.7989688285928851,0.7513706221390477,7181217,6321057,"{""0.0"": 82, ""0.1"": 65, ""0.2"": 52, ""0.3"": 55, ""0.4"": 50, ""0.5"": 50, ""0.6"": 76, ""0.7"": 37}"
cfg13_kv64,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,64,64,0.7986194906395152,0.7545732548496856,10658465,9798305,"{""0.0"": 40, ""0.1"": 45, ""0.2"": 42, ""0.3"": 71, ""0.4"": 69, ""0.5"": 70, ""0.6"": 51, ""0.7"": 39}"
cfg22_adamw_lr3e4_wd1e4_d2,schedule,0.0003,32,adamw,constant,0.0001,0.2,0.1,100,256,700,8,32,32,0.7982498307610069,0.7517752479682626,7181217,6321057,"{""0.0"": 30, ""0.1"": 22, ""0.2"": 23, ""0.3"": 60, ""0.4"": 22, ""0.5"": 21, ""0.6"": 21, ""0.7"": 31}"
cfg37_lr3e4_wd0_d3,optimization,0.0003,32,adam,constant,0.0,0.3,0.1,100,256,700,8,32,32,0.798225192364368,0.7499291730974297,7181217,6321057,"{""0.0"": 31, ""0.1"": 31, ""0.2"": 29, ""0.3"": 28, ""0.4"": 28, ""0.5"": 78, ""0.6"": 43, ""0.7"": 28}"
cfg06_lr1e3_b16_d2,optimization,0.001,16,adam,constant,1e-05,0.2,0.1,100,256,700,8,32,32,0.7975104518929285,0.75078876558714,7181217,6321057,"{""0.0"": 29, ""0.1"": 32, ""0.2"": 45, ""0.3"": 30, ""0.4"": 69, ""0.5"": 32, ""0.6"": 26, ""0.7"": 32}"
cfg41_out500_kv32,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,500,8,32,32,0.796413204365012,0.7468968332085136,6428017,5567857,"{""0.0"": 39, ""0.1"": 39, ""0.2"": 63, ""0.3"": 50, ""0.4"": 51, ""0.5"": 60, ""0.6"": 70, ""0.7"": 70}"
cfg04_lr1e4_b16_d3,optimization,0.0001,16,adam,constant,1e-05,0.3,0.1,100,256,700,8,32,32,0.7959942654079206,0.7469664793031815,7181217,6321057,"{""0.0"": 53, ""0.1"": 64, ""0.2"": 23, ""0.3"": 67, ""0.4"": 15, ""0.5"": 21, ""0.6"": 15, ""0.7"": 46}"
cfg60_adam_lr1e3_cosine_clip5_cls05,schedule,0.001,32,adam,cosine,1e-05,0.5,0.1,100,256,700,8,32,32,0.7958540263275804,0.7398462722801565,7181217,6321057,"{""0.0"": 31, ""0.1"": 27, ""0.2"": 36, ""0.3"": 29, ""0.4"": 30, ""0.5"": 30, ""0.6"": 30, ""0.7"": 29}"
cfg59_adamw_lr3e4_cosine_clip05,schedule,0.0003,32,adamw,cosine,0.0001,0.5,0.1,100,256,700,8,32,32,0.7946867234147375,0.7441051808653846,7181217,6321057,"{""0.0"": 37, ""0.1"": 18, ""0.2"": 44, ""0.3"": 46, ""0.4"": 37, ""0.5"": 47, ""0.6"": 37, ""0.7"": 37}"
cfg27_adamw_cosine_lr1e3,schedule,0.001,32,adamw,cosine,0.0001,0.5,0.1,100,256,700,8,32,32,0.7935011583228447,0.7399673361470223,7181217,6321057,"{""0.0"": 26, ""0.1"": 26, ""0.2"": 26, ""0.3"": 26, ""0.4"": 28, ""0.5"": 28, ""0.6"": 28, ""0.7"": 28}"
cfg31_lr3e5_b32_d5,optimization,3e-05,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.7929688741495385,0.7489467374428267,7181217,6321057,"{""0.0"": 100, ""0.1"": 68, ""0.2"": 99, ""0.3"": 98, ""0.4"": 74, ""0.5"": 63, ""0.6"": 56, ""0.7"": 73}"
cfg33_lr1e4_b32_d1,optimization,0.0001,32,adam,constant,1e-05,0.1,0.1,100,256,700,8,32,32,0.7923754951205872,0.7439659626584795,7181217,6321057,"{""0.0"": 59, ""0.1"": 36, ""0.2"": 59, ""0.3"": 48, ""0.4"": 70, ""0.5"": 73, ""0.6"": 33, ""0.7"": 73}"
cfg25_adam_cosine_lr1e3,schedule,0.001,32,adam,cosine,1e-05,0.5,0.1,100,256,700,8,32,32,0.7920552844463742,0.7393814525086332,7181217,6321057,"{""0.0"": 22, ""0.1"": 29, ""0.2"": 22, ""0.3"": 22, ""0.4"": 41, ""0.5"": 76, ""0.6"": 41, ""0.7"": 30}"
cfg03_lr3e3,optimization,0.003,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.7917934348534925,0.7487792293058918,7181217,6321057,"{""0.0"": 97, ""0.1"": 97, ""0.2"": 100, ""0.3"": 95, ""0.4"": 96, ""0.5"": 99, ""0.6"": 94, ""0.7"": 95}"
cfg36_lr3e3_b16_d5,optimization,0.003,16,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.7906973250877795,0.7412080137928377,7181217,6321057,"{""0.0"": 100, ""0.1"": 100, ""0.2"": 99, ""0.3"": 99, ""0.4"": 99, ""0.5"": 99, ""0.6"": 99, ""0.7"": 99}"
cfg32_lr3e5_b16_d3,optimization,3e-05,16,adam,constant,1e-05,0.3,0.1,100,256,700,8,32,32,0.7878700705695536,0.7354052501364706,7181217,6321057,"{""0.0"": 78, ""0.1"": 33, ""0.2"": 80, ""0.3"": 40, ""0.4"": 86, ""0.5"": 51, ""0.6"": 53, ""0.7"": 55}"
cfg58_adam_lr3e3_clip05,schedule,0.003,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.5846826179869735,0.5853012478034164,7181217,6321057,"{""0.0"": 99, ""0.1"": 99, ""0.2"": 99, ""0.3"": 99, ""0.4"": 99, ""0.5"": 99, ""0.6"": 99, ""0.7"": 99}"
