audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.3940 val8_wf1=0.2557 cls=2.6176 jepa=2.9874
epoch=002 train_wf1=0.4918 val8_wf1=0.4187 cls=2.3207 jepa=2.7385
epoch=003 train_wf1=0.3924 val8_wf1=0.3573 cls=2.3017 jepa=2.6753
epoch=004 train_wf1=0.5405 val8_wf1=0.4030 cls=2.2814 jepa=2.5566
epoch=005 train_wf1=0.5740 val8_wf1=0.3998 cls=2.1801 jepa=2.5082
epoch=006 train_wf1=0.6074 val8_wf1=0.4952 cls=2.2987 jepa=2.5528
epoch=007 train_wf1=0.6387 val8_wf1=0.4173 cls=2.2164 jepa=2.5712
epoch=008 train_wf1=0.4876 val8_wf1=0.4187 cls=2.3505 jepa=2.5262
epoch=009 train_wf1=0.5228 val8_wf1=0.5363 cls=2.0315 jepa=2.4705
epoch=010 train_wf1=0.6601 val8_wf1=0.5348 cls=2.0377 jepa=2.3965
epoch=011 train_wf1=0.6926 val8_wf1=0.4197 cls=1.8235 jepa=2.3919
epoch=012 train_wf1=0.6638 val8_wf1=0.5486 cls=1.7057 jepa=2.4043
epoch=013 train_wf1=0.7082 val8_wf1=0.5579 cls=1.8588 jepa=2.3754
epoch=014 train_wf1=0.7225 val8_wf1=0.4431 cls=1.6299 jepa=2.3798
epoch=015 train_wf1=0.6689 val8_wf1=0.6372 cls=1.8186 jepa=2.3572
epoch=016 train_wf1=0.7438 val8_wf1=0.5880 cls=1.5884 jepa=2.3443
epoch=017 train_wf1=0.7295 val8_wf1=0.5614 cls=1.4515 jepa=2.3378
epoch=018 train_wf1=0.7108 val8_wf1=0.5541 cls=1.4877 jepa=2.3329
epoch=019 train_wf1=0.7577 val8_wf1=0.6389 cls=1.2985 jepa=2.3330
epoch=020 train_wf1=0.7273 val8_wf1=0.6198 cls=1.7049 jepa=2.3149
epoch=021 train_wf1=0.7605 val8_wf1=0.6646 cls=1.4053 jepa=2.3084
epoch=022 train_wf1=0.7370 val8_wf1=0.6316 cls=1.3663 jepa=2.3177
epoch=023 train_wf1=0.7529 val8_wf1=0.7083 cls=1.2977 jepa=2.3085
epoch=024 train_wf1=0.7909 val8_wf1=0.7032 cls=1.2015 jepa=2.2873
epoch=025 train_wf1=0.8134 val8_wf1=0.7472 cls=1.0636 jepa=2.2861
epoch=026 train_wf1=0.8167 val8_wf1=0.7212 cls=1.0052 jepa=2.2816
epoch=027 train_wf1=0.8248 val8_wf1=0.7340 cls=1.0324 jepa=2.2641
epoch=028 train_wf1=0.8279 val8_wf1=0.7272 cls=0.9649 jepa=2.2615
epoch=029 train_wf1=0.8394 val8_wf1=0.7331 cls=0.8900 jepa=2.2514
epoch=030 train_wf1=0.8423 val8_wf1=0.7395 cls=0.8549 jepa=2.2223
epoch=031 train_wf1=0.8521 val8_wf1=0.7374 cls=0.8135 jepa=2.2150
epoch=032 train_wf1=0.8534 val8_wf1=0.7207 cls=0.8066 jepa=2.2085
epoch=033 train_wf1=0.8544 val8_wf1=0.7189 cls=0.7909 jepa=2.1740
epoch=034 train_wf1=0.8623 val8_wf1=0.7107 cls=0.7283 jepa=2.1633
epoch=035 train_wf1=0.8683 val8_wf1=0.7226 cls=0.7434 jepa=2.1522
epoch=036 train_wf1=0.8715 val8_wf1=0.7306 cls=0.7044 jepa=2.1338
epoch=037 train_wf1=0.8725 val8_wf1=0.6970 cls=0.7347 jepa=2.1248
epoch=038 train_wf1=0.8662 val8_wf1=0.6827 cls=0.7237 jepa=2.0947
epoch=039 train_wf1=0.8531 val8_wf1=0.6916 cls=0.7506 jepa=2.0860
epoch=040 train_wf1=0.8759 val8_wf1=0.7139 cls=0.6843 jepa=2.0781
epoch=041 train_wf1=0.8778 val8_wf1=0.7010 cls=0.6725 jepa=2.0548
epoch=042 train_wf1=0.8647 val8_wf1=0.7199 cls=0.6993 jepa=2.0460
epoch=043 train_wf1=0.8854 val8_wf1=0.7001 cls=0.6121 jepa=2.0383
epoch=044 train_wf1=0.8906 val8_wf1=0.7041 cls=0.6095 jepa=2.0262
epoch=045 train_wf1=0.8917 val8_wf1=0.7064 cls=0.5712 jepa=2.0213
epoch=046 train_wf1=0.9021 val8_wf1=0.7015 cls=0.5281 jepa=1.9940
epoch=047 train_wf1=0.9009 val8_wf1=0.7028 cls=0.5460 jepa=1.9647
epoch=048 train_wf1=0.9079 val8_wf1=0.7006 cls=0.4920 jepa=1.9284
epoch=049 train_wf1=0.9071 val8_wf1=0.6821 cls=0.4918 jepa=1.9237
