dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
CMUMOSI,0.1,audio,1,544,0.08880172667490757,0.10019937844138921,0.1966583112884751,0.011397651766481645,0.09645893284023795,0.9982261508703232,0.9982261493363801,0.9736310289624859,0.9423544092432541,0.9229887501500985,0.9341420868740362,0.012227177619934082,0.04098213277757168
CMUMOSI,0.1,audio,2-3,64,0.2344552659196779,0.23970809089951217,0.2776753514772281,0.0052528249798342586,0.03796725964639336,0.9592228354886174,0.9592228392139077,0.9464351776987314,0.955361326225102,0.935730803757906,0.9422708051279187,0.006760632619261742,0.02569567784667015
CMUMOSI,0.1,text,1,512,0.3095479551848257,0.3188081704865908,0.3303190583901596,0.009260215301765129,0.0115108879035688,0.9532595212804154,0.9532595240743831,0.9493887170683593,0.7842590811196715,0.7681421154993586,0.7613078302820213,0.0101509690284729,0.0026233047246932983
CMUMOSI,0.1,text,2-3,56,0.3392012676756297,0.3503066947949784,0.35925536922046114,0.01110542711934873,0.00894867442548275,0.9529840509806361,0.952984060559954,0.9491117021867207,0.7325835387621608,0.7175278802003179,0.71398103716118,0.012084715068340302,0.002255469560623169
CMUMOSI,0.1,visual,1,424,0.0917763560614988,0.10116431405240635,0.14350917733291974,0.009387957990907555,0.04234486327172732,0.9953693725028128,0.99536936983185,0.9878463853361472,0.9614479918524904,0.9416898092571294,0.9483492505156769,0.010262973606586456,0.013184338808059692
CMUMOSI,0.1,visual,2-3,56,0.14157455833628774,0.1499330010265112,0.16885636201394455,0.008358442690223455,0.01892336112047945,0.9877484206642423,0.9877484281148229,0.985281418476786,0.9525179054055896,0.9329436495900154,0.9418863867010389,0.009196531027555466,0.003129713237285614
CMUMOSI,0.3,audio,1,944,0.0866852167449197,0.09817335080016025,0.18293687004311862,0.011488134055240554,0.08476351938699767,0.9980794781724275,0.9980794767833362,0.9779587787718086,0.945391688937858,0.9259637007016247,0.9311321976957685,0.012338876724243164,0.02831251360476017
CMUMOSI,0.3,audio,2-3,272,0.21277470434741938,0.22032089276677547,0.26293508926242154,0.007546188419356066,0.04261419641347054,0.9709803766625769,0.9709803751286339,0.9531476159086999,0.9079166895107311,0.8892588969320059,0.8979152071782771,0.009023264050483704,0.01121382974088192
CMUMOSI,0.3,audio,4-7,8,0.23788568936288357,0.24887420795857906,0.31976602319628,0.010988518595695496,0.07089181523770094,0.9798610731959343,0.9798610433936119,0.9297818168997765,0.8313840329647064,0.8142950981855392,0.8245475962758064,0.010207772254943848,0.03206147998571396
CMUMOSI,0.3,text,1,1088,0.3205440052004312,0.3302048245592125,0.3451975932933719,0.00966081935878131,0.014992768744431326,0.9591795490945086,0.9591795498340884,0.9518291406771716,0.7646833152017173,0.7489686943042804,0.7409262729206068,0.010217458009719849,0.002919822931289673
