audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=069 train_wf1=0.8316 validation_wf1=0.5920 cls=0.4211 jepa=3.0567
epoch=070 train_wf1=0.8401 validation_wf1=0.6085 cls=0.4012 jepa=3.0736
epoch=071 train_wf1=0.8518 validation_wf1=0.5673 cls=0.3804 jepa=3.1295
epoch=072 train_wf1=0.8519 validation_wf1=0.6036 cls=0.3742 jepa=3.1972
epoch=073 train_wf1=0.8637 validation_wf1=0.6152 cls=0.3442 jepa=3.2555
epoch=074 train_wf1=0.8550 validation_wf1=0.5524 cls=0.3545 jepa=3.3053
epoch=075 train_wf1=0.8652 validation_wf1=0.6126 cls=0.3307 jepa=3.3538
epoch=076 train_wf1=0.8700 validation_wf1=0.5491 cls=0.3183 jepa=3.3735
epoch=077 train_wf1=0.8857 validation_wf1=0.6136 cls=0.2857 jepa=3.3512
epoch=078 train_wf1=0.8957 validation_wf1=0.5859 cls=0.2643 jepa=3.2869
epoch=079 train_wf1=0.8953 validation_wf1=0.6001 cls=0.2677 jepa=3.1770
epoch=080 train_wf1=0.8995 validation_wf1=0.5908 cls=0.2544 jepa=3.0660
epoch=081 train_wf1=0.8971 validation_wf1=0.6111 cls=0.2576 jepa=3.0436
epoch=082 train_wf1=0.9058 validation_wf1=0.6192 cls=0.2358 jepa=3.1555
epoch=083 train_wf1=0.9066 validation_wf1=0.5914 cls=0.2417 jepa=3.3254
epoch=084 train_wf1=0.9029 validation_wf1=0.6104 cls=0.2464 jepa=3.4688
epoch=085 train_wf1=0.9226 validation_wf1=0.6141 cls=0.2001 jepa=3.5150
epoch=086 train_wf1=0.9195 validation_wf1=0.5913 cls=0.2103 jepa=3.5085
epoch=087 train_wf1=0.9136 validation_wf1=0.5704 cls=0.2295 jepa=3.4545
epoch=088 train_wf1=0.9110 validation_wf1=0.5912 cls=0.2283 jepa=3.3670
epoch=089 train_wf1=0.9174 validation_wf1=0.5244 cls=0.2059 jepa=3.2664
epoch=090 train_wf1=0.9070 validation_wf1=0.5762 cls=0.2330 jepa=3.1474
epoch=091 train_wf1=0.9145 validation_wf1=0.5748 cls=0.2128 jepa=3.0527
epoch=092 train_wf1=0.9317 validation_wf1=0.5858 cls=0.1821 jepa=3.0466
epoch=093 train_wf1=0.9377 validation_wf1=0.5943 cls=0.1673 jepa=3.1001
epoch=094 train_wf1=0.9411 validation_wf1=0.5932 cls=0.1601 jepa=3.1914
epoch=095 train_wf1=0.9321 validation_wf1=0.5938 cls=0.1806 jepa=3.2938
epoch=096 train_wf1=0.9385 validation_wf1=0.5865 cls=0.1649 jepa=3.3808
epoch=097 train_wf1=0.9410 validation_wf1=0.5956 cls=0.1504 jepa=3.4346
epoch=098 train_wf1=0.9450 validation_wf1=0.5679 cls=0.1451 jepa=3.4524
epoch=099 train_wf1=0.9514 validation_wf1=0.6054 cls=0.1344 jepa=3.4151
epoch=100 train_wf1=0.9576 validation_wf1=0.6034 cls=0.1159 jepa=3.3500
