seed,rate,no_jepa_regression_wf1,three_class_wf1,no_jepa_regression_accuracy,three_class_accuracy,delta,accuracy_delta,selected_epoch
66,0.0,0.8746649050245099,0.8641559904362123,0.875,0.864329268292683,-0.010508914588297613,-0.010670731707317027,45
67,0.0,0.8697969823904403,0.8650658007980964,0.8704268292682927,0.8658536585365854,-0.00473118159234398,-0.004573170731707377,46
68,0.0,0.8747369905986095,0.8710722454671765,0.875,0.8704268292682927,-0.0036647451314330004,-0.004573170731707266,36
69,0.0,0.8737267460601196,0.8698810413119792,0.8734756097560976,0.8704268292682927,-0.0038457047481403883,-0.0030487804878048808,46
70,0.0,0.8732449084626344,0.8666445834613147,0.8734756097560976,0.8673780487804879,-0.006600325001319685,-0.0060975609756097615,28
66,0.1,0.8606961736398836,0.8486361280301621,0.8612804878048781,0.8490853658536586,-0.012060045609721515,-0.012195121951219523,45
67,0.1,0.8488926185751124,0.8502954277885819,0.8490853658536586,0.850609756097561,0.0014028092134694692,0.0015243902439023849,44
68,0.1,0.8488101920216966,0.8573497677062284,0.8490853658536586,0.8582317073170732,0.008539575684531786,0.009146341463414642,26
69,0.1,0.8420110330509841,0.8395565000439067,0.8429878048780488,0.8399390243902439,-0.0024545330070774307,-0.0030487804878048808,35
70,0.1,0.8476335075957818,0.8404331016790832,0.8475609756097561,0.8399390243902439,-0.007200405916698571,-0.007621951219512146,33
66,0.2,0.8260436999144509,0.810400360981142,0.8262195121951219,0.8094512195121951,-0.015643338933308937,-0.01676829268292679,43
67,0.2,0.8363056295303274,0.8300629173617909,0.836890243902439,0.8292682926829268,-0.006242712168536446,-0.007621951219512257,43
68,0.2,0.8244712235973529,0.818365874852913,0.8246951219512195,0.8185975609756098,-0.006105348744439909,-0.0060975609756097615,66
69,0.2,0.8152124569154068,0.8178334578367709,0.8155487804878049,0.8185975609756098,0.0026210009213640806,0.0030487804878048808,51
70,0.2,0.8086129345275687,0.8039933714803561,0.8079268292682927,0.8048780487804879,-0.00461956304721256,-0.0030487804878048808,28
66,0.3,0.8113878258762106,0.8090227422544496,0.8109756097560976,0.8079268292682927,-0.0023650836217610216,-0.0030487804878048808,43
67,0.3,0.8024740002329799,0.7910481364064116,0.801829268292683,0.7957317073170732,-0.011425863826568294,-0.0060975609756097615,37
68,0.3,0.8075530803714405,0.8143561901455314,0.8064024390243902,0.8140243902439024,0.006803109774090932,0.007621951219512146,37
69,0.3,0.8187597950614899,0.8122408058127546,0.8216463414634146,0.8140243902439024,-0.006518989248735285,-0.007621951219512257,34
70,0.3,0.8067080146634045,0.8094044592980791,0.8064024390243902,0.8094512195121951,0.0026964446346746662,0.0030487804878048808,45
66,0.4,0.810784375345543,0.7904100116416343,0.8109756097560976,0.7911585365853658,-0.02037436370390877,-0.01981707317073178,61
67,0.4,0.7554871885657127,0.7662185088223163,0.7545731707317073,0.7652439024390244,0.010731320256603616,0.010670731707317138,54
68,0.4,0.7913060294566705,0.7864855645112521,0.7911585365853658,0.788109756097561,-0.0048204649454184345,-0.0030487804878048808,22
69,0.4,0.777832185337731,0.7760021151422976,0.7820121951219512,0.7789634146341463,-0.0018300701954334642,-0.0030487804878048808,47
70,0.4,0.7955250507766353,0.7731275618905474,0.7957317073170732,0.7728658536585366,-0.022397488886087835,-0.02286585365853666,34
66,0.5,0.7735113573070099,0.753986633400657,0.774390243902439,0.7545731707317073,-0.01952472390635296,-0.01981707317073178,51
67,0.5,0.7533865557120616,0.7484636851722498,0.7530487804878049,0.7469512195121951,-0.0049228705398117745,-0.0060975609756097615,54
68,0.5,0.7791195202278631,0.7778889699601627,0.7789634146341463,0.7789634146341463,-0.0012305502677004698,0.0,31
69,0.5,0.7656345683027924,0.7593226745558257,0.7667682926829268,0.7621951219512195,-0.0063118937469667236,-0.004573170731707266,35
70,0.5,0.7545129435759259,0.747252965816737,0.7545731707317073,0.7484756097560976,-0.0072599777591889625,-0.0060975609756096505,34
66,0.6,0.7541366879345974,0.7367835492569388,0.7560975609756098,0.7408536585365854,-0.01735313867765864,-0.015243902439024404,70
67,0.6,0.7547981029909067,0.7607539601602197,0.7576219512195121,0.7667682926829268,0.005955857169313017,0.009146341463414642,37
68,0.6,0.7590882070755458,0.7646145777289575,0.7576219512195121,0.7652439024390244,0.005526370653411661,0.007621951219512257,19
69,0.6,0.7564421181799231,0.7552453979051348,0.7591463414634146,0.7545731707317073,-0.0011967202747883432,-0.004573170731707377,37
70,0.6,0.7522913864161006,0.7507739353169856,0.7515243902439024,0.7560975609756098,-0.0015174510991150525,0.004573170731707377,32
66,0.7,0.7549917143504451,0.7498018234973035,0.7560975609756098,0.7515243902439024,-0.005189890853141588,-0.004573170731707377,51
67,0.7,0.7597623996659827,0.7605395463101519,0.7591463414634146,0.7591463414634146,0.0007771466441691688,0.0,45
68,0.7,0.7089495785328294,0.7016715130985649,0.7073170731707317,0.7088414634146342,-0.007278065434264458,0.0015243902439024959,77
69,0.7,0.7619083633039142,0.7678051533047393,0.7637195121951219,0.7682926829268293,0.005896790000825103,0.004573170731707377,35
70,0.7,0.7389963411751944,0.7353584929844329,0.739329268292683,0.739329268292683,-0.0036378481907615168,0.0,32
