audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1742 validation_wf1=0.0444 cls=1.8302 jepa=3.9857
epoch=002 train_wf1=0.1755 validation_wf1=0.0199 cls=1.7665 jepa=3.3878
epoch=003 train_wf1=0.1931 validation_wf1=0.0850 cls=1.7493 jepa=3.2115
epoch=004 train_wf1=0.1856 validation_wf1=0.1884 cls=1.7021 jepa=3.1777
epoch=005 train_wf1=0.1972 validation_wf1=0.1974 cls=1.5842 jepa=3.1668
epoch=006 train_wf1=0.2017 validation_wf1=0.2125 cls=1.5567 jepa=3.1442
epoch=007 train_wf1=0.2323 validation_wf1=0.2881 cls=1.5468 jepa=3.1398
epoch=008 train_wf1=0.2725 validation_wf1=0.3007 cls=1.5041 jepa=3.1311
epoch=009 train_wf1=0.3116 validation_wf1=0.2658 cls=1.4886 jepa=3.1150
epoch=010 train_wf1=0.2974 validation_wf1=0.3541 cls=1.4689 jepa=3.0889
epoch=011 train_wf1=0.3742 validation_wf1=0.3579 cls=1.3919 jepa=3.1021
epoch=012 train_wf1=0.3087 validation_wf1=0.3727 cls=1.3610 jepa=3.1006
epoch=013 train_wf1=0.3380 validation_wf1=0.3959 cls=1.2962 jepa=3.0751
epoch=014 train_wf1=0.3667 validation_wf1=0.4504 cls=1.2893 jepa=3.0515
epoch=015 train_wf1=0.4250 validation_wf1=0.4696 cls=1.2661 jepa=3.0488
epoch=016 train_wf1=0.4236 validation_wf1=0.3450 cls=1.2842 jepa=3.0334
epoch=017 train_wf1=0.3912 validation_wf1=0.4388 cls=1.2696 jepa=3.0583
epoch=018 train_wf1=0.3886 validation_wf1=0.3349 cls=1.3318 jepa=3.0380
epoch=019 train_wf1=0.3784 validation_wf1=0.3824 cls=1.3155 jepa=3.0716
epoch=020 train_wf1=0.4044 validation_wf1=0.4175 cls=1.2499 jepa=3.0265
epoch=021 train_wf1=0.4517 validation_wf1=0.4039 cls=1.2262 jepa=3.0031
epoch=022 train_wf1=0.4161 validation_wf1=0.4660 cls=1.2404 jepa=3.0292
epoch=023 train_wf1=0.4351 validation_wf1=0.4400 cls=1.2409 jepa=3.0358
epoch=024 train_wf1=0.4397 validation_wf1=0.4251 cls=1.1551 jepa=3.0232
