dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
IEMOCAPFour,0.3,audio,326,1.3098159509202454,1.0,2.0
IEMOCAPFour,0.3,text,337,1.427299703264095,1.0,2.0
IEMOCAPFour,0.3,visual,360,1.3666666666666667,1.0,2.0
