group,seed,rate,pattern,count,weighted_f1
PAM-T,68,0.0,ATV,656,87.0576125910715
PAM-T,68,0.1,A,4,85.71428571428571
PAM-T,68,0.1,T,8,87.3015873015873
PAM-T,68,0.1,V,3,33.33333333333333
PAM-T,68,0.1,AT,47,82.97872340425532
PAM-T,68,0.1,AV,53,65.58955347756321
PAM-T,68,0.1,TV,71,91.54929577464789
PAM-T,68,0.1,ATV,470,86.38297872340426
PAM-T,68,0.2,A,23,55.16908212560387
PAM-T,68,0.2,T,19,89.47368421052632
PAM-T,68,0.2,V,29,66.33393829401088
PAM-T,68,0.2,AT,79,88.5890435524664
PAM-T,68,0.2,AV,86,74.30395413979547
PAM-T,68,0.2,TV,94,82.91524078758123
PAM-T,68,0.2,ATV,326,85.94105085568519
PAM-T,68,0.3,A,47,65.64570181591458
PAM-T,68,0.3,T,59,86.4406779661017
PAM-T,68,0.3,V,41,69.7251258226868
PAM-T,68,0.3,AT,93,89.24731182795699
PAM-T,68,0.3,AV,92,77.22743589330845
PAM-T,68,0.3,TV,97,86.61830380871494
PAM-T,68,0.3,ATV,227,82.75302399533297
PAM-T,68,0.4,A,85,73.97435897435896
PAM-T,68,0.4,T,64,84.32881773399015
PAM-T,68,0.4,V,65,62.114642114642116
PAM-T,68,0.4,AT,92,87.0142078837731
PAM-T,68,0.4,AV,89,50.90966013844922
PAM-T,68,0.4,TV,104,87.59199293494261
PAM-T,68,0.4,ATV,157,87.90704433723268
PAM-T,68,0.5,A,109,74.41649299308605
PAM-T,68,0.5,T,116,87.10854922501518
PAM-T,68,0.5,V,98,59.533527696793
PAM-T,68,0.5,AT,88,84.10737812911727
PAM-T,68,0.5,AV,83,73.4554944516743
PAM-T,68,0.5,TV,86,88.39746761567642
PAM-T,68,0.5,ATV,76,84.43166740380363
PAM-T,68,0.6,A,150,70.66666666666666
PAM-T,68,0.6,T,140,85.04235330355768
PAM-T,68,0.6,V,150,61.126964359841075
PAM-T,68,0.6,AT,70,88.57142857142858
PAM-T,68,0.6,AV,44,68.98564593301437
PAM-T,68,0.6,TV,64,92.14696071163826
PAM-T,68,0.6,ATV,38,94.73684210526315
PAM-T,68,0.7,A,177,54.126189872083565
PAM-T,68,0.7,T,131,86.41730279898219
PAM-T,68,0.7,V,195,56.395604395604394
PAM-T,68,0.7,AT,44,90.986790986791
PAM-T,68,0.7,AV,45,65.359477124183
PAM-T,68,0.7,TV,42,80.67019400352736
PAM-T,68,0.7,ATV,22,76.8421052631579
PAM-T,69,0.0,A,0,
PAM-T,69,0.0,T,0,
PAM-T,69,0.0,V,0,
PAM-T,69,0.0,AT,0,
PAM-T,69,0.0,AV,0,
PAM-T,69,0.0,TV,0,
PAM-T,69,0.0,ATV,656,87.09093852676124
PAM-T,69,0.1,A,8,50.0
PAM-T,69,0.1,T,6,66.66666666666666
PAM-T,69,0.1,V,7,71.42857142857143
PAM-T,69,0.1,AT,48,87.27313974591651
PAM-T,69,0.1,AV,56,61.47540983606557
PAM-T,69,0.1,TV,49,83.6734693877551
PAM-T,69,0.1,ATV,482,86.68635674068173
PAM-T,69,0.2,A,29,55.418719211822655
PAM-T,69,0.2,T,23,78.09136367488769
PAM-T,69,0.2,V,24,75.00000000000001
PAM-T,69,0.2,AT,90,82.29474757776646
PAM-T,69,0.2,AV,83,65.39612997444323
PAM-T,69,0.2,TV,77,85.67065040847494
PAM-T,69,0.2,ATV,330,88.22811827089994
PAM-T,69,0.3,A,49,60.86860276025304
PAM-T,69,0.3,T,45,91.11111111111111
PAM-T,69,0.3,V,45,70.05042778627684
PAM-T,69,0.3,AT,101,87.24352524452829
PAM-T,69,0.3,AV,91,72.59836937256293
PAM-T,69,0.3,TV,96,85.36458333333333
PAM-T,69,0.3,ATV,229,86.4810196834615
