seed,write_step,rate,epoch,pattern,target,branch,count,raw_cosine,centered_cosine,real_minus_shuffle_cosine,shuffle_minus_real_smooth_l1,shuffle_minus_real_nce,retrieval_top1,chance,effective_rank,target_effective_rank,channel_std,target_channel_std,std_ratio,retrieval_over_chance
66,0.6,0.5,30,A,text,regression,102,0.9279016256332397,0.013472393155097961,0.0001856088638305664,0.0001028105616569519,0.0061817169189453125,0.009803921915590763,0.00980392156862745,11.174429893493652,73.28950500488281,0.05144503712654114,0.36301565170288086,0.14171575491364102,1.0000000353902578
66,0.6,0.5,30,A,text,contrastive,102,0.07790613919496536,0.028128011152148247,0.0003546997904777527,0.0001666545867919922,0.011823654174804688,0.0,0.00980392156862745,7.824850559234619,73.28950500488281,0.132236510515213,0.36301565170288086,0.36427220119821513,0.0
66,0.6,0.5,30,A,visual,regression,102,0.8537083268165588,0.13510414958000183,0.01114201545715332,0.008647754788398743,0.3713984489440918,0.009803921915590763,0.00980392156862745,10.22711181640625,49.33816146850586,0.11925781518220901,0.5000351071357727,0.23849888433898978,1.0000000353902578
66,0.6,0.5,30,A,visual,contrastive,102,0.09236272424459457,0.1175934299826622,0.01768925040960312,0.009204685688018799,0.5896410942077637,0.03921568766236305,0.00980392156862745,9.438911437988281,49.33816146850586,0.2393191158771515,0.5000351071357727,0.4786046268790684,4.000000141561031
66,0.6,0.5,30,V,audio,regression,122,0.91727614402771,0.0010839627357199788,-4.00543212890625e-05,9.447336196899414e-06,-0.001331329345703125,0.0,0.00819672131147541,23.101154327392578,63.25609588623047,0.028048308566212654,0.3761807978153229,0.07456071317064492,0.0
66,0.6,0.5,30,V,audio,contrastive,122,0.01691538281738758,0.010639583691954613,0.0007154811173677444,0.0005205869674682617,0.023849964141845703,0.016393441706895828,0.00819672131147541,10.374337196350098,63.25609588623047,0.15709242224693298,0.3761807978153229,0.4175981952275348,1.999999888241291
66,0.6,0.5,30,V,text,regression,122,0.9199364185333252,0.010289152152836323,4.7206878662109375e-05,8.250027894973755e-05,0.0015745162963867188,0.008196720853447914,0.00819672131147541,26.241254806518555,82.45713806152344,0.02135717123746872,0.38114631175994873,0.05603404933620285,0.9999999441206455
66,0.6,0.5,30,V,text,contrastive,122,0.07607239484786987,0.012983836233615875,0.00012231618165969849,0.00013399124145507812,0.004077911376953125,0.016393441706895828,0.00819672131147541,10.030081748962402,82.45713806152344,0.12453294545412064,0.38114631175994873,0.326732652558247,1.999999888241291
66,0.6,0.5,30,AV,text,regression,85,0.9200844168663025,0.019955916330218315,9.85264778137207e-05,0.0002258792519569397,0.003281116485595703,0.0235294122248888,0.011764705882352941,21.584556579589844,64.3585433959961,0.02062086947262287,0.38113853335380554,0.054103344763308955,2.000000039115548
66,0.6,0.5,30,AV,text,contrastive,85,0.07709348946809769,0.02377697452902794,0.00023628771305084229,0.0001590251922607422,0.007876873016357422,0.0235294122248888,0.011764705882352941,8.48193645477295,64.3585433959961,0.1151224747300148,0.38113853335380554,0.3020488999550938,2.000000039115548
