audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=071 train_wf1=0.9670 val_wf1=0.8263 cls=0.0895 jepa=2.0645
epoch=072 train_wf1=0.9695 val_wf1=0.8218 cls=0.0856 jepa=2.0707
epoch=073 train_wf1=0.9663 val_wf1=0.8071 cls=0.0932 jepa=2.0504
epoch=074 train_wf1=0.9707 val_wf1=0.8297 cls=0.0809 jepa=2.0463
epoch=075 train_wf1=0.9711 val_wf1=0.8050 cls=0.0812 jepa=2.0259
epoch=076 train_wf1=0.9702 val_wf1=0.8162 cls=0.0807 jepa=2.0141
epoch=077 train_wf1=0.9726 val_wf1=0.8264 cls=0.0750 jepa=1.9835
epoch=078 train_wf1=0.9694 val_wf1=0.8248 cls=0.0792 jepa=1.9794
epoch=079 train_wf1=0.9719 val_wf1=0.7935 cls=0.0768 jepa=1.9692
epoch=080 train_wf1=0.9737 val_wf1=0.7650 cls=0.0763 jepa=1.9731
epoch=081 train_wf1=0.9719 val_wf1=0.8038 cls=0.0777 jepa=1.9731
epoch=082 train_wf1=0.9708 val_wf1=0.7983 cls=0.0854 jepa=1.9726
epoch=083 train_wf1=0.9800 val_wf1=0.8147 cls=0.0563 jepa=1.9450
epoch=084 train_wf1=0.9833 val_wf1=0.8237 cls=0.0498 jepa=1.9332
epoch=085 train_wf1=0.9849 val_wf1=0.8197 cls=0.0427 jepa=1.9278
epoch=086 train_wf1=0.9859 val_wf1=0.8207 cls=0.0405 jepa=1.8818
epoch=087 train_wf1=0.9881 val_wf1=0.8265 cls=0.0335 jepa=1.8816
epoch=088 train_wf1=0.9890 val_wf1=0.8107 cls=0.0312 jepa=1.8560
epoch=089 train_wf1=0.9886 val_wf1=0.8337 cls=0.0314 jepa=1.8250
epoch=090 train_wf1=0.9899 val_wf1=0.8107 cls=0.0264 jepa=1.8105
epoch=091 train_wf1=0.9820 val_wf1=0.8144 cls=0.0637 jepa=1.8222
epoch=092 train_wf1=0.9832 val_wf1=0.8014 cls=0.0524 jepa=1.8195
epoch=093 train_wf1=0.9822 val_wf1=0.8134 cls=0.0503 jepa=1.8219
epoch=094 train_wf1=0.9867 val_wf1=0.8074 cls=0.0395 jepa=1.7855
epoch=095 train_wf1=0.9851 val_wf1=0.8237 cls=0.0412 jepa=1.7710
epoch=096 train_wf1=0.9871 val_wf1=0.8066 cls=0.0364 jepa=1.7840
epoch=097 train_wf1=0.9895 val_wf1=0.8070 cls=0.0305 jepa=1.7506
epoch=098 train_wf1=0.9911 val_wf1=0.8257 cls=0.0253 jepa=1.7379
epoch=099 train_wf1=0.9917 val_wf1=0.8202 cls=0.0242 jepa=1.7250
epoch=100 train_wf1=0.9934 val_wf1=0.8279 cls=0.0179 jepa=1.6857
