dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
IEMOCAPFour,0.1,audio,146,9,0.06164383561643835
IEMOCAPFour,0.1,text,133,4,0.03007518796992481
IEMOCAPFour,0.1,visual,117,0,0.0
