seed,rate,no_jepa_regression_wf1,dual_wf1,no_jepa_regression_accuracy,dual_accuracy,delta,accuracy_delta,selected_epoch
66,0.0,0.8746649050245099,0.8701171667022102,0.875,0.8704268292682927,-0.00454773832229971,-0.004573170731707266,72
67,0.0,0.8697969823904403,0.8713706500339836,0.8704268292682927,0.8719512195121951,0.001573667643543275,0.0015243902439023849,46
68,0.0,0.8747369905986095,0.8733805605374345,0.875,0.8734756097560976,-0.001356430061175029,-0.0015243902439023849,44
69,0.0,0.8737267460601196,0.8779254034487374,0.8734756097560976,0.8780487804878049,0.004198657388617799,0.004573170731707266,49
70,0.0,0.8732449084626344,0.8781068060766253,0.8734756097560976,0.8780487804878049,0.004861897613990918,0.004573170731707266,32
66,0.1,0.8606961736398836,0.8549764833862026,0.8612804878048781,0.8567073170731707,-0.00571969025368102,-0.004573170731707377,37
67,0.1,0.8488926185751124,0.8511090606088249,0.8490853658536586,0.8521341463414634,0.002216442033712407,0.0030487804878048808,46
68,0.1,0.8488101920216966,0.8541789768849315,0.8490853658536586,0.8551829268292683,0.005368784863234888,0.0060975609756097615,43
69,0.1,0.8420110330509841,0.8478934079646862,0.8429878048780488,0.8475609756097561,0.0058823749137020265,0.004573170731707266,37
70,0.1,0.8476335075957818,0.8577235845450509,0.8475609756097561,0.8582317073170732,0.010090076949269111,0.010670731707317138,37
66,0.2,0.8260436999144509,0.8221321919611272,0.8262195121951219,0.823170731707317,-0.003911507953323734,-0.0030487804878048808,35
67,0.2,0.8363056295303274,0.8406401172413017,0.836890243902439,0.8414634146341463,0.004334487710974333,0.004573170731707266,46
68,0.2,0.8244712235973529,0.8232548688111065,0.8246951219512195,0.823170731707317,-0.0012163547862463764,-0.0015243902439024959,47
69,0.2,0.8152124569154068,0.8148876745156037,0.8155487804878049,0.8155487804878049,-0.00032478239980304746,0.0,82
70,0.2,0.8086129345275687,0.8193063893334532,0.8079268292682927,0.8201219512195121,0.010693454805884572,0.012195121951219412,52
66,0.3,0.8113878258762106,0.8109213913632024,0.8109756097560976,0.8125,-0.00046643451300820704,0.0015243902439023849,37
67,0.3,0.8024740002329799,0.8008930375515937,0.801829268292683,0.8033536585365854,-0.0015809626813861888,0.0015243902439023849,46
68,0.3,0.8075530803714405,0.8078248330079962,0.8064024390243902,0.8109756097560976,0.00027175263655576654,0.004573170731707377,64
69,0.3,0.8187597950614899,0.8166301126022406,0.8216463414634146,0.8155487804878049,-0.0021296824592492714,-0.0060975609756097615,48
70,0.3,0.8067080146634045,0.8115885745179311,0.8064024390243902,0.8125,0.004880559854526623,0.0060975609756097615,55
66,0.4,0.810784375345543,0.7999285871237092,0.8109756097560976,0.7987804878048781,-0.010855788221833862,-0.012195121951219523,70
67,0.4,0.7554871885657127,0.7680313301129004,0.7545731707317073,0.7728658536585366,0.012544141547187637,0.018292682926829285,46
68,0.4,0.7913060294566705,0.7870797712031906,0.7911585365853658,0.788109756097561,-0.0042262582534798865,-0.0030487804878048808,52
69,0.4,0.777832185337731,0.7823562684792666,0.7820121951219512,0.7820121951219512,0.004524083141535629,0.0,81
70,0.4,0.7955250507766353,0.7747927552585135,0.7957317073170732,0.774390243902439,-0.020732295518121724,-0.021341463414634165,41
66,0.5,0.7735113573070099,0.7598954549959908,0.774390243902439,0.7637195121951219,-0.013615902311019168,-0.010670731707317138,46
67,0.5,0.7533865557120616,0.7493298100490197,0.7530487804878049,0.75,-0.004056745663041927,-0.0030487804878048808,48
68,0.5,0.7791195202278631,0.7866869106340945,0.7789634146341463,0.7865853658536586,0.0075673904062313335,0.007621951219512257,18
69,0.5,0.7656345683027924,0.7770945554212295,0.7667682926829268,0.7774390243902439,0.011459987118437098,0.010670731707317138,49
70,0.5,0.7545129435759259,0.7583568465554785,0.7545731707317073,0.7591463414634146,0.003843902979552616,0.004573170731707377,60
66,0.6,0.7541366879345974,0.7527934210892833,0.7560975609756098,0.7591463414634146,-0.0013432668453141616,0.0030487804878048808,99
67,0.6,0.7547981029909067,0.7618628533923144,0.7576219512195121,0.760670731707317,0.007064750401407749,0.0030487804878048808,42
68,0.6,0.7590882070755458,0.7618270592172044,0.7576219512195121,0.7621951219512195,0.0027388521416585876,0.004573170731707377,47
69,0.6,0.7564421181799231,0.7594757765586775,0.7591463414634146,0.7591463414634146,0.003033658378754356,0.0,49
70,0.6,0.7522913864161006,0.7452876445334725,0.7515243902439024,0.7469512195121951,-0.0070037418826280895,-0.004573170731707266,41
66,0.7,0.7549917143504451,0.7522392983670096,0.7560975609756098,0.7530487804878049,-0.0027524159834354522,-0.0030487804878048808,37
67,0.7,0.7597623996659827,0.761238355826356,0.7591463414634146,0.760670731707317,0.0014759561603733262,0.0015243902439023849,43
68,0.7,0.7089495785328294,0.701497888813063,0.7073170731707317,0.7012195121951219,-0.007451689719766397,-0.0060975609756097615,49
69,0.7,0.7619083633039142,0.7740811140737853,0.7637195121951219,0.7728658536585366,0.012172750769871121,0.009146341463414642,49
70,0.7,0.7389963411751944,0.7382726615166507,0.739329268292683,0.7378048780487805,-0.0007236796585436966,-0.0015243902439024959,38
