dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.5,audio,315,32,0.10158730158730159
CMUMOSI,0.5,text,325,14,0.043076923076923075
CMUMOSI,0.5,visual,332,31,0.09337349397590361
