model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
GCNet,66,0.0,0.8680386512428747,0.8657151529268929,0.8673780487804879,0.8419583439826965,0.7885012380840786,60,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.1,0.8543042641706506,0.8515599219331906,0.8536585365853658,0.869535505771637,0.7596023636289724,60,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.2,0.8284942000453116,0.8235593594805146,0.8292682926829268,0.8970462083816528,0.6967559443472712,54,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.3,0.8185382572558493,0.8127690863882198,0.8201219512195121,0.9304363131523132,0.6745079171174415,54,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.4,0.7885303337633328,0.783763786884585,0.788109756097561,1.0067392587661743,0.6516936366067622,60,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.5,0.77574629396389,0.7700227277605405,0.7759146341463414,1.00986647605896,0.6602134780106995,73,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.6,0.7573367160737692,0.7531235887400272,0.7560975609756098,1.031968355178833,0.6130723487009946,63,0.7988835827140173,per-rate-test-oracle
GCNet,66,0.7,0.7422816736191792,0.7319246000787583,0.7484756097560976,1.0393917560577393,0.5913471277218861,64,0.7988835827140173,per-rate-test-oracle
GCNet,67,0.0,0.8755515589790972,0.8732074333179336,0.875,0.7785536646842957,0.7980102704560648,54,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.1,0.8478934079646862,0.8445025979444002,0.8475609756097561,0.8083552122116089,0.7576771283024107,55,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.2,0.8348261989113398,0.8302391335601669,0.8353658536585366,0.8997020721435547,0.745339503176156,44,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.3,0.8036640463903874,0.7991412519492727,0.8033536585365854,0.9313626885414124,0.6913067629116438,52,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.4,0.7606120008783873,0.7546214563275653,0.760670731707317,1.024225115776062,0.6039814973738034,52,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.5,0.7620215226755012,0.7582977205469936,0.760670731707317,1.0353026390075684,0.6051726106021909,55,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.6,0.7682213211539438,0.7611445078621015,0.7698170731707317,0.9993287920951843,0.6235857167145875,48,0.7932298413488688,per-rate-test-oracle
GCNet,67,0.7,0.753380166645422,0.7462221421277107,0.7545731707317073,1.0522609949111938,0.5739580366675674,52,0.7932298413488688,per-rate-test-oracle
GCNet,68,0.0,0.8586693186300453,0.8556935617018357,0.8582317073170732,0.7889639139175415,0.7742152225783202,43,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.1,0.84341786325608,0.840043559059219,0.8429878048780488,0.8390923142433167,0.7395785073728788,43,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.2,0.8245634272506626,0.8200858074317154,0.8246951219512195,0.9252358675003052,0.7048415818868712,49,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.3,0.8057702967763942,0.7993006993006992,0.8079268292682927,0.897442638874054,0.6892132574009207,69,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.4,0.801829268292683,0.7969195012525838,0.801829268292683,0.9413475394248962,0.6536277309914341,43,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.5,0.7728101154833104,0.7671248216102371,0.7728658536585366,0.952643632888794,0.6575575534399862,69,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.6,0.7587213151411781,0.7542359103407814,0.7576219512195121,1.0644328594207764,0.5836074298023578,48,0.7925110919648961,per-rate-test-oracle
GCNet,68,0.7,0.7151700544024903,0.7058987463861364,0.7179878048780488,1.1458486318588257,0.4844890003856074,47,0.7925110919648961,per-rate-test-oracle
GCNet,69,0.0,0.8625162091935956,0.8588356812899893,0.8628048780487805,0.7455031871795654,0.7982117118992965,61,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.1,0.8416802579879903,0.8379939209726444,0.8414634146341463,0.8110067844390869,0.7561961601603419,61,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.2,0.81245398794931,0.8077607587789206,0.8125,0.885416567325592,0.7153492200137629,60,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.3,0.8277016312054636,0.8233899653822603,0.8277439024390244,0.9257429838180542,0.6895384343284812,53,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.4,0.7826850813343705,0.7781094550899195,0.7820121951219512,0.9523907899856567,0.6607909160011948,61,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.5,0.7554871885657127,0.7505803559831572,0.7545731707317073,1.0670742988586426,0.5896430001339867,56,0.7979826241007397,per-rate-test-oracle
GCNet,69,0.6,0.7552453979051348,0.7499710000828568,0.7545731707317073,1.008328914642334,0.6245332492738923,61,0.7979826241007397,per-rate-test-oracle
