dataset,rate,osram_mean,osram_std,positive_seed_count
osram_iemocap6_20260906,0.0,0.671141103,0.009069176,NA
osram_iemocap6_20260906,0.1,0.664275174,0.011483033,NA
osram_iemocap6_20260906,0.2,0.655481557,0.006953288,NA
osram_iemocap6_20260906,0.3,0.650882301,0.010196159,NA
osram_iemocap6_20260906,0.4,0.651103615,0.006924773,NA
osram_iemocap6_20260906,0.5,0.638366370,0.011920605,NA
osram_iemocap6_20260906,0.6,0.631412093,0.011693512,NA
osram_iemocap6_20260906,0.7,0.627753392,0.003672378,NA
