seed,rate,pattern,sample_index,base_norm,gap_norm,difference_norm,sum_norm,cosine,relative_difference,gap_base_norm_ratio,centered_base_norm,centered_gap_norm,centered_cosine
66,0.1,AT,9,0.0,0.0,0.0,0.0,,,,7.841070464557587,5.260512922290128,0.5536533182918131
66,0.1,AT,17,0.0,0.0,0.0,0.0,,,,7.841070464557587,5.260512922290128,0.5536533182918131
66,0.1,AT,20,0.0,0.0,0.0,0.0,,,,7.841070464557587,5.260512922290128,0.5536533182918131
66,0.1,AT,30,0.0,0.0,0.0,0.0,,,,7.841070464557587,5.260512922290128,0.5536533182918131
66,0.1,AT,68,6.354110994497352,4.999370886058472,5.001694356004514,10.282019507014903,0.6351253096873104,0.44054276992950553,0.786793131311039,4.897955769885185,2.6527550817293437,0.20939835201316462
66,0.1,AT,101,7.62726059849179,5.5836098861139565,6.72408526454674,11.553799572016779,0.5182075479092522,0.5089812418025085,0.7320596712295442,8.317144251872922,2.4404720955505996,0.03080803634071338
66,0.1,AT,103,7.5260193863041485,5.945685833496057,5.95533609128384,12.186807117008755,0.6316142057072224,0.4420625298815855,0.7900173422773821,4.76403385389371,3.7583526672515006,0.4343133751255526
66,0.1,AT,154,10.364307401727455,5.435671034382224,9.924146078400792,13.24545581086627,0.34148726116762795,0.6281113685395856,0.5244606150408316,4.23575407477695,1.8535237965470535,-0.0053253900247272135
66,0.1,AT,171,12.05934631963864,6.026681686253793,10.765053366676806,15.735662605096048,0.4531116386748022,0.5952137950449677,0.4997519373367149,6.488582217487706,3.094584033802469,0.5988633750873392
66,0.1,AT,190,7.629976352840232,6.128436535272944,6.348019635283887,12.298422408324937,0.593211364889212,0.46139185434450586,0.8032051807069697,4.559130491420681,2.9576179077765246,-0.05184437440857566
66,0.1,AT,192,10.975535099784183,5.7797387050106295,9.97590326736522,14.429721218712334,0.4283793099553747,0.5953888538968813,0.5266019973025533,4.808452584739272,1.9880099494254104,0.3318952577645408
66,0.1,AT,199,12.210412670235879,6.092234722278909,10.925679247747073,15.907499362028727,0.4492552929782468,0.5969452950405052,0.498937659750792,6.599443214113073,3.515071784087972,0.5370547896759935
66,0.1,AT,209,8.382787601722182,6.250062689572643,7.414579492905394,12.794250042176644,0.5187570521658807,0.5067078077957493,0.7455828522111921,4.518696095655521,3.281089998242066,0.821130867524699
66,0.1,AT,212,8.030746535690353,5.791722995076589,6.786937509376983,12.24791286661588,0.5587222819150707,0.4910075941401196,0.7211935987939521,3.1193078677902015,2.1935472521371144,0.6712739219108012
66,0.1,AT,220,8.44142010547889,6.418590934325879,6.3838559423689345,13.570488173454487,0.6616794916118857,0.4295996769631475,0.7603686173799007,1.647817399826518,2.387359851210797,0.004129829096114814
66,0.1,AT,225,8.8597142229429,6.219860573429548,8.348744031521441,12.832025421825472,0.43080166842262685,0.5536458517072922,0.7020385101499943,2.399922458195318,2.5199515995120314,0.4962536880340058
66,0.1,AT,236,8.946553983850391,5.989243108894028,7.724011202035711,13.121104121132285,0.5248998846244091,0.5171475719757814,0.6694469311542002,2.3088784880919193,1.863338911753811,0.6459944492191524
66,0.1,AT,239,12.657113686915737,6.630232926616252,10.560774703094294,17.227741255309,0.5519124260266427,0.5475493811929975,0.5238345084527636,7.154219169056196,3.8824780188023147,0.737493040849573
66,0.1,AT,257,11.292386938777554,5.9750138490969125,10.53694235580952,14.676867252049904,0.38676420470661604,0.6102216821890637,0.5291187666071715,5.191364777717459,2.617965575812737,0.38391637458727873
66,0.1,AT,287,10.237221859694678,6.346351402955743,10.580468920850933,13.34943641071507,0.2549720729947133,0.6380089956053259,0.6199290676645569,3.4305004427951706,3.045917848122543,-0.06732447242468124
66,0.1,AT,291,13.993944180086789,7.458875112880582,10.638663954375836,19.742072145439362,0.6624129965175438,0.49590982933713457,0.5330073506720479,9.310470763671134,5.669335056348376,0.8431886263047768
66,0.1,AT,298,7.557828189712553,6.95129933693962,5.467247800229829,13.453321535025614,0.7190258752253509,0.37681437358565545,0.9197482613327307,4.772938422256882,3.8594425221930484,-0.16074130833952682
66,0.1,AT,310,10.64780322320781,6.781566044679967,11.029332844979882,14.038679424777452,0.26118131396934086,0.632801604892298,0.6368981378148458,4.1560125626040465,3.4944034826127583,-0.06935641891525662
66,0.1,AT,311,10.597092391043759,5.864293730097224,10.299371628420252,13.685742955866234,0.3267487604309677,0.6256685526131365,0.5533870531367163,4.077741702420899,2.804365280729457,0.20965452584849276
66,0.1,AT,318,10.419651226808767,6.434288390661523,9.557752573488518,14.44256775331353,0.4371711345364636,0.5670930827105396,0.6175147565502686,3.8915644993972354,2.4440971044705706,0.24890499086028284
66,0.1,AT,342,9.460552161971291,7.8674766234494085,8.154778276848875,15.371989543167107,0.5703215051476436,0.4706119996586149,0.8316086089641163,5.0736829063554545,5.119099953920809,0.9044318635843367
66,0.1,AT,377,8.598303194161232,6.495527280201998,7.040079306410788,13.516015252010847,0.5958761370047833,0.46642098693027695,0.7554429209489674,3.2481359972706687,2.611834350701881,0.6924346832872381
66,0.1,AT,397,7.612346282057171,6.550745084435571,6.2747188617678225,12.741587709708234,0.6165254326801338,0.44303314152252443,0.8605421826219508,5.446487643566034,3.254714366952346,0.060978412893192085
66,0.1,AT,413,8.483136125363467,6.103946650472971,7.30574543118206,12.847941864800614,0.5392737413055593,0.5008366335785834,0.7195389252593707,3.0524590727178906,1.8747895074449223,0.5644692666412677
66,0.1,AT,418,8.96028677637921,7.1687484498324165,8.10256536513044,14.060719092836264,0.513949659428412,0.5023589601914189,0.8000579254595307,2.903798283207822,3.5334611749609772,0.7470409593882358
66,0.1,AT,439,10.608821256286264,6.126264392887371,10.651963679819374,13.663530930275334,0.28167792606992853,0.6365048798149031,0.5774689048754826,4.138361094818109,2.8644665596468775,0.07119468799263082
66,0.1,AT,444,8.007209175063805,7.308651765859885,7.072831874693312,13.602890431374792,0.5767655755315275,0.4617978644474918,0.9127589408580233,4.941562982892419,4.4757067823189685,-0.2626676547761713
