pattern,base_zero_fraction,base_zero_fraction_seed_sd,gap_zero_fraction,gap_zero_fraction_seed_sd,base_norm_mean,base_norm_mean_seed_sd,gap_norm_mean,gap_norm_mean_seed_sd,difference_norm_mean,difference_norm_mean_seed_sd,sum_norm_mean,sum_norm_mean_seed_sd,cosine_mean,cosine_mean_seed_sd,relative_difference_mean,relative_difference_mean_seed_sd,gap_base_norm_ratio_mean,gap_base_norm_ratio_mean_seed_sd,centered_base_norm_mean,centered_base_norm_mean_seed_sd,centered_gap_norm_mean,centered_gap_norm_mean_seed_sd,centered_cosine_mean,centered_cosine_mean_seed_sd
AT,0.04809336548652301,0.008319485088859447,0.04809336548652301,0.008319485088859447,10.289923157965324,1.2237185531070067,7.023064591017439,0.9878540151596801,7.6246914684557865,1.0717606916371871,15.869145860661098,2.143573598132105,0.6459641799715268,0.09474835399463429,0.44943434893025935,0.06716263884565955,0.6938471992002291,0.07276569635574782,6.849204527136699,1.2188601903195442,4.1392854569478175,0.8187397276286869,0.5519356413054431,0.1247308164204565
AV,0.03809114334730544,0.013865094826015521,0.03809114334730544,0.013865094826015521,10.501300306225525,1.46269408401298,6.950177233132642,1.655736284993052,7.282359863343544,0.9704788887422398,16.190057682145486,3.196642543789267,0.6495699493971377,0.1260019886339104,0.45388694777647015,0.09670841443896855,0.6451916093537664,0.09911955096575639,7.036670588509265,1.2689377447338945,5.458721023874565,1.4459233599990289,0.754475827569173,0.0886241847306697
TV,0.03843270114488867,0.011323247648611574,0.03843270114488867,0.011323247648611574,10.390476530830998,1.331814691890322,3.1016001148575976,1.130807905279379,9.79546664816829,1.2402344260690215,11.89179894499959,1.8324853217121708,0.3143762847909716,0.18242210281422863,0.7308067517313256,0.08996393428261867,0.31089981881470896,0.1124622946654585,6.772192458550643,1.120596521551139,1.5863759259644887,0.22062617016414238,0.2340566005077891,0.15467115186644792
