seed,rate,pattern,n,base_zero_fraction,gap_zero_fraction,base_norm_valid_count,base_norm_mean,base_norm_median,base_norm_p90,gap_norm_valid_count,gap_norm_mean,gap_norm_median,gap_norm_p90,difference_norm_valid_count,difference_norm_mean,difference_norm_median,difference_norm_p90,sum_norm_valid_count,sum_norm_mean,sum_norm_median,sum_norm_p90,cosine_valid_count,cosine_mean,cosine_median,cosine_p90,relative_difference_valid_count,relative_difference_mean,relative_difference_median,relative_difference_p90,gap_base_norm_ratio_valid_count,gap_base_norm_ratio_mean,gap_base_norm_ratio_median,gap_base_norm_ratio_p90,centered_base_norm_valid_count,centered_base_norm_mean,centered_base_norm_median,centered_base_norm_p90,centered_gap_norm_valid_count,centered_gap_norm_mean,centered_gap_norm_median,centered_gap_norm_p90,centered_cosine_valid_count,centered_cosine_mean,centered_cosine_median,centered_cosine_p90
66,0.0,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0,TV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.1,AT,50,0.08,0.08,50,8.850055729799179,9.347897571200857,11.310757234510113,50,6.03074798974982,6.412608048958932,7.468469454888827,50,7.688212919937029,7.913288283583075,10.663272648505117,50,13.048158554800757,13.633210680825062,16.070628379099187,46,0.5187227853222476,0.5393568701208453,0.6620462440647148,46,0.5141014522714977,0.5034343659895415,0.626889960576361,46,0.6986494410391879,0.7107887177046825,0.8711763032684174,50,4.7583688988085235,4.445738528275402,7.841070464557587,50,3.2997554921092798,3.1191989017614805,5.260512922290128,50,0.3522846299906899,0.4652835315797792,0.8022863286315871
66,0.1,AV,55,0.03636363636363636,0.03636363636363636,55,9.482071349167589,9.283827983415508,13.387942868702018,55,6.113214081108526,5.895937083709274,8.027096314624133,55,8.00897895829321,7.984088957778784,9.993762421616779,55,13.727824100120534,13.334372854201375,19.35891152138466,53,0.5003645480885897,0.5321412963000342,0.7144573357291728,53,0.5271612401945717,0.5166935311120019,0.6366784636879462,53,0.6488682905013865,0.644689531265869,0.7549676028724011,55,4.646256671111772,4.27872128121676,7.343441589271893,55,3.5861159006813543,3.5101770029826524,5.796921289388472,55,0.6646797503003201,0.7649607985336374,0.9252511596885012
66,0.1,TV,60,0.0,0.0,60,9.755050212475608,10.024910642350644,12.651231196348704,60,5.194875072444087,4.998943909737553,6.103598541170722,60,8.81074823462732,8.61200509251545,11.582001714288566,60,12.956708714659966,13.263395465903097,15.697054762076341,60,0.43817432653752075,0.4548134429061578,0.5539161093365532,60,0.5892659483477792,0.595636155838168,0.6611627285268408,60,0.550590565859917,0.5544751164541643,0.6914056008799583,60,4.990846468672297,4.844212074867532,7.441391799333912,60,1.8026444012144962,1.6335232068637782,2.7316714405392117,60,0.22007002427393457,0.28529485949734024,0.5442551652602596
66,0.2,AT,77,0.025974025974025976,0.025974025974025976,77,8.995786015028193,9.23365567050468,11.678044150096238,77,5.967109086835045,6.194672341503054,7.154113688320571,77,7.496013346797424,7.3504084010935555,10.509320650249235,77,13.277258727997967,13.651629666233156,16.299669879133788,75,0.5494203114851037,0.6005342091814972,0.7373597016429017,75,0.5008577735718863,0.48360260934151905,0.6264952222630575,75,0.6744146428520048,0.6657024308376855,0.8363911489705377,77,4.818041832158256,4.2499250843124345,7.760732372529053,77,3.0277541758804176,2.843206969989861,5.021457322518383,77,0.37572197707542143,0.47157009521889537,0.8568927172710373
66,0.2,AV,93,0.03225806451612903,0.03225806451612903,93,9.140298050860201,9.283201473636666,12.0687181727333,93,5.730879199449343,5.668241356281746,8.025024097990396,93,7.761990217546649,7.929401574098989,9.647894867945322,93,13.075617956182517,13.332052450152512,17.96385945769595,90,0.48025052945751806,0.5451736358179926,0.7068456371028423,90,0.543177749411553,0.5219007247411533,0.6763947206411269,90,0.6251941492448373,0.6284234579800089,0.7436274495771693,93,4.85397550513794,4.476558683944863,7.588254841719911,93,3.637071142449405,3.5215822646867814,5.171373680005248,93,0.7142758647440975,0.7614187362041338,0.9246089832652642
66,0.2,TV,85,0.023529411764705882,0.023529411764705882,85,9.702613427831714,10.095091639734585,12.21228407498751,85,4.962039162058739,5.168963431996095,5.960005784652355,85,8.611887377245871,8.736157901048227,10.92758664606952,85,12.836919307624322,13.705478403440898,15.110601186959634,83,0.4665502242520789,0.46913777990900796,0.5699660745262017,83,0.5877348895114752,0.5929185453924303,0.6560907554975615,83,0.5251523707308206,0.49577290284021963,0.6958977511536293,85,4.53569427178927,4.240577733153985,6.8772705545116635,85,1.8062817855714324,1.5978748858655933,2.496306854475683,85,0.22028142180665386,0.343923887614701,0.5611472636222236
66,0.3,AT,100,0.02,0.02,100,9.016297182796032,9.029159095749623,11.801889553560569,100,5.9624663534628475,6.246534236005181,7.191387041062924,100,7.445826423139555,7.361163186066451,10.084928380304898,100,13.365230577969411,13.660411002885294,16.56809266088105,98,0.57215741463764,0.6043166356084985,0.7107380145713396,98,0.4936828810628,0.49246192795296634,0.5974668703815003,98,0.676800053256757,0.6672906991406538,0.8207971281849065,100,4.812823944895752,4.765692502413898,7.16062933782877,100,2.9268875895601347,2.70680653699874,4.472187073573279,100,0.4430592688468348,0.5675974998499952,0.8075241329518051
