branch,pattern,target,write_step,count_mean,count_std,raw_cosine_mean,raw_cosine_std,centered_cosine_mean,centered_cosine_std,real_minus_shuffle_cosine_mean,real_minus_shuffle_cosine_std,shuffle_minus_real_smooth_l1_mean,shuffle_minus_real_smooth_l1_std,shuffle_minus_real_nce_mean,shuffle_minus_real_nce_std,retrieval_top1_mean,retrieval_top1_std,chance_mean,chance_std,effective_rank_mean,effective_rank_std,target_effective_rank_mean,target_effective_rank_std,channel_std_mean,channel_std_std,target_channel_std_mean,target_channel_std_std,std_ratio_mean,std_ratio_std,retrieval_over_chance_mean,retrieval_over_chance_std
regression,A,text,1.0,118.8,10.377861051295685,0.9285037875175476,0.012170545506034018,0.0565138760022819,0.05176626639255754,0.0013593912124633789,0.001835390017710387,0.0012099087238311768,0.001623561732396995,0.0453125,0.06117838741288642,0.013723755441606044,0.009591148129875951,0.008473438504922574,0.0008016773008670576,9.388026428222656,1.7418063131461998,74.24469299316407,5.120287161754308,0.03727225996553898,0.015717594310649088,0.35916600823402406,0.029194896527948058,0.10494398901255908,0.04611317035811936,1.6000000100582836,1.1401754058220956
regression,A,text,0.6,118.8,10.377861051295685,0.9309490919113159,0.01009678375963236,0.03785150982439518,0.035490452597992064,0.0009358406066894531,0.0011298446507486894,0.0009405098855495453,0.0010576831641428677,0.031194782257080077,0.03766169512387631,0.010197576507925988,0.004017542452270159,0.008473438504922574,0.0008016773008670576,7.571874046325684,2.879294734447357,76.3744384765625,3.2160304949067755,0.04520710445940494,0.01665638780235009,0.3537310242652893,0.02734990550159227,0.12644207498838253,0.045376126941943505,1.2000000076368451,0.4472135870658318
regression,V,text,1.0,117.0,8.031189202104505,0.9233017683029174,0.013131198498881612,0.05198575034737587,0.03168088840462895,0.0013104319572448731,0.0013711501717986899,0.0011907190084457398,0.0012696905481764716,0.04368133544921875,0.0457050637499466,0.020440057292580603,0.006997291164207535,0.008580684338148433,0.000613918221527754,11.407747077941895,1.9388947967020662,74.11271362304687,2.065990846959697,0.037410975247621533,0.010521371853717895,0.3685657739639282,0.026809043044749535,0.10229743583086982,0.031037627677248335,2.4000000089406965,0.8944270610518804
regression,V,text,0.6,117.0,8.031189202104505,0.9276843667030334,0.010355654479641173,0.02861591465771198,0.017379380549326785,0.0005995750427246094,0.0004488701050768318,0.0006455890834331512,0.0004533481304046039,0.01998558044433594,0.014962044632351755,0.017426786571741106,0.007281566168864121,0.008580684338148433,0.000613918221527754,11.530970573425293,8.4151181451969,76.71151123046874,5.826531496161831,0.04051816388964653,0.014478692153221175,0.3611628830432892,0.026550151640245077,0.11212525030282659,0.0384559293121233,2.00000003054738,0.707106806869786
regression,AV,text,1.0,83.8,4.08656334834051,0.9267549991607666,0.01252174052424681,0.05736671425402164,0.058680245008875954,0.0017771363258361817,0.002405899689133647,0.001617441326379776,0.00209984100000049,0.05923671722412109,0.0801953745374946,0.0168792974203825,0.011028319629633276,0.011956964604023427,0.0006102642923494593,9.240230560302734,1.7505722934841836,58.58629608154297,3.7012394208863477,0.037676118314266205,0.013793095371708121,0.3610516846179962,0.027241716086342876,0.10572737902871585,0.042126042679088385,1.4000000212341546,0.8944272004752937
regression,AV,text,0.6,83.8,4.08656334834051,0.9294756531715394,0.010714291735361788,0.04261913476511836,0.031083911004121924,0.0008525609970092774,0.0009407283593188346,0.0009985201060771943,0.0009187331395512878,0.02841920852661133,0.031358016088055794,0.014309906028211116,0.005188752337531896,0.011956964604023427,0.0006102642923494593,9.386439514160156,7.031813743457674,60.11515121459961,2.936002944683678,0.039690497890114786,0.017517654491869865,0.35624542236328127,0.02944024865202519,0.11105835894516447,0.047103132803647904,1.2000000212341546,0.4472136054959609
regression,A,visual,1.0,118.8,10.377861051295685,0.8962335228919983,0.03736619898800348,0.2591381162405014,0.10471359425970837,0.024705266952514647,0.015677419642320143,0.01964355856180191,0.012100932305356535,0.8235106468200684,0.5225816951834733,0.020346023328602313,0.008050996166505855,0.008473438504922574,0.0008016773008670576,5.542062282562256,1.8796038293452062,47.53630752563477,3.9137675585443854,0.1272388830780983,0.0469801157136025,0.42819528579711913,0.057818605143192404,0.3078544475994588,0.1313970978924125,2.3999999918043615,0.8944272070351711
regression,A,visual,0.6,118.8,10.377861051295685,0.8838559150695801,0.02314880031070326,0.24216762483119963,0.08003837433376833,0.024570870399475097,0.013472439567465033,0.02044413983821869,0.011779228643812971,0.819028663635254,0.44908364010318025,0.021559368632733823,0.010701647436273871,0.008473438504922574,0.0008016773008670576,5.531267690658569,2.8993660954749414,49.15681076049805,0.9456846718717533,0.14308880716562272,0.04171178726639906,0.44284355640411377,0.037804202987767856,0.3235082346273205,0.09041456641408327,2.6000000081956385,1.3416407697704538
regression,V,audio,1.0,117.0,8.031189202104505,0.9409892439842225,0.023231136318910967,0.027818994829431176,0.04329703722854,0.0005036830902099609,0.0008616321800184113,0.00042737722396850585,0.000746706384853071,0.016788005828857422,0.02872168728025114,0.006941340304911137,0.003922723994603687,0.008580684338148433,0.000613918221527754,12.699361515045165,4.660315783435659,58.385624694824216,1.7274237350817223,0.04795689582824707,0.015340713774524143,0.3139200031757355,0.05722969235852345,0.15633338295522842,0.0552525557991006,0.8000000268220901,0.4472136104939627
regression,V,audio,0.6,117.0,8.031189202104505,0.9316393494606018,0.019677133913332628,0.009453087300062179,0.025507526982511484,0.00019174814224243164,0.00027955344099160476,0.00014985650777816774,0.00028430903406859474,0.006392383575439453,0.009316954963361804,0.001904761977493763,0.004259177262632978,0.008580684338148433,0.000613918221527754,13.263830947875977,6.339685107981892,59.72040786743164,3.80550629710662,0.038624716177582744,0.01301368572328714,0.3361161172389984,0.04291891126379909,0.11529151683856975,0.03379824682018507,0.2000000076368451,0.44721361257646275
contrastive,A,text,1.0,118.8,10.377861051295685,0.06407869458198548,0.019449539364446634,0.03972094543278217,0.020669813398507708,0.0033386416733264925,0.0018860534383310507,0.001865553855895996,0.0010644273725152185,0.11128816604614258,0.0628680747118511,0.018780628964304925,0.012563035766803787,0.008473438504922574,0.0008016773008670576,5.180632734298706,1.3709612588416318,74.24469299316407,5.120287161754308,0.2613880291581154,0.1679370303384732,0.35916600823402406,0.029194896527948058,0.7103998886662386,0.40564409926327494,2.2000000197440386,1.4832396959749687
contrastive,A,text,0.6,118.8,10.377861051295685,0.07257120609283448,0.04372382681259572,0.03935135342180729,0.00873344377152183,0.002268953248858452,0.0010825549484891586,0.001109910011291504,0.0006083384475950414,0.07563161849975586,0.036084891977888646,0.0063510162755846975,0.0065681391856654,0.008473438504922574,0.0008016773008670576,6.5833405494689945,1.0577251404459542,76.3744384765625,3.2160304949067755,0.1695937395095825,0.0345177871290556,0.3537310242652893,0.02734990550159227,0.47836589519980655,0.07797659028633387,0.8000000020489096,0.8366600271463049
contrastive,V,text,1.0,117.0,8.031189202104505,0.06260096058249473,0.019089034487951354,0.0274592787027359,0.013260955122048609,0.0023960232734680175,0.0017972626991495998,0.0014035344123840333,0.0009838156401250583,0.07986717224121094,0.05990875893044339,0.010620296746492387,0.010641941967219935,0.008580684338148433,0.000613918221527754,6.052208089828492,1.6607683613844058,74.11271362304687,2.065990846959697,0.26111372113227843,0.1092095561457257,0.3685657739639282,0.026809043044749535,0.7036276911333764,0.26420394017497756,1.2000000121071934,1.0954451198988524
contrastive,V,text,0.6,117.0,8.031189202104505,0.07355202734470367,0.043003093770172814,0.03340677097439766,0.0211206520958815,0.0022351622581481935,0.0016379522903822504,0.001123964786529541,0.0008672642173679036,0.07450542449951172,0.05459809960639326,0.01702651847153902,0.006093973874199534,0.008580684338148433,0.000613918221527754,7.96479902267456,1.8513796857706044,76.71151123046874,5.826531496161831,0.1813438966870308,0.05081089188596775,0.3611628830432892,0.026550151640245077,0.5033929997134468,0.13512318154829364,2.0000000229105352,0.7071067637351234
contrastive,AV,text,1.0,83.8,4.08656334834051,0.06326023638248443,0.018592596809624745,0.02847454259172082,0.01995634029046715,0.003005979210138321,0.0023210856005723233,0.001878643035888672,0.0013419453406295074,0.10019941329956054,0.0773690006208457,0.018935574777424337,0.010225189824788865,0.011956964604023427,0.0006102642923494593,5.312195920944214,1.3524605177810194,58.58629608154297,3.7012394208863477,0.25274319648742677,0.1379173911892987,0.3610516846179962,0.027241716086342876,0.69181250644775,0.34126316445719146,1.6000000469386577,0.8944272453531813
contrastive,AV,text,0.6,83.8,4.08656334834051,0.07286775074899196,0.043381322054954485,0.04055280722677708,0.021145079388150127,0.0024245120584964752,0.0015539030488054095,0.0013346433639526366,0.0008107293619080109,0.08081703186035157,0.0517966435745447,0.01918003596365452,0.006811295645182111,0.011956964604023427,0.0006102642923494593,6.501497554779053,1.3712661872369931,60.11515121459961,2.936002944683678,0.16964022666215897,0.05613355228784145,0.35624542236328127,0.02944024865202519,0.474119468874071,0.13517101051489078,1.6000000270083545,0.5477225647316736
contrastive,A,visual,1.0,118.8,10.377861051295685,0.12314668148756028,0.049119610050482355,0.1706468090415001,0.0479679208424319,0.024633661657571793,0.007834407082663612,0.016794884204864503,0.006536666811349802,0.8211220741271973,0.26114676802271775,0.03472783155739308,0.019918679717229777,0.008473438504922574,0.0008016773008670576,6.811419105529785,2.438834536187747,47.53630752563477,3.9137675585443854,0.3875846743583679,0.07927979315401161,0.42819528579711913,0.057818605143192404,0.9026421363643033,0.10981877020916761,4.00000004246831,1.8708288292898843
contrastive,A,visual,0.6,118.8,10.377861051295685,0.10567623376846313,0.03813942033477882,0.12421393990516663,0.047011651363367914,0.01723683997988701,0.012622483283417621,0.01302962303161621,0.00990071948796271,0.5745615005493164,0.4207494882170217,0.016178051568567754,0.015993007946843774,0.008473438504922574,0.0008016773008670576,6.58828125,2.3881257701944336,49.15681076049805,0.9456846718717533,0.3932783484458923,0.16743444089145768,0.44284355640411377,0.037804202987767856,0.9079695846202521,0.42886605740185013,1.800000057183206,1.6431677318011957
contrastive,V,audio,1.0,117.0,8.031189202104505,0.08807282224297523,0.03415081988425178,0.05328705031424761,0.051005671289035645,0.004729419201612473,0.006635048242423137,0.0025265693664550783,0.0027535948964987796,0.15764713287353516,0.22116821648770127,0.01707788445055485,0.01648002352184859,0.008580684338148433,0.000613918221527754,8.455988216400147,4.518234373316554,58.385624694824216,1.7274237350817223,0.24973111152648925,0.05218789110043828,0.3139200031757355,0.05722969235852345,0.8286974249020169,0.27395640611347943,2.000000005401671,1.999999967752956
contrastive,V,audio,0.6,117.0,8.031189202104505,0.07114279083907604,0.05207415051727885,0.021124434005469084,0.04340365629802764,0.001761670783162117,0.003959641026013574,0.0008779525756835938,0.002038763130663319,0.058722400665283205,0.13198798585740795,0.009878688491880894,0.01083746423414418,0.008580684338148433,0.000613918221527754,7.424872875213623,2.7798118373065397,59.72040786743164,3.80550629710662,0.2632399082183838,0.09395966144780361,0.3361161172389984,0.04291891126379909,0.8205797797336598,0.39150669680246364,1.199999996088445,1.303840477504787
