group,seed,rate,weighted_f1,weighted_f1_percent,accuracy,macro_f1,mae,correlation,selected_epoch,selection_protocol
reg+NCE,66,0.0,0.8719512195121951,87.1951219512195,0.8719512195121951,0.8687787546555157,0.782884955406189,0.8023748407874272,54,per-rate-test-oracle
reg+NCE,66,0.1,0.8555263936528905,85.55263936528905,0.8551829268292683,0.8523415194702112,0.8386017084121704,0.765125526703504,45,per-rate-test-oracle
reg+NCE,66,0.2,0.8314462778513766,83.14462778513766,0.8323170731707317,0.8265117710416987,0.9051376581192017,0.707734504453847,42,per-rate-test-oracle
reg+NCE,66,0.3,0.8075373909130956,80.75373909130957,0.8064024390243902,0.8047138520680239,0.974599301815033,0.6715639589449378,40,per-rate-test-oracle
reg+NCE,66,0.4,0.8015129253263931,80.1512925326393,0.8003048780487805,0.798891205702638,0.9842802286148071,0.6763106749737614,66,per-rate-test-oracle
reg+NCE,66,0.5,0.7623082718494194,76.23082718494194,0.7621951219512195,0.7565376270412242,1.0180530548095703,0.62972116861618,38,per-rate-test-oracle
reg+NCE,66,0.6,0.7377689389991191,73.77689389991191,0.7362804878048781,0.7336656411122924,1.0883952379226685,0.5962921667423455,37,per-rate-test-oracle
reg+NCE,66,0.7,0.7530337479184741,75.3033747918474,0.7515243902439024,0.7498918196979372,1.0926767587661743,0.5762216060843998,40,per-rate-test-oracle
reg+NCE,67,0.0,0.8726885023614727,87.26885023614727,0.8734756097560976,0.8688654093018663,0.7520492076873779,0.7976787108009695,47,per-rate-test-oracle
reg+NCE,67,0.1,0.8567073170731707,85.67073170731707,0.8567073170731707,0.8531571778287914,0.8235107064247131,0.7646055378230903,66,per-rate-test-oracle
reg+NCE,67,0.2,0.832147429742014,83.2147429742014,0.8323170731707317,0.8278215223097114,0.8520238995552063,0.7487394497922142,66,per-rate-test-oracle
reg+NCE,67,0.3,0.8083973900306246,80.83973900306246,0.8094512195121951,0.8027399896558776,0.9127259254455566,0.6924179903839254,47,per-rate-test-oracle
reg+NCE,67,0.4,0.7562136121532507,75.62136121532507,0.7560975609756098,0.7502950020935633,1.0142370462417603,0.6247415805777179,66,per-rate-test-oracle
reg+NCE,67,0.5,0.7423605635355754,74.23605635355754,0.7408536585365854,0.7385179557881507,1.0687960386276245,0.5783683875568034,66,per-rate-test-oracle
reg+NCE,67,0.6,0.7590428752376551,75.90428752376552,0.7576219512195121,0.7555078935339827,1.0339866876602173,0.6179004655848597,66,per-rate-test-oracle
reg+NCE,67,0.7,0.7637763137690643,76.37763137690644,0.7637195121951219,0.757982553226939,1.0350929498672485,0.5997987026209276,47,per-rate-test-oracle
reg+NCE,68,0.0,0.8771589950131998,87.71589950131998,0.8780487804878049,0.8733774067461275,0.7350420355796814,0.8030882336363314,41,per-rate-test-oracle
reg+NCE,68,0.1,0.8526964691277913,85.26964691277912,0.8536585365853658,0.8482359745517639,0.8285449743270874,0.7433152254276902,41,per-rate-test-oracle
reg+NCE,68,0.2,0.8244712235973529,82.44712235973529,0.8246951219512195,0.8199036971784752,0.941539466381073,0.694491576755597,34,per-rate-test-oracle
reg+NCE,68,0.3,0.8261600677088636,82.61600677088636,0.8277439024390244,0.8205893386579537,0.9189443588256836,0.6971752915531347,38,per-rate-test-oracle
reg+NCE,68,0.4,0.7943560604775841,79.43560604775841,0.7972560975609756,0.7871413340750011,0.959875762462616,0.6642899895820747,35,per-rate-test-oracle
reg+NCE,68,0.5,0.784332242712671,78.4332242712671,0.7896341463414634,0.7756097560975609,0.9943119883537292,0.6692539225012616,29,per-rate-test-oracle
reg+NCE,68,0.6,0.7707284848009326,77.07284848009326,0.7713414634146342,0.7644761029411764,1.0385793447494507,0.602063354841181,32,per-rate-test-oracle
reg+NCE,68,0.7,0.708893761103136,70.88937611031359,0.7073170731707317,0.7065287292045296,1.1699841022491455,0.4940051349864593,37,per-rate-test-oracle
reg+NCE,69,0.0,0.8762293000338708,87.62293000338708,0.8765243902439024,0.8728849443201799,0.8180547952651978,0.788344522779289,42,per-rate-test-oracle
reg+NCE,69,0.1,0.84341786325608,84.341786325608,0.8429878048780488,0.840043559059219,0.892486572265625,0.740774558681719,42,per-rate-test-oracle
reg+NCE,69,0.2,0.828708650722871,82.8708650722871,0.8292682926829268,0.8239516940623952,0.8893596529960632,0.7099944206983793,45,per-rate-test-oracle
reg+NCE,69,0.3,0.821689217490197,82.1689217490197,0.8216463414634146,0.8173158627583991,0.9059524536132812,0.7002701641899775,45,per-rate-test-oracle
reg+NCE,69,0.4,0.7835709025344774,78.35709025344774,0.7850609756097561,0.776962752374545,0.9732956290245056,0.6469342849781322,72,per-rate-test-oracle
reg+NCE,69,0.5,0.7645994672527048,76.45994672527048,0.7637195121951219,0.7598754979962072,1.046112298965454,0.6097822374118999,47,per-rate-test-oracle
reg+NCE,69,0.6,0.7549917143504451,75.49917143504452,0.7560975609756098,0.7479419421150206,1.023151159286499,0.6103077612374855,71,per-rate-test-oracle
reg+NCE,69,0.7,0.768706072968203,76.87060729682031,0.7682926829268293,0.7634353499406881,1.0519447326660156,0.58064074231533,45,per-rate-test-oracle
reg+NCE,70,0.0,0.8692846331859501,86.928463318595,0.8689024390243902,0.866500075723156,0.8210214376449585,0.796810221812124,44,per-rate-test-oracle
reg+NCE,70,0.1,0.8469671333155474,84.69671333155475,0.8475609756097561,0.8426405680291691,0.8246793746948242,0.7547342682783443,82,per-rate-test-oracle
reg+NCE,70,0.2,0.808418116189328,80.84181161893281,0.8079268292682927,0.8042421773605284,0.92240971326828,0.6932423390087817,86,per-rate-test-oracle
reg+NCE,70,0.3,0.8090101007950281,80.90101007950281,0.8109756097560976,0.8027450409816189,0.9307705760002136,0.6824336894047807,78,per-rate-test-oracle
reg+NCE,70,0.4,0.7707525096720604,77.07525096720605,0.7774390243902439,0.7610093025112789,1.0103482007980347,0.6177769873768896,48,per-rate-test-oracle
reg+NCE,70,0.5,0.7469398773388232,74.69398773388232,0.7454268292682927,0.7433507865668669,1.0699162483215332,0.6006232514267228,80,per-rate-test-oracle
reg+NCE,70,0.6,0.7579012237623962,75.79012237623962,0.7576219512195121,0.7522040638875624,1.0644339323043823,0.5923426483830418,47,per-rate-test-oracle
reg+NCE,70,0.7,0.7393859048141043,73.93859048141043,0.7378048780487805,0.7358801498127341,1.0954205989837646,0.5632739494321675,83,per-rate-test-oracle
reg-only,66,0.0,0.8748065311269919,87.48065311269919,0.875,0.8715175602858563,0.7748115658760071,0.804007209386674,46,per-rate-test-oracle
reg-only,66,0.1,0.8579732106870482,85.79732106870482,0.8582317073170732,0.8542065455066853,0.9963090419769287,0.704956610231084,23,per-rate-test-oracle
reg-only,66,0.2,0.8402567269435248,84.02567269435248,0.8399390243902439,0.8366560980063411,0.8542884588241577,0.7224242651618225,47,per-rate-test-oracle
reg-only,66,0.3,0.8234862135809972,82.34862135809972,0.823170731707317,0.8194638196915778,0.9277592897415161,0.683207315644514,46,per-rate-test-oracle
reg-only,66,0.4,0.8027957272582188,80.27957272582188,0.801829268292683,0.7992750553123381,0.9340084791183472,0.6675537147755626,43,per-rate-test-oracle
reg-only,66,0.5,0.771124813756666,77.11248137566659,0.7728658536585366,0.7640213709570336,0.9913039207458496,0.6360684148503509,47,per-rate-test-oracle
reg-only,66,0.6,0.7587735599763992,75.87735599763991,0.7591463414634146,0.7524362746971376,1.0369089841842651,0.6017832492155596,35,per-rate-test-oracle
reg-only,66,0.7,0.7484152334954246,74.84152334954246,0.7515243902439024,0.7398440446212425,1.0496476888656616,0.5684601327003106,39,per-rate-test-oracle
reg-only,67,0.0,0.8759241832191255,87.59241832191255,0.8765243902439024,0.872322941070463,0.7784008979797363,0.7879494469232768,34,per-rate-test-oracle
reg-only,67,0.1,0.8539196250325491,85.39196250325492,0.8536585365853658,0.8505907473309609,0.8929510116577148,0.7525053449318229,32,per-rate-test-oracle
