dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
CMUMOSI,0.7,audio,346,2.300578034682081,2.0,4.5
CMUMOSI,0.7,text,388,2.399484536082474,2.0,5.0
CMUMOSI,0.7,visual,342,2.242690058479532,2.0,5.0
