rate,Joint_mean,Joint_sd,No-JEPA_mean,No-JEPA_sd,State-JEPA_mean,State-JEPA_sd,WSC_mean,WSC_sd,delta_vs_Joint,positive_vs_Joint,delta_vs_No-JEPA,positive_vs_No-JEPA,delta_vs_State-JEPA,positive_vs_State-JEPA
0.0,87.41675823136406,0.22363251911304963,87.32341065072627,0.20225279722849604,87.33998596533787,0.39145119301533754,87.3067956596092,0.15915321456103848,-0.10996257175485483,1,-0.016614991117077694,3,-0.033190305728683714,2
0.1,85.3978675263429,0.7190867406514985,84.96087049766918,0.6813743233629393,84.97930249819474,0.3396062059707921,84.6628117575692,0.8646802947852302,-0.735055768773708,0,-0.2980587400999667,1,-0.31649074062553384,1
0.2,81.93533089486353,1.1953096313654312,82.21291888970214,1.0633794073119223,82.21971356419478,0.9269831470414284,82.32945264733613,1.1422583110512727,0.3941217524725971,5,0.11653375763398514,3,0.1097390831413378,3
0.3,80.90709582532651,0.8903471381837074,80.93765432411051,0.6127434906816671,80.89495749384481,0.5068871653979912,80.62057083986201,0.7113319061490765,-0.28652498546450145,2,-0.31708348424850213,0,-0.27438665398280193,1
0.4,78.08756137088544,1.0333595596528224,78.61869658964585,2.080093675120577,77.9275760558685,1.7550844560383423,77.7607297512553,1.876308559321793,-0.3268316196301299,1,-0.8579668383905442,0,-0.1668463046131933,2
0.5,76.62993445059381,1.0638203511695492,76.52329890251306,1.1366461112029782,76.3506669092338,1.210187045384335,76.31869442859761,1.2248980704645116,-0.3112400219961984,2,-0.20460447391544107,3,-0.03197248063617906,3
0.6,75.0903066447032,0.8347113390585674,75.53513005194148,0.2564114824561143,75.59144493804106,0.7032855592069985,75.62191899240679,0.7920437325578908,0.5316123477035802,4,0.08678894046531127,4,0.030474054365728875,3
0.7,74.55283562008108,2.172177519600399,74.49216794056731,2.2018751587249894,73.81675412185359,2.869647120115908,73.67725650928247,3.100867942652169,-0.8755791107986142,1,-0.814911431284844,1,-0.13949761257112528,2
all8,80.00221132052006,0.46770925105372785,80.07551848085947,0.45244212996148986,79.89005019332114,0.17366578474113406,79.78727882323984,0.3210829879682516,-0.21493249728022762,2,-0.28823965761962994,1,-0.10277137008130524,2
high,75.42435890512604,0.876699663000675,75.51686563167395,0.6159848317608554,75.25295532304281,0.42423633985082837,75.20595664342896,0.5004084075205866,-0.21840226169707364,1,-0.3109089882449837,2,-0.04699867961385564,2
