seed,rate,pattern,sample_index,D_norm,abs_score,first_shuffle_donor_index,real,shuffle,random,symmetric,real_fd_0.001,real_fd_0.0005,shuffle_fd_0.001,shuffle_fd_0.0005,random_fd_0.001,random_fd_0.0005,symmetric_fd_0.001,symmetric_fd_0.0005,shuffle_draw_sd,random_draw_sd,symmetric_draw_sd
66,0.1,AT,68,2.500847339630127,0.9376967027411477,570,0.0008273818282732587,0.0003830366021167148,0.0010063891341333877,0.0024899485506481717,0.0008273818281612222,0.0008273818281612222,0.0003614421301145754,0.00036144212933741926,0.0014590520590052058,0.00145905205872765,0.0021108804772462797,0.002110880477301791,0.0003001326606319899,0.00046446455603892,0.0014478713323018903
66,0.1,AT,101,3.3620426654815674,0.8257509062896695,257,0.0003063794264123029,0.0006726003799535608,0.000854851365341633,0.002193230301913023,0.00030637942821654107,0.0003063794269397846,0.000765485893283735,0.0007654858944494691,0.000577849624816551,0.000577849624816551,0.0025038799939536283,0.002503879994897318,0.00015862880227630156,0.0008030702061365804,0.0017305814755325137
66,0.1,AT,103,2.977668046951294,0.9243657375657373,624,0.00021209188341965397,0.0002611878522418553,0.0007707086106152826,0.0018282936429123322,0.00021209188333370932,0.00021209188350024277,0.00010300540459473595,0.00010300540220775645,0.0012568906305188143,0.0012568906304633032,0.0002804188526384088,0.00028041885224983076,0.0001153789211228513,0.0005948775689583026,0.0015079156461008758
66,0.1,AT,154,4.96207332611084,0.13384908819876556,220,0.0006854568533551862,0.0005857052136507565,0.0005353324195467045,0.0009346495639713851,0.0006854568534442329,0.0006854568533887218,0.0005492449723781823,0.0005492449730026827,0.0002462785924084443,0.0002462785926304889,0.0006321550541227294,0.0006321550539978293,0.0001602532222788655,0.0003802214434040988,0.0009947855030439867
66,0.1,AT,171,5.382526874542236,1.0063501212196178,446,0.0015762428281147383,0.0012864338074562356,0.0006359119583315947,0.0027005416004815446,0.0015762428295928999,0.0015762428287047214,0.0018055953134865632,0.0018055953123763402,0.0011786621888498772,0.0011786621896270333,0.0022711343879988632,0.0022711343892201086,0.0006036819255430444,0.00046483961850158674,0.0016250225944498267
66,0.1,AT,190,3.1740097999572754,1.7981346427072755,101,0.0004722089736139863,0.0005131330875537478,0.0003955686570748616,0.0011478325130460964,0.00047220897336774925,0.00047220897370081616,0.0008292604481985322,0.0008292604491977329,0.0005035821776244731,0.00050358217795754,0.00015805677588964784,0.00015805677544555863,0.0002362752307944332,0.0002742965372535916,0.0006049631628373169
66,0.1,AT,192,4.987951755523682,0.9981936049691403,68,0.0004971600034613307,0.0008532825146458278,0.0007741773356317946,0.0014073638295505697,0.0004971600040537538,0.0004971600036096646,0.0011731812845638956,0.0011731812848969625,0.0009357303353829671,0.0009357303355495006,0.0011061044575266799,0.0011061044576932133,0.00023491818732865896,0.0006282902739051194,0.0007477509942558368
66,0.1,AT,199,5.462839603424072,1.3574781965357632,318,0.002697127609033727,0.002356705331752044,0.0010152122220513896,0.0026826172361122144,0.002697127610917782,0.0026971276094744923,0.0033184207449687975,0.0033184207441916413,0.0014185534228383645,0.0014185534236155206,9.863015559830046e-05,9.863015626443428e-05,0.0010176539935697372,0.0007630656059353143,0.002012024141429145
66,0.1,AT,209,3.707289695739746,0.9029575209739777,225,0.0012665582193536135,0.0018020274999478879,0.0006793242232263468,0.0013440873672993774,0.0012665582181936585,0.0012665582191928593,0.0017113703078552867,0.0017113703090210208,0.0005831790927945946,0.0005831790927945946,0.0011236307687623182,0.001123630770538675,0.00012173990733028822,0.0005636993002457132,0.0009691361738649226
66,0.1,AT,212,3.3934688568115234,0.5017730402684668,413,0.0013534786138125763,0.000748221825554947,0.0007014932170408804,0.0024380469378543915,0.0013534786127422649,0.0013534786136304433,0.000654502023134107,0.0006545020236892185,8.767849496438274e-05,8.767849524193849e-05,0.004369796501424439,0.004369796503200796,0.00016927145379282162,0.0007011736342934918,0.0012457745222367732
66,0.1,AT,220,3.191927909851074,1.8150110986051933,239,0.0003662968398906325,0.0005223492331359429,0.0006919380047944605,0.0023440781663196467,0.00036629683985989203,0.00036629684019295894,0.00015718042878365424,0.00015718042978285496,8.771494797166213e-05,8.771494774961752e-05,0.003666119197442974,0.0036661191979980856,0.0004034850088650384,0.0006015646649886865,0.0017924000178598106
66,0.1,AT,225,4.174371719360352,0.7813369213338444,199,0.000854142185779735,0.0004879186477030503,0.0010460175000853223,0.0014767906677688695,0.0008541421847030328,0.0008541421856467224,0.0011245938730253258,0.0011245938740245265,0.0009414345208957897,0.0009414345213398789,0.0006915626087899973,0.0006915626081793746,0.00032891491735408395,0.00048459782687554153,0.0010467041425682964
66,0.1,AT,236,3.8620054721832275,1.0304068014061643,377,0.00016849866108711875,0.0003296911945126305,0.000950167325182033,0.0030313341251846596,0.00016849866268930924,0.00016849866146806391,0.0004190749820498496,0.0004190749811616712,0.0003024823286290612,0.0003024823291841727,0.00425014583171901,0.004250145833495367,0.00020434495962748898,0.0008126205996756677,0.0017942192259064187
