seed,rate,pattern,n,zero_D,total_eligible,replay_fp64_max_abs_error,fd_max_abs_error,fd_mean_abs_error,real_mean,real_median,real_p90,shuffle_mean,shuffle_median,shuffle_p90,real_less_shuffle,random_mean,random_median,random_p90,real_less_random,symmetric_mean,symmetric_median,symmetric_p90,real_less_symmetric
66,0.1,AT,46,4,50,3.12548674719082e-07,3.802702944200043e-12,5.342340408876081e-13,0.0009033299992820566,0.0008165447418500573,0.0016790984932633446,0.0007645688888344175,0.0005840578233969063,0.0016387502702971573,0.30434782608695654,0.0007570296152179011,0.0007176828591396341,0.0010432638293575418,0.43478260869565216,0.0018741306600534775,0.0017928409287220827,0.002844643007301446,0.8260869565217391
66,0.1,AV,53,2,55,2.1066289551674444e-07,4.158246663665821e-12,5.74120152271387e-13,0.0013225822068107403,0.0012685683763913047,0.0022816185141752714,0.0011156973491074547,0.001097258671378258,0.0019090034334260598,0.18867924528301888,0.0007914945792087773,0.000794162538329006,0.001203974730415883,0.32075471698113206,0.0021129152799039146,0.0019506778768430635,0.0031635350950476393,0.6792452830188679
66,0.1,TV,60,0,60,3.1739406036734863e-07,6.815081485256336e-12,6.951970587152943e-13,0.003143215393003912,0.0034810693564181847,0.005218787388580447,0.003584799279030128,0.003615068889850653,0.005277988386658494,0.5,0.0007479648245812245,0.0007465477335619631,0.0009927574101416467,0.1,0.001641746671301256,0.001692123941547813,0.0023283465119487614,0.2833333333333333
66,0.2,AT,75,2,77,3.2415906581206855e-07,5.198704314257618e-12,5.644934852310398e-13,0.0007808607241509696,0.0006630228589359866,0.0014616102753885482,0.0008036363394820142,0.0006735929349717153,0.0014486173446133326,0.5333333333333333,0.000776974649002115,0.0007797573714250038,0.0011141789389436225,0.5466666666666666,0.0020916456152863454,0.0021404428845072138,0.0031833571492451036,0.8933333333333333
66,0.2,AV,90,3,93,2.460853394392615e-07,4.251167126656519e-12,5.061283881392807e-13,0.0013468745234877138,0.0013263860616171443,0.00216067726525658,0.0011375645098073135,0.001095617171174499,0.001790532625894302,0.3111111111111111,0.0007893773165726209,0.0007935001118516884,0.0010662778249965487,0.24444444444444444,0.0022355887203917733,0.0022787500103126886,0.0032527813146532216,0.7666666666666667
66,0.2,TV,83,2,85,3.442871872039177e-07,8.56785128955373e-12,5.997243135156757e-13,0.002961122375395766,0.003248016758086326,0.0049941682099016544,0.0031586546352321276,0.003174909492982883,0.0049447332802156005,0.5180722891566265,0.0007032242628274896,0.0006652738125686775,0.001023370785302036,0.10843373493975904,0.0015707608455646812,0.0015447242846555879,0.0022546667942738743,0.25301204819277107
66,0.3,AT,98,2,100,2.911584406906087e-07,4.010531490239444e-12,5.365163395900238e-13,0.00088458678535391,0.0006651643631939406,0.002195849304736664,0.0008014168568262421,0.0006527022319550411,0.0016638368241938142,0.5102040816326531,0.0007945024983505994,0.0007609102938474156,0.0011373541861910148,0.5510204081632653,0.0020503534428113336,0.002012377972179514,0.002902914480844759,0.8367346938775511
66,0.3,AV,107,7,114,2.528953860769789e-07,5.6909988874198625e-12,5.646729904827234e-13,0.0014153144015020332,0.0015576595283660248,0.0024862700387214024,0.0011899788447084511,0.001185456575319327,0.0018442821979837874,0.2897196261682243,0.000741786994260631,0.0007087661834125907,0.0009579791264101182,0.27102803738317754,0.0022658451612133225,0.0022019151310171256,0.003353693969538631,0.6728971962616822
66,0.3,TV,75,2,77,3.136362491940048e-07,9.357910280005655e-12,6.384601464323128e-13,0.0028201112951229176,0.003097575679456535,0.004951306374279644,0.0030752973546725173,0.0031944641417895867,0.0045594890376569166,0.56,0.0007408612346540731,0.0007071524368638079,0.0010380221347420307,0.08,0.0014714571487503705,0.0014609908525320082,0.0021678480375708345,0.24
66,0.4,AT,93,4,97,3.588114758645844e-07,6.469219257509984e-12,5.672710077902736e-13,0.0007752556579636631,0.000655249267623733,0.0014208781523213831,0.0007204234817574575,0.0006111673036735709,0.0012538739972390374,0.45161290322580644,0.0007385308647549497,0.0007036455340733957,0.0010913010408573854,0.4946236559139785,0.0019683453397980393,0.0018499938532241169,0.0030849072491583975,0.9139784946236559
66,0.4,AV,88,2,90,2.186311631735549e-07,4.467213057801622e-12,5.296145464701637e-13,0.0014059712331112562,0.001484004774687804,0.002248106177219879,0.0011498388109233684,0.0011062476237938283,0.0018823126556331102,0.2727272727272727,0.0007520842846045632,0.0007428465548111738,0.0010681442144587629,0.25,0.0019316429141977814,0.0018374851370254,0.002840095756525852,0.6590909090909091
66,0.4,TV,95,5,100,3.2546560468915686e-07,7.299081478118197e-12,6.692336179041185e-13,0.003123812421457653,0.0034504293406488586,0.005047951425160824,0.0035788824832921236,0.0036384248135333933,0.005455166466856201,0.5368421052631579,0.0007680405983686348,0.0007532920312221523,0.0010936966250115483,0.10526315789473684,0.0016151473696396927,0.0016216650055516355,0.002287363839398707,0.25263157894736843
66,0.5,AT,72,4,76,2.9911105103863633e-07,5.013975346024324e-12,5.759334090649841e-13,0.0009198066199868823,0.000646140905242273,0.0022671349704410275,0.0008332216556459015,0.00057855710208137,0.0017390726859586728,0.4166666666666667,0.0007227751553491751,0.000673015736780521,0.001090454508833134,0.5694444444444444,0.001991282512043493,0.0018869017919246572,0.002972488422811363,0.875
66,0.5,AV,84,0,84,2.0074603790387613e-07,3.593777185562086e-12,6.055684523129064e-13,0.0013392909706114859,0.0012125461003831038,0.0022887501903989496,0.0012041657647360537,0.0012359328116910678,0.001813954830092915,0.4523809523809524,0.0008075004574128774,0.0007654038107610256,0.0011839553346619045,0.3333333333333333,0.0023320884477948927,0.002292187260987723,0.0034360381919567207,0.7619047619047619
66,0.5,TV,88,1,89,3.179528231811446e-07,6.720717732333625e-12,6.18693676813076e-13,0.00273018043263411,0.0027771675338954605,0.004774565677416887,0.0030457623529726043,0.003222866544801936,0.004705355686181665,0.5568181818181818,0.0007131454592199633,0.0006950196794518354,0.0010568390706635995,0.18181818181818182,0.001511597526031106,0.0014708839973071397,0.002412452338013491,0.29545454545454547
66,0.6,AT,58,3,61,3.230429359568632e-07,1.1951245548758038e-11,6.232703397509996e-13,0.000988353740077865,0.0007236254945989532,0.002453283420749168,0.0008891111394031604,0.0006216082791523099,0.0018936211420097985,0.39655172413793105,0.0007371079029155946,0.00071705143688793,0.0010541793763726008,0.5,0.0019701520281309366,0.0018698609171594323,0.0032150406667778952,0.7931034482758621
66,0.6,AV,60,4,64,2.0080801399480208e-07,6.748428205138879e-12,5.949711011047955e-13,0.0014561392609204918,0.0013693238874019284,0.0022949716565245776,0.0012442416776178055,0.0012267708968662521,0.0017289320294683551,0.2833333333333333,0.0007599080175893264,0.0007283247656678646,0.0010018968892923957,0.16666666666666666,0.0023335520461319264,0.002278477313070987,0.0033506443042282488,0.8
66,0.6,TV,75,3,78,2.758764821031434e-07,6.32127857003173e-12,6.173169553389933e-13,0.0027524434037064665,0.0030933780744033,0.0048678576525040766,0.0031756850149999337,0.0030369040959107203,0.005059737760943616,0.56,0.000738303757890767,0.0006888667422376467,0.001054472281325828,0.09333333333333334,0.0014027661825918145,0.001450675336931402,0.002144523599931651,0.16
66,0.7,AT,37,0,37,5.06665000399309e-07,5.228507730936638e-12,6.512593638642556e-13,0.0009013757330384956,0.0005185135024916124,0.0022647822846258415,0.0008529792576965583,0.0005899944114635483,0.0019205802762245067,0.4864864864864865,0.0007570746342611563,0.0007121449167861583,0.001113460134626464,0.6756756756756757,0.0021282010388533894,0.0021701860197424626,0.0028839502183039506,0.918918918918919
