pattern,seed,real,shuffle,random,symmetric
ALL,66,0.0017898731498374122,0.0018110841795572936,0.000758673610548837,0.0019127238494631546
ALL,67,0.0034019757744779932,0.003916259810157997,0.0010084225267694264,0.0024415712204826643
ALL,68,0.0037920055217093578,0.004001473976499118,0.0009248804506906252,0.0020390625114550414
ALL,69,0.0036221849132941656,0.003514546023280908,0.0009739163255107843,0.0025281316969741167
ALL,70,0.004154411549403034,0.003799156265475578,0.0007187049587970314,0.0012526951645097672
AT,66,0.0008790813228362632,0.0008093368028065361,0.0007548564742644988,0.002010587233853859
AT,67,0.0020797217209175176,0.0027090487451965593,0.001234922750993157,0.003028060396914319
AT,68,0.005163874048651785,0.005597507731093296,0.0011063796816086385,0.0020595533481461785
AT,69,0.002661041650373679,0.0029287508743759657,0.0011568051055715674,0.003035678936824841
AT,70,0.0052099634046044105,0.004291656929482882,0.0008748116541810884,0.0015351026582136472
AV,66,0.0014350587794010254,0.0012150559067745626,0.000786094543434533,0.0022124923058779887
AV,67,0.0037806276691920875,0.003587373790022652,0.0009122188344545307,0.0023643597709776983
AV,68,0.0027154136408672615,0.002663378148456858,0.000868453479592528,0.0023749887710662306
AV,69,0.0022621903448857552,0.001985274450453429,0.0008049563630905731,0.0023746487847274575
AV,70,0.005656420643834017,0.0053550221630255055,0.0008074042147580161,0.0013731308560632036
TV,66,0.0029451101051295235,0.0032721771915498626,0.0007363969674579563,0.0015348707232707877
TV,67,0.004352490678229127,0.005537323124154068,0.0008800411926933413,0.0019198345180031838
TV,68,0.0034282974057008478,0.0036597187926290554,0.0008050916092553229,0.0017179499138915571
TV,69,0.005836670391602386,0.005530428787982584,0.0009669090445208027,0.002211776398523706
TV,70,0.0015664976723263392,0.0017410813106264907,0.0004694752002440343,0.0008462077374939715
