audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4892 val8_wf1=0.2544 cls=2.3062 jepa=3.3365
epoch=002 train_wf1=0.4739 val8_wf1=0.4187 cls=2.6023 jepa=2.8080
epoch=003 train_wf1=0.3923 val8_wf1=0.4187 cls=2.2637 jepa=2.5735
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3842 jepa=2.4803
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2458 jepa=2.4410
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2679 jepa=2.4340
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2678 jepa=2.4114
epoch=008 train_wf1=0.3929 val8_wf1=0.4187 cls=2.3407 jepa=2.4004
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3189 jepa=2.3894
epoch=010 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2481 jepa=2.3773
epoch=011 train_wf1=0.3922 val8_wf1=0.4187 cls=2.1772 jepa=2.3638
epoch=012 train_wf1=0.4794 val8_wf1=0.3707 cls=2.2082 jepa=2.3593
epoch=013 train_wf1=0.5955 val8_wf1=0.3833 cls=2.2140 jepa=2.3503
epoch=014 train_wf1=0.5807 val8_wf1=0.3823 cls=2.4266 jepa=2.3411
epoch=015 train_wf1=0.5686 val8_wf1=0.4064 cls=2.0690 jepa=2.3509
epoch=016 train_wf1=0.5368 val8_wf1=0.4159 cls=2.0137 jepa=2.3419
epoch=017 train_wf1=0.6588 val8_wf1=0.4064 cls=1.9140 jepa=2.3380
epoch=018 train_wf1=0.5753 val8_wf1=0.4285 cls=2.3238 jepa=2.3232
epoch=019 train_wf1=0.6547 val8_wf1=0.5459 cls=1.8788 jepa=2.3299
epoch=020 train_wf1=0.6997 val8_wf1=0.5707 cls=1.7417 jepa=2.3394
epoch=021 train_wf1=0.6937 val8_wf1=0.6494 cls=1.6875 jepa=2.3170
epoch=022 train_wf1=0.7120 val8_wf1=0.6902 cls=1.6285 jepa=2.3190
epoch=023 train_wf1=0.7235 val8_wf1=0.6366 cls=1.6602 jepa=2.3242
epoch=024 train_wf1=0.7225 val8_wf1=0.7279 cls=1.6140 jepa=2.3152
epoch=025 train_wf1=0.7424 val8_wf1=0.7246 cls=1.4467 jepa=2.2975
epoch=026 train_wf1=0.7492 val8_wf1=0.7265 cls=1.4085 jepa=2.2950
epoch=027 train_wf1=0.7652 val8_wf1=0.6779 cls=1.3484 jepa=2.2981
epoch=028 train_wf1=0.7614 val8_wf1=0.6970 cls=1.3188 jepa=2.2786
epoch=029 train_wf1=0.7676 val8_wf1=0.7120 cls=1.3258 jepa=2.2819
epoch=030 train_wf1=0.7921 val8_wf1=0.7310 cls=1.1832 jepa=2.2522
epoch=031 train_wf1=0.8034 val8_wf1=0.7314 cls=1.1208 jepa=2.2613
epoch=032 train_wf1=0.8076 val8_wf1=0.7441 cls=1.1573 jepa=2.2578
epoch=033 train_wf1=0.7969 val8_wf1=0.7177 cls=1.0947 jepa=2.2631
epoch=034 train_wf1=0.7946 val8_wf1=0.7561 cls=1.1384 jepa=2.2601
epoch=035 train_wf1=0.8134 val8_wf1=0.7665 cls=1.0556 jepa=2.2549
epoch=036 train_wf1=0.8185 val8_wf1=0.7574 cls=1.1666 jepa=2.2445
epoch=037 train_wf1=0.8275 val8_wf1=0.7343 cls=1.0374 jepa=2.2505
epoch=038 train_wf1=0.7909 val8_wf1=0.7567 cls=1.1069 jepa=2.2443
epoch=039 train_wf1=0.8161 val8_wf1=0.7067 cls=1.0130 jepa=2.2474
epoch=040 train_wf1=0.8200 val8_wf1=0.7664 cls=0.9856 jepa=2.2114
epoch=041 train_wf1=0.8319 val8_wf1=0.7532 cls=1.0144 jepa=2.2242
epoch=042 train_wf1=0.8384 val8_wf1=0.7367 cls=0.9288 jepa=2.2207
epoch=043 train_wf1=0.8381 val8_wf1=0.7218 cls=0.9351 jepa=2.1848
epoch=044 train_wf1=0.8115 val8_wf1=0.7692 cls=0.9616 jepa=2.1905
epoch=045 train_wf1=0.8464 val8_wf1=0.7496 cls=0.8800 jepa=2.1830
epoch=046 train_wf1=0.8431 val8_wf1=0.7472 cls=0.8707 jepa=2.1976
epoch=047 train_wf1=0.8356 val8_wf1=0.7697 cls=0.8769 jepa=2.1571
epoch=048 train_wf1=0.8500 val8_wf1=0.7395 cls=0.8504 jepa=2.1761
epoch=049 train_wf1=0.8542 val8_wf1=0.7250 cls=0.8192 jepa=2.1855
epoch=050 train_wf1=0.8299 val8_wf1=0.7672 cls=0.8631 jepa=2.1794
epoch=051 train_wf1=0.8642 val8_wf1=0.7517 cls=0.7987 jepa=2.1526
epoch=052 train_wf1=0.8527 val8_wf1=0.7431 cls=0.8126 jepa=2.1591
epoch=053 train_wf1=0.8600 val8_wf1=0.7592 cls=0.7920 jepa=2.1434
epoch=054 train_wf1=0.8596 val8_wf1=0.7303 cls=0.7703 jepa=2.1252
epoch=055 train_wf1=0.8629 val8_wf1=0.7354 cls=0.7418 jepa=2.1225
epoch=056 train_wf1=0.8573 val8_wf1=0.7475 cls=0.7444 jepa=2.1108
epoch=057 train_wf1=0.8768 val8_wf1=0.7373 cls=0.6618 jepa=2.0748
epoch=058 train_wf1=0.8762 val8_wf1=0.7380 cls=0.6735 jepa=2.0818
epoch=059 train_wf1=0.8802 val8_wf1=0.7355 cls=0.6512 jepa=2.0584
epoch=060 train_wf1=0.8870 val8_wf1=0.7326 cls=0.6237 jepa=2.0548
epoch=061 train_wf1=0.8907 val8_wf1=0.7575 cls=0.6059 jepa=2.0304
epoch=062 train_wf1=0.8936 val8_wf1=0.7230 cls=0.6172 jepa=2.0200
epoch=063 train_wf1=0.8912 val8_wf1=0.7506 cls=0.6020 jepa=2.0300
epoch=064 train_wf1=0.9010 val8_wf1=0.7657 cls=0.5765 jepa=1.9974
epoch=065 train_wf1=0.8949 val8_wf1=0.7456 cls=0.5522 jepa=1.9769
epoch=066 train_wf1=0.8971 val8_wf1=0.7595 cls=0.5490 jepa=1.9612
epoch=067 train_wf1=0.9070 val8_wf1=0.7410 cls=0.5261 jepa=1.9484
epoch=068 train_wf1=0.9037 val8_wf1=0.7355 cls=0.5078 jepa=1.9326
epoch=069 train_wf1=0.8991 val8_wf1=0.7478 cls=0.5231 jepa=1.9231
epoch=070 train_wf1=0.9078 val8_wf1=0.7627 cls=0.5058 jepa=1.8953
epoch=071 train_wf1=0.9127 val8_wf1=0.7340 cls=0.5071 jepa=1.8904
epoch=072 train_wf1=0.9031 val8_wf1=0.7309 cls=0.4871 jepa=1.8973
epoch=073 train_wf1=0.9088 val8_wf1=0.7399 cls=0.4670 jepa=1.8691
epoch=074 train_wf1=0.9241 val8_wf1=0.7336 cls=0.4456 jepa=1.8689
epoch=075 train_wf1=0.9178 val8_wf1=0.7302 cls=0.4457 jepa=1.8449
epoch=076 train_wf1=0.9113 val8_wf1=0.7364 cls=0.4321 jepa=1.8255
epoch=077 train_wf1=0.9231 val8_wf1=0.7369 cls=0.4171 jepa=1.8075
epoch=078 train_wf1=0.9216 val8_wf1=0.7404 cls=0.4016 jepa=1.7780
epoch=079 train_wf1=0.9201 val8_wf1=0.7335 cls=0.4083 jepa=1.7891
epoch=080 train_wf1=0.9271 val8_wf1=0.7430 cls=0.3921 jepa=1.7667
epoch=081 train_wf1=0.9350 val8_wf1=0.7449 cls=0.3572 jepa=1.7556
epoch=082 train_wf1=0.9324 val8_wf1=0.7191 cls=0.3470 jepa=1.7172
epoch=083 train_wf1=0.9404 val8_wf1=0.7375 cls=0.3220 jepa=1.7019
epoch=084 train_wf1=0.9289 val8_wf1=0.7459 cls=0.3452 jepa=1.6856
epoch=085 train_wf1=0.9340 val8_wf1=0.7391 cls=0.3340 jepa=1.6817
epoch=086 train_wf1=0.9292 val8_wf1=0.7241 cls=0.3536 jepa=1.6824
epoch=087 train_wf1=0.9313 val8_wf1=0.7170 cls=0.3458 jepa=1.6791
epoch=088 train_wf1=0.9337 val8_wf1=0.7206 cls=0.3255 jepa=1.6492
epoch=089 train_wf1=0.9319 val8_wf1=0.7375 cls=0.3358 jepa=1.6299
epoch=090 train_wf1=0.9314 val8_wf1=0.7222 cls=0.3395 jepa=1.6421
epoch=091 train_wf1=0.9395 val8_wf1=0.7301 cls=0.2916 jepa=1.6269
epoch=092 train_wf1=0.9346 val8_wf1=0.7271 cls=0.3012 jepa=1.5746
epoch=093 train_wf1=0.9452 val8_wf1=0.7111 cls=0.2884 jepa=1.5851
epoch=094 train_wf1=0.9473 val8_wf1=0.7276 cls=0.2740 jepa=1.5447
epoch=095 train_wf1=0.9490 val8_wf1=0.7128 cls=0.2465 jepa=1.5260
epoch=096 train_wf1=0.9468 val8_wf1=0.7048 cls=0.2556 jepa=1.5245
epoch=097 train_wf1=0.9472 val8_wf1=0.7124 cls=0.2619 jepa=1.5132
epoch=098 train_wf1=0.9457 val8_wf1=0.7152 cls=0.2542 jepa=1.4972
epoch=099 train_wf1=0.9470 val8_wf1=0.7118 cls=0.2359 jepa=1.4797
epoch=100 train_wf1=0.9505 val8_wf1=0.7215 cls=0.2255 jepa=1.4302
