dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.7,audio,399,52,0.13032581453634084
CMUMOSI,0.7,text,410,35,0.08536585365853659
CMUMOSI,0.7,visual,385,45,0.11688311688311688
