pattern,observed_count,mean_wf1,sample_sd,drop_from_alv,mean_accuracy,mean_mae
A,1,39.44738260060033,9.283458809000622,-48.611765454423455,47.04268292682927,1.4790289402008057
L,1,85.53141818555784,1.0708452150119423,-2.5277298694659436,85.67073170731707,0.7837388038635253
V,1,58.10700756147829,3.7338883012640998,-29.952140493545492,58.8109756097561,1.3697760343551635
AL,2,85.77405274552657,0.999882947342666,-2.2850953094972084,85.94512195121952,0.7557036519050598
AV,2,59.3971449820008,3.7438257422668952,-28.66200307302298,59.8170731707317,1.3550274133682252
LV,2,86.6091945923852,0.9389492145662961,-1.4499534626385895,86.64634146341463,0.769230592250824
ALV,3,88.05914805502378,0.5413198148996222,0.0,88.07926829268293,0.8113990068435669
