dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
CMUMOSI,0.3,audio,214,1.5093457943925233,1.0,3.0
CMUMOSI,0.3,text,193,1.4196891191709844,1.0,2.0
CMUMOSI,0.3,visual,169,1.3550295857988166,1.0,2.0
