dataset,rate,osram_mean,osram_std,positive_seed_count
osram_iemocap4_20260906,0.0,0.862597569,0.004554395,NA
osram_iemocap4_20260906,0.1,0.861381317,0.005594287,NA
osram_iemocap4_20260906,0.2,0.854661243,0.007734173,NA
osram_iemocap4_20260906,0.3,0.847608399,0.003338407,NA
osram_iemocap4_20260906,0.4,0.841789934,0.006104638,NA
osram_iemocap4_20260906,0.5,0.825631719,0.017010800,NA
osram_iemocap4_20260906,0.6,0.826115192,0.009542964,NA
osram_iemocap4_20260906,0.7,0.821295421,0.006310074,NA
