dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.3,audio,193,17,0.08808290155440414
CMUMOSI,0.3,text,190,7,0.03684210526315789
CMUMOSI,0.3,visual,200,9,0.045
