dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
IEMOCAPFour,0.3,audio,369,15,0.04065040650406504
IEMOCAPFour,0.3,text,359,17,0.04735376044568245
IEMOCAPFour,0.3,visual,368,17,0.04619565217391304
