group,seed,rate,pattern,count,weighted_f1
PAM-A,68,0.0,AV,0,None
PAM-A,68,0.0,AT,0,None
PAM-A,68,0.0,ATV,686,86.54704367070389
PAM-A,68,0.1,V,3,33.33333333333333
PAM-A,68,0.1,T,8,73.33333333333334
PAM-A,68,0.1,TV,75,89.21481481481482
PAM-A,68,0.1,A,4,100.0
PAM-A,68,0.1,AV,57,62.6038781163435
PAM-A,68,0.1,AT,50,87.87775891341258
PAM-A,68,0.1,ATV,489,85.0239721206729
PAM-A,68,0.2,V,29,54.590237348858025
PAM-A,68,0.2,T,19,89.47368421052632
PAM-A,68,0.2,TV,97,81.26948508787257
PAM-A,68,0.2,A,25,48.0
PAM-A,68,0.2,AV,91,69.62632219323751
PAM-A,68,0.2,AT,83,89.13394501358188
PAM-A,68,0.2,ATV,342,85.73523794973646
PAM-A,68,0.3,V,41,54.241781548250266
PAM-A,68,0.3,T,63,85.63423127726854
PAM-A,68,0.3,TV,102,83.29820335240389
PAM-A,68,0.3,A,49,65.04206756698451
PAM-A,68,0.3,AV,97,72.63362282395224
PAM-A,68,0.3,AT,96,91.61592505854802
PAM-A,68,0.3,ATV,238,83.12385823894775
PAM-A,68,0.4,V,70,46.31016042780748
PAM-A,68,0.4,T,68,86.73848584117776
PAM-A,68,0.4,TV,108,92.54465733338974
PAM-A,68,0.4,A,87,66.88545512557546
PAM-A,68,0.4,AV,92,59.845637759781944
PAM-A,68,0.4,AT,96,85.10101010101009
PAM-A,68,0.4,ATV,165,88.37971955544552
PAM-A,68,0.5,V,105,58.121043874168585
PAM-A,68,0.5,T,117,82.47965904688105
PAM-A,68,0.5,TV,90,84.52222222222221
PAM-A,68,0.5,A,116,64.03423009743933
PAM-A,68,0.5,AV,88,79.21122994652404
PAM-A,68,0.5,AT,92,82.65822001196838
PAM-A,68,0.5,ATV,78,84.7843302887915
PAM-A,68,0.6,V,152,52.99558953249046
PAM-A,68,0.6,T,150,82.7607843137255
PAM-A,68,0.6,TV,67,92.48630395527489
PAM-A,68,0.6,A,154,71.73601398601399
PAM-A,68,0.6,AV,52,61.41675708965073
PAM-A,68,0.6,AT,73,84.6721524061019
PAM-A,68,0.6,ATV,38,97.35104452253157
PAM-A,68,0.7,V,203,58.36571875064257
PAM-A,68,0.7,T,137,87.67796992797663
PAM-A,68,0.7,TV,44,82.01624083977023
PAM-A,68,0.7,A,188,57.3881850652469
PAM-A,68,0.7,AV,46,57.41168153369512
PAM-A,68,0.7,AT,46,84.9845102019015
PAM-A,68,0.7,ATV,22,81.66666666666666
PAM-A,69,0.0,V,0,None
PAM-A,69,0.0,T,0,None
PAM-A,69,0.0,TV,0,None
PAM-A,69,0.0,A,0,None
PAM-A,69,0.0,AV,0,None
PAM-A,69,0.0,AT,0,None
PAM-A,69,0.0,ATV,686,86.98971110010531
PAM-A,69,0.1,V,7,38.095238095238095
PAM-A,69,0.1,T,7,70.23809523809523
PAM-A,69,0.1,TV,52,82.76601447333155
PAM-A,69,0.1,A,9,87.4074074074074
PAM-A,69,0.1,AV,58,61.972229759222344
PAM-A,69,0.1,AT,49,85.33451484271157
PAM-A,69,0.1,ATV,504,87.10783872662415
PAM-A,69,0.2,V,24,51.25529340592861
PAM-A,69,0.2,T,23,82.6086956521739
PAM-A,69,0.2,TV,80,86.23484490631398
PAM-A,69,0.2,A,29,57.021489255372316
PAM-A,69,0.2,AV,87,65.82972985539593
PAM-A,69,0.2,AT,96,82.33855185909981
PAM-A,69,0.2,ATV,347,85.13958285820912
PAM-A,69,0.3,V,46,73.91304347826086
PAM-A,69,0.3,T,45,88.94660894660895
PAM-A,69,0.3,TV,102,80.51581689041402
PAM-A,69,0.3,A,50,62.383838383838395
PAM-A,69,0.3,AV,94,70.79828569478963
PAM-A,69,0.3,AT,105,83.61688063180598
PAM-A,69,0.3,ATV,244,85.71052304239988
PAM-A,69,0.4,V,79,57.37744978251308
PAM-A,69,0.4,T,78,85.93354077225044
PAM-A,69,0.4,TV,96,88.51132918920993
PAM-A,69,0.4,A,90,58.94556544262019
PAM-A,69,0.4,AV,101,67.40070734458442
PAM-A,69,0.4,AT,91,85.27472527472527
PAM-A,69,0.4,ATV,151,84.81325820870674
PAM-A,69,0.5,V,125,66.05330405012596
PAM-A,69,0.5,T,133,88.01775523145213
PAM-A,69,0.5,TV,88,82.86678667866786
PAM-A,69,0.5,A,123,70.77687756051434
PAM-A,69,0.5,AV,77,55.20421607378129
PAM-A,69,0.5,AT,70,79.60144927536233
PAM-A,69,0.5,ATV,70,83.12687312687312
PAM-A,69,0.6,V,151,65.83015055421237
PAM-A,69,0.6,T,166,84.28161869122151
PAM-A,69,0.6,TV,56,75.95238095238095
PAM-A,69,0.6,A,148,66.5488436438157
