variant,seed,rate,pattern,count,excluded_original_neutral,weighted_f1
modality-tracks,70,0.6,V,110,6,0.6459023923444975
modality-tracks,70,0.6,T,158,6,0.8678139011789411
modality-tracks,70,0.6,TV,61,1,0.8360655737704918
modality-tracks,70,0.6,A,143,7,0.704376701614412
modality-tracks,70,0.6,AV,73,2,0.5777349025660814
modality-tracks,70,0.6,AT,75,5,0.84
modality-tracks,70,0.6,ATV,36,3,0.861003861003861
modality-tracks,70,0.7,V,183,11,0.6039967379750701
modality-tracks,70,0.7,T,168,7,0.838180967968202
modality-tracks,70,0.7,TV,41,0,0.8131332082551594
modality-tracks,70,0.7,A,169,7,0.6165164315453333
modality-tracks,70,0.7,AV,32,3,0.48750000000000004
modality-tracks,70,0.7,AT,52,2,0.9044279641294567
modality-tracks,70,0.7,ATV,11,0,0.9075369075369075
