seed,rate,no_jepa_wf1,tracks_wf1,no_jepa_accuracy,tracks_accuracy,delta,accuracy_delta,selected_epoch
66,0.0,0.8746649050245099,0.8656460334045767,0.875,0.8658536585365854,-0.0090188716199332,-0.009146341463414642,87
67,0.0,0.8697969823904403,0.8656460334045767,0.8704268292682927,0.8658536585365854,-0.004150948985863656,-0.004573170731707377,66
68,0.0,0.8747369905986095,0.871887732321259,0.875,0.8719512195121951,-0.002849258277350497,-0.0030487804878048808,31
69,0.0,0.8737267460601196,0.8823414333655316,0.8734756097560976,0.8826219512195121,0.008614687305412039,0.009146341463414531,64
70,0.0,0.8732449084626344,0.8666445834613147,0.8734756097560976,0.8673780487804879,-0.006600325001319685,-0.0060975609756097615,64
66,0.1,0.8606961736398836,0.8502954277885819,0.8612804878048781,0.850609756097561,-0.010400745851301685,-0.010670731707317138,87
67,0.1,0.8488926185751124,0.8492592525313034,0.8490853658536586,0.8490853658536586,0.00036663395619096484,0.0,54
68,0.1,0.8488101920216966,0.8425204160313808,0.8490853658536586,0.8429878048780488,-0.006289775990315771,-0.0060975609756097615,28
69,0.1,0.8420110330509841,0.8537281672919504,0.8429878048780488,0.8536585365853658,0.01171713424096632,0.010670731707317027,74
70,0.1,0.8476335075957818,0.8414634146341463,0.8475609756097561,0.8414634146341463,-0.006170092961635509,-0.0060975609756097615,68
66,0.2,0.8260436999144509,0.8233354852158944,0.8262195121951219,0.823170731707317,-0.0027082146985565325,-0.0030487804878048808,60
67,0.2,0.8363056295303274,0.8245634272506626,0.836890243902439,0.8246951219512195,-0.011742202279664826,-0.012195121951219523,70
68,0.2,0.8244712235973529,0.8282655646521225,0.8246951219512195,0.8292682926829268,0.003794341054769612,0.004573170731707266,46
69,0.2,0.8152124569154068,0.8181640333830943,0.8155487804878049,0.8185975609756098,0.002951576467687511,0.0030487804878048808,59
70,0.2,0.8086129345275687,0.8016287806041983,0.8079268292682927,0.801829268292683,-0.006984153923370373,-0.0060975609756097615,70
66,0.3,0.8113878258762106,0.8021303229473492,0.8109756097560976,0.8033536585365854,-0.009257502928861405,-0.007621951219512257,55
67,0.3,0.8024740002329799,0.7968864195847034,0.801829268292683,0.7972560975609756,-0.005587580648276469,-0.004573170731707377,68
68,0.3,0.8075530803714405,0.805461373689246,0.8064024390243902,0.8064024390243902,-0.002091706682194494,0.0,74
69,0.3,0.8187597950614899,0.8206463571621179,0.8216463414634146,0.8201219512195121,0.0018865621006279865,-0.0015243902439024959,56
70,0.3,0.8067080146634045,0.7874790080423488,0.8064024390243902,0.788109756097561,-0.019229006621055644,-0.018292682926829285,64
66,0.4,0.810784375345543,0.7888146439754554,0.8109756097560976,0.7896341463414634,-0.02196973137008762,-0.021341463414634165,48
67,0.4,0.7554871885657127,0.7503165662310796,0.7545731707317073,0.7515243902439024,-0.005170622334633168,-0.0030487804878048808,54
68,0.4,0.7913060294566705,0.7929270821542026,0.7911585365853658,0.7942073170731707,0.0016210526975320994,0.0030487804878048808,74
69,0.4,0.777832185337731,0.7726168582287729,0.7820121951219512,0.7713414634146342,-0.005215327108958112,-0.010670731707317027,43
70,0.4,0.7955250507766353,0.7613262575845104,0.7957317073170732,0.760670731707317,-0.03419879319212482,-0.035060975609756184,70
66,0.5,0.7735113573070099,0.765867470621121,0.774390243902439,0.7698170731707317,-0.00764388668588889,-0.004573170731707377,55
67,0.5,0.7533865557120616,0.7568910772098216,0.7530487804878049,0.7560975609756098,0.003504521497760038,0.0030487804878048808,54
68,0.5,0.7791195202278631,0.775124246419085,0.7789634146341463,0.774390243902439,-0.003995273808778177,-0.004573170731707266,33
69,0.5,0.7656345683027924,0.776572014640699,0.7667682926829268,0.7774390243902439,0.010937446337906609,0.010670731707317138,56
70,0.5,0.7545129435759259,0.7453643576222336,0.7545731707317073,0.7454268292682927,-0.009148585953692279,-0.009146341463414531,70
66,0.6,0.7541366879345974,0.7499167800202657,0.7560975609756098,0.7484756097560976,-0.004219907914331689,-0.007621951219512146,73
67,0.6,0.7547981029909067,0.755060314646738,0.7576219512195121,0.7545731707317073,0.00026221165583129036,-0.0030487804878048808,55
68,0.6,0.7590882070755458,0.7753268786084601,0.7576219512195121,0.774390243902439,0.01623867153291425,0.0167682926829269,28
69,0.6,0.7564421181799231,0.7574398689813503,0.7591463414634146,0.7576219512195121,0.0009977508014271663,-0.0015243902439024959,58
70,0.6,0.7522913864161006,0.7559583767564055,0.7515243902439024,0.7545731707317073,0.003666990340304932,0.0030487804878048808,69
66,0.7,0.7549917143504451,0.7409769629128289,0.7560975609756098,0.7408536585365854,-0.014014751437616213,-0.015243902439024404,74
67,0.7,0.7597623996659827,0.7417623667373356,0.7591463414634146,0.7423780487804879,-0.018000032928647047,-0.01676829268292679,54
68,0.7,0.7089495785328294,0.688131546875241,0.7073170731707317,0.6951219512195121,-0.020818031657588332,-0.012195121951219523,28
69,0.7,0.7619083633039142,0.7543899482714526,0.7637195121951219,0.7530487804878049,-0.007518415032461645,-0.010670731707317027,51
70,0.7,0.7389963411751944,0.7112925105255518,0.739329268292683,0.7103658536585366,-0.027703830649642658,-0.028963414634146423,41
