dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
CMUMOSI,0.1,audio,77,1.1428571428571428,1.0,2.0
CMUMOSI,0.1,text,60,1.0833333333333333,1.0,1.0
CMUMOSI,0.1,visual,58,1.103448275862069,1.0,1.3000000000000043
