seed,rate,pattern,n,content_mean,content_mean_abs,content_median_abs,content_p90_abs,content_positive_fraction,slot_mean,slot_mean_abs,slot_median_abs,slot_p90_abs,slot_positive_fraction,interaction_mean,interaction_mean_abs,interaction_median_abs,interaction_p90_abs,interaction_positive_fraction,interaction_factor_energy_fraction,additive_margin_mae,additive_sign_disagreement_fraction
66,0.0,ALL,0,,,,,,,,,,,,,,,,,,
66,0.0,AT,0,,,,,,,,,,,,,,,,,,
66,0.0,AV,0,,,,,,,,,,,,,,,,,,
66,0.0,TV,0,,,,,,,,,,,,,,,,,,
66,0.1,ALL,165,0.052880068778088596,0.10255309869394158,0.08593475818634033,0.2188963174819946,0.6181818181818182,0.0006161248367844206,0.030533382906155152,0.020035147666931152,0.0805384337902069,0.3939393939393939,-0.012406285445798528,0.02442053048448129,0.008235275745391846,0.08982686996459958,0.43636363636363634,0.024816004154264056,0.006105132621120323,0.0015151515151515152
66,0.1,AT,50,0.04365985661745071,0.10548273652791977,0.09423649311065674,0.21519165039062502,0.56,-0.0026086826622486116,0.01196345642209053,0.008330017328262329,0.024082922935485845,0.32,-0.0008893689513206482,0.004870417714118958,0.0033464133739471436,0.011173057556152347,0.4,0.0006454881733941269,0.0012176044285297394,0.0
66,0.1,AV,55,0.040067503330382434,0.09046663242307576,0.0712626576423645,0.21868692040443422,0.5636363636363636,0.015751242569901725,0.054047271677038884,0.05859172344207764,0.08869126737117768,0.5272727272727272,0.0029949419877745888,0.006564405425028367,0.006489098072052002,0.01168535351753235,0.6545454545454545,0.0008807621795585363,0.0016411013562570918,0.0
66,0.1,TV,60,0.07230843057235083,0.11119099458058675,0.10760661959648132,0.21393395066261295,0.7166666666666667,-0.01057039350271225,0.024453923602898917,0.020876511931419373,0.04830492734909057,0.3333333333333333,-0.036121507671972114,0.05708040576428175,0.04969705641269684,0.11341745853424073,0.26666666666666666,0.06225137637631109,0.014270101441070437,0.004166666666666667
66,0.2,ALL,255,0.04450979617004301,0.0980359763053118,0.08191311359405518,0.20732632875442505,0.592156862745098,0.0037143701943112353,0.030409951880574226,0.02167046070098877,0.07823992967605589,0.45098039215686275,-0.011056415502931558,0.021796839143715652,0.007562965154647827,0.08506854772567747,0.43529411764705883,0.022669349803083105,0.005449209785928913,0.0
66,0.2,AT,77,0.040181273280026075,0.10172449642574632,0.08431577682495117,0.2093307316303253,0.5714285714285714,-0.00037677378042951805,0.0135927845228028,0.010340213775634766,0.03057233095169068,0.4675324675324675,-0.0016956427074097968,0.005500012887762739,0.004415988922119141,0.011698329448699954,0.37662337662337664,0.0007504993906548756,0.0013750032219406847,0.0
66,0.2,AV,93,0.03017217253324806,0.08728830055684171,0.07425001263618469,0.20325269699096676,0.5376344086021505,0.021129326574424262,0.05073582246819491,0.05750906467437744,0.08749066740274429,0.5591397849462365,0.0014276992409460007,0.007371617100572074,0.0066863298416137695,0.014757114648818967,0.5806451612903226,0.0012862386898647529,0.0018429042751430184,0.0
66,0.2,TV,85,0.06411797570831636,0.10645383272100897,0.0976787805557251,0.20656553506851197,0.6705882352941176,-0.011633545773870805,0.023405433314688067,0.019361674785614014,0.04871101379394532,0.3176470588235294,-0.033195264637470245,0.05234273645807715,0.04021477699279785,0.10698533058166505,0.32941176470588235,0.058619048677575905,0.013085684114519288,0.0
66,0.3,ALL,291,0.03721844097055316,0.09023849890788191,0.0692400187253952,0.19109046459197998,0.5532646048109966,0.0008314573670068558,0.027573924786907292,0.01853203773498535,0.07533645629882812,0.41237113402061853,-0.006117872292131083,0.01690124255633846,0.007058620452880859,0.05844268202781677,0.47079037800687284,0.01729237449273678,0.004225310639084615,0.002577319587628866
66,0.3,AT,100,0.04004833124577999,0.10323264755308628,0.09334763884544373,0.19058755040168762,0.58,-0.001972788833081722,0.01566659417003393,0.014002706855535507,0.03059215545654297,0.42,-0.0016099951788783073,0.005776293389499187,0.005349278450012207,0.01049175262451172,0.38,0.0008869448394781846,0.0014440733473747968,0.0
66,0.3,AV,114,0.02869078825767103,0.07723411945462749,0.05647994577884674,0.18958475887775422,0.5263157894736842,0.01122599488875845,0.04234776676942905,0.04387640953063965,0.08653959035873414,0.4824561403508772,0.002042309724186596,0.006749670723812622,0.005809783935546875,0.013967920094728473,0.5877192982456141,0.0013053270302470043,0.0016874176809531555,0.0
66,0.3,TV,77,0.04616861475946067,0.09261621829944772,0.06663358211517334,0.22232131958007814,0.5584415584415584,-0.010915979743003845,0.021165029665866454,0.018376708030700684,0.04787106513977051,0.2987012987012987,-0.02405356659324138,0.04637882834324589,0.03489995002746582,0.11052173972129825,0.4155844155844156,0.05861297781654461,0.011594707085811472,0.00974025974025974
66,0.4,ALL,287,0.03254010608153684,0.09141896355520765,0.07347363233566284,0.20027921199798585,0.5714285714285714,0.00568989905746141,0.028093954710491028,0.017721503973007202,0.07471484243869785,0.4529616724738676,-0.007502845498223753,0.021413401509099723,0.007031232118606567,0.07048192024230958,0.44947735191637633,0.023140365275711127,0.005353350377274931,0.004355400696864111
66,0.4,AT,97,0.01910866835375422,0.08633867113553371,0.07065868377685547,0.19638988971710206,0.5154639175257731,-0.003972884786036825,0.01398660739902983,0.01222074031829834,0.031773614883422854,0.3711340206185567,-0.0013200508180967311,0.005181902577889334,0.003988862037658691,0.010859614610672003,0.36082474226804123,0.0010192377645785549,0.0012954756444723335,0.0
