audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1404 validation_wf1=0.0905 cls=1.8489 jepa=3.1783
epoch=002 train_wf1=0.1634 validation_wf1=0.1499 cls=1.7808 jepa=3.1320
epoch=003 train_wf1=0.2427 validation_wf1=0.2153 cls=1.6360 jepa=3.1159
epoch=004 train_wf1=0.2590 validation_wf1=0.1786 cls=1.6013 jepa=3.1052
epoch=005 train_wf1=0.2435 validation_wf1=0.2359 cls=1.5922 jepa=3.1086
epoch=006 train_wf1=0.2373 validation_wf1=0.2226 cls=1.5414 jepa=3.0970
epoch=007 train_wf1=0.2329 validation_wf1=0.3452 cls=1.5079 jepa=3.0735
epoch=008 train_wf1=0.3519 validation_wf1=0.3807 cls=1.4089 jepa=3.0440
epoch=009 train_wf1=0.3329 validation_wf1=0.4134 cls=1.3683 jepa=3.0161
epoch=010 train_wf1=0.4083 validation_wf1=0.3949 cls=1.3947 jepa=2.9923
epoch=011 train_wf1=0.3829 validation_wf1=0.3632 cls=1.3652 jepa=2.9716
epoch=012 train_wf1=0.3010 validation_wf1=0.4359 cls=1.4137 jepa=2.9669
epoch=013 train_wf1=0.3733 validation_wf1=0.4236 cls=1.3757 jepa=2.9484
epoch=014 train_wf1=0.4362 validation_wf1=0.4421 cls=1.2680 jepa=2.9552
epoch=015 train_wf1=0.4210 validation_wf1=0.4307 cls=1.2475 jepa=2.9580
epoch=016 train_wf1=0.4512 validation_wf1=0.5154 cls=1.2047 jepa=2.9622
epoch=017 train_wf1=0.4490 validation_wf1=0.4265 cls=1.2275 jepa=2.9713
epoch=018 train_wf1=0.3941 validation_wf1=0.5136 cls=1.1900 jepa=2.9802
epoch=019 train_wf1=0.4722 validation_wf1=0.4516 cls=1.1410 jepa=2.9809
epoch=020 train_wf1=0.4712 validation_wf1=0.4378 cls=1.1218 jepa=2.9987
epoch=021 train_wf1=0.4715 validation_wf1=0.5414 cls=1.1021 jepa=3.0039
epoch=022 train_wf1=0.5231 validation_wf1=0.4635 cls=1.0786 jepa=3.0195
epoch=023 train_wf1=0.5154 validation_wf1=0.5014 cls=1.0592 jepa=3.0283
epoch=024 train_wf1=0.5280 validation_wf1=0.5397 cls=1.0488 jepa=3.0469
epoch=025 train_wf1=0.5182 validation_wf1=0.5138 cls=1.0385 jepa=3.0640
epoch=026 train_wf1=0.5146 validation_wf1=0.5641 cls=1.0328 jepa=3.0880
