audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=069 train_wf1=0.7347 validation_wf1=0.5778 cls=0.6619 jepa=3.4908
epoch=070 train_wf1=0.7414 validation_wf1=0.6081 cls=0.6357 jepa=3.4681
epoch=071 train_wf1=0.7436 validation_wf1=0.6064 cls=0.6284 jepa=3.4461
epoch=072 train_wf1=0.7469 validation_wf1=0.6034 cls=0.6276 jepa=3.4244
epoch=073 train_wf1=0.7589 validation_wf1=0.6161 cls=0.6016 jepa=3.4420
epoch=074 train_wf1=0.7612 validation_wf1=0.6054 cls=0.5972 jepa=3.5094
epoch=075 train_wf1=0.7667 validation_wf1=0.6217 cls=0.5736 jepa=3.5006
epoch=076 train_wf1=0.7667 validation_wf1=0.5880 cls=0.5893 jepa=3.5258
epoch=077 train_wf1=0.7590 validation_wf1=0.6362 cls=0.5934 jepa=3.5460
epoch=078 train_wf1=0.7716 validation_wf1=0.5701 cls=0.5598 jepa=3.4966
epoch=079 train_wf1=0.7615 validation_wf1=0.6407 cls=0.5737 jepa=3.4948
epoch=080 train_wf1=0.7623 validation_wf1=0.5670 cls=0.5694 jepa=3.5553
epoch=081 train_wf1=0.7682 validation_wf1=0.6455 cls=0.5525 jepa=3.5528
epoch=082 train_wf1=0.7625 validation_wf1=0.6098 cls=0.5688 jepa=3.5654
epoch=083 train_wf1=0.7790 validation_wf1=0.5956 cls=0.5490 jepa=3.5384
epoch=084 train_wf1=0.7811 validation_wf1=0.6082 cls=0.5567 jepa=3.4820
epoch=085 train_wf1=0.7559 validation_wf1=0.5743 cls=0.5910 jepa=3.4623
epoch=086 train_wf1=0.7706 validation_wf1=0.6416 cls=0.5628 jepa=3.4389
epoch=087 train_wf1=0.7642 validation_wf1=0.5909 cls=0.5640 jepa=3.4032
epoch=088 train_wf1=0.7911 validation_wf1=0.6287 cls=0.5216 jepa=3.4125
epoch=089 train_wf1=0.7916 validation_wf1=0.6375 cls=0.4956 jepa=3.4476
epoch=090 train_wf1=0.8036 validation_wf1=0.6180 cls=0.4794 jepa=3.4552
epoch=091 train_wf1=0.8026 validation_wf1=0.5984 cls=0.4750 jepa=3.4578
epoch=092 train_wf1=0.8132 validation_wf1=0.6008 cls=0.4623 jepa=3.4752
epoch=093 train_wf1=0.8169 validation_wf1=0.5948 cls=0.4599 jepa=3.4967
epoch=094 train_wf1=0.8077 validation_wf1=0.5776 cls=0.4791 jepa=3.5077
epoch=095 train_wf1=0.8018 validation_wf1=0.5748 cls=0.4971 jepa=3.4623
epoch=096 train_wf1=0.8218 validation_wf1=0.6323 cls=0.4421 jepa=3.4667
epoch=097 train_wf1=0.8351 validation_wf1=0.6057 cls=0.4074 jepa=3.4531
epoch=098 train_wf1=0.8318 validation_wf1=0.6097 cls=0.4134 jepa=3.4650
epoch=099 train_wf1=0.8327 validation_wf1=0.6217 cls=0.4023 jepa=3.4436
epoch=100 train_wf1=0.8333 validation_wf1=0.6219 cls=0.4089 jepa=3.4712
