method,mode,seed,rate,weighted_f1
U1,Uniform,70,0.4,74.43199736449569
U1,Uniform,70,0.5,70.5571664864155
U1,Uniform,70,0.6,70.74563345839009
U1,Uniform,70,0.7,65.22146967798025
U2,Uniform,66,0.0,86.72044163908976
U2,Uniform,66,0.1,84.60735980043582
U2,Uniform,66,0.2,78.88333993080639
U2,Uniform,66,0.3,75.96715845842039
U2,Uniform,66,0.4,74.33374836497234
U2,Uniform,66,0.5,71.29632213597496
U2,Uniform,66,0.6,68.67531667523893
U2,Uniform,66,0.7,65.57828658348006
U2,Uniform,67,0.0,87.38661660891802
U2,Uniform,67,0.1,81.33504513356284
U2,Uniform,67,0.2,79.81209097805265
U2,Uniform,67,0.3,75.87775971735385
U2,Uniform,67,0.4,71.8137780507009
U2,Uniform,67,0.5,66.52801072098897
U2,Uniform,67,0.6,64.68893982340109
U2,Uniform,67,0.7,64.53279499011207
U2,Uniform,68,0.0,87.74958571752225
U2,Uniform,68,0.1,82.5110897579815
U2,Uniform,68,0.2,79.34382521272764
U2,Uniform,68,0.3,78.0025934709753
U2,Uniform,68,0.4,74.83564680933102
U2,Uniform,68,0.5,70.84695974529949
U2,Uniform,68,0.6,69.6807831554878
U2,Uniform,68,0.7,62.70516686095169
U2,Uniform,69,0.0,87.20121463804566
U2,Uniform,69,0.1,83.59881658662148
U2,Uniform,69,0.2,76.6343024033531
U2,Uniform,69,0.3,75.95760495327374
U2,Uniform,69,0.4,71.39259323554089
U2,Uniform,69,0.5,67.68079444317905
U2,Uniform,69,0.6,64.84552708431443
U2,Uniform,69,0.7,67.52251986439268
U2,Uniform,70,0.0,87.466490502451
U2,Uniform,70,0.1,83.52842272701903
U2,Uniform,70,0.2,78.42905959231418
U2,Uniform,70,0.3,74.29890581825107
U2,Uniform,70,0.4,74.43199736449569
U2,Uniform,70,0.5,70.5571664864155
U2,Uniform,70,0.6,70.74563345839009
U2,Uniform,70,0.7,65.22146967798025
U3,Uniform,66,0.0,86.72044163908976
U3,Uniform,66,0.1,84.60735980043582
U3,Uniform,66,0.2,78.88333993080639
U3,Uniform,66,0.3,75.96715845842039
U3,Uniform,66,0.4,74.33374836497234
U3,Uniform,66,0.5,71.29632213597496
U3,Uniform,66,0.6,68.67531667523893
U3,Uniform,66,0.7,65.57828658348006
U3,Uniform,67,0.0,87.38661660891802
U3,Uniform,67,0.1,81.33504513356284
U3,Uniform,67,0.2,79.81209097805265
U3,Uniform,67,0.3,75.87775971735385
U3,Uniform,67,0.4,71.8137780507009
U3,Uniform,67,0.5,66.52801072098897
U3,Uniform,67,0.6,64.68893982340109
U3,Uniform,67,0.7,64.53279499011207
U3,Uniform,68,0.0,87.74958571752225
U3,Uniform,68,0.1,82.5110897579815
U3,Uniform,68,0.2,79.34382521272764
U3,Uniform,68,0.3,78.0025934709753
U3,Uniform,68,0.4,74.83564680933102
U3,Uniform,68,0.5,70.84695974529949
U3,Uniform,68,0.6,69.6807831554878
U3,Uniform,68,0.7,62.70516686095169
U3,Uniform,69,0.0,87.20121463804566
U3,Uniform,69,0.1,83.59881658662148
U3,Uniform,69,0.2,76.6343024033531
U3,Uniform,69,0.3,75.95760495327374
U3,Uniform,69,0.4,71.39259323554089
U3,Uniform,69,0.5,67.68079444317905
U3,Uniform,69,0.6,64.84552708431443
U3,Uniform,69,0.7,67.52251986439268
U3,Uniform,70,0.0,87.466490502451
U3,Uniform,70,0.1,83.52842272701903
U3,Uniform,70,0.2,78.42905959231418
U3,Uniform,70,0.3,74.29890581825107
U3,Uniform,70,0.4,74.43199736449569
U3,Uniform,70,0.5,70.5571664864155
U3,Uniform,70,0.6,70.74563345839009
U3,Uniform,70,0.7,65.22146967798025
U1,Soft,66,0.0,86.72044163908976
U1,Soft,66,0.1,84.91919482935064
U1,Soft,66,0.2,78.73477050306319
U1,Soft,66,0.3,76.39917590136568
U1,Soft,66,0.4,74.64486662417211
U1,Soft,66,0.5,71.44383467554199
U1,Soft,66,0.6,68.65697600624571
U1,Soft,66,0.7,65.57828658348006
U1,Soft,67,0.0,87.38661660891802
U1,Soft,67,0.1,81.33504513356284
U1,Soft,67,0.2,79.5184113088833
U1,Soft,67,0.3,75.87775971735385
U1,Soft,67,0.4,71.81121459859826
U1,Soft,67,0.5,66.76923898835877
U1,Soft,67,0.6,64.83871819237672
U1,Soft,67,0.7,64.53279499011207
U1,Soft,68,0.0,87.74958571752225
U1,Soft,68,0.1,82.5110897579815
U1,Soft,68,0.2,79.34382521272764
U1,Soft,68,0.3,77.8681108014054
U1,Soft,68,0.4,74.83564680933102
U1,Soft,68,0.5,71.2115264361773
U1,Soft,68,0.6,69.82158253331252
U1,Soft,68,0.7,62.70516686095169
U1,Soft,69,0.0,87.20121463804566
U1,Soft,69,0.1,83.59881658662148
U1,Soft,69,0.2,76.6343024033531
U1,Soft,69,0.3,75.95760495327374
U1,Soft,69,0.4,71.23449981998698
U1,Soft,69,0.5,67.65493642496442
U1,Soft,69,0.6,64.5455860517615
U1,Soft,69,0.7,67.52251986439268
U1,Soft,70,0.0,87.466490502451
U1,Soft,70,0.1,83.52842272701903
U1,Soft,70,0.2,78.28270393093541
U1,Soft,70,0.3,74.29890581825107
U1,Soft,70,0.4,74.45243751222726
U1,Soft,70,0.5,70.57204851562344
U1,Soft,70,0.6,70.44090047358165
U1,Soft,70,0.7,65.24102615641513
U2,Soft,66,0.0,86.72044163908976
U2,Soft,66,0.1,84.91919482935064
U2,Soft,66,0.2,78.73477050306319
U2,Soft,66,0.3,75.96715845842039
U2,Soft,66,0.4,74.64486662417211
U2,Soft,66,0.5,71.29632213597496
U2,Soft,66,0.6,68.67531667523893
U2,Soft,66,0.7,65.57828658348006
U2,Soft,67,0.0,87.38661660891802
U2,Soft,67,0.1,81.33504513356284
U2,Soft,67,0.2,79.5184113088833
U2,Soft,67,0.3,75.87775971735385
U2,Soft,67,0.4,71.5013128980062
U2,Soft,67,0.5,66.87400288893207
U2,Soft,67,0.6,65.1418326907183
U2,Soft,67,0.7,64.68638649046594
U2,Soft,68,0.0,87.74958571752225
U2,Soft,68,0.1,82.5110897579815
U2,Soft,68,0.2,79.34382521272764
U2,Soft,68,0.3,78.7217232263119
U2,Soft,68,0.4,74.83564680933102
U2,Soft,68,0.5,71.13649120414206
U2,Soft,68,0.6,69.39910455173714
U2,Soft,68,0.7,62.98883345976317
U2,Soft,69,0.0,87.20121463804566
U2,Soft,69,0.1,83.59881658662148
U2,Soft,69,0.2,76.6343024033531
