method,seed,rate,candidate_count_mean,bank_nonempty_coverage,ndcg@1,ndcg@3,top1_utility,top1_oracle_hit,candidate0_prob_mean,candidate0_select_rate
U1,66,0.1,11.520547945205479,0.9726027397260274,0.2074759664245803,0.30387372857165196,0.0031260361429303885,0.1917808219178082,0.17033162713050842,0.0958904109589041
U1,66,0.2,10.080536912751677,0.9530201342281879,0.37062508344851647,0.39693779518051997,0.007484104949980974,0.26174496644295303,0.19414544105529785,0.12751677852348994
U1,66,0.3,9.914691943127963,0.9241706161137441,0.46280345733844364,0.5346301526843699,0.05831845849752426,0.2890995260663507,0.2153756320476532,0.11374407582938388
U1,66,0.4,8.47148288973384,0.9163498098859315,0.15719592812504116,0.25916311517071966,0.0021849521435797215,0.2585551330798479,0.21843865513801575,0.10266159695817491
U1,66,0.5,7.611650485436893,0.9514563106796117,0.34199560218327396,0.4605387845595796,0.0063154627569019794,0.18446601941747573,0.22479425370693207,0.05501618122977346
U1,66,0.6,6.429752066115703,0.9173553719008265,0.29778165536296286,0.4567781584925155,0.005462197121232748,0.22865013774104684,0.28222012519836426,0.5977961432506887
U1,66,0.7,6.361256544502618,0.8664921465968587,0.03650669743151453,0.19094746686536224,0.0003911643289029598,0.2905759162303665,0.31486615538597107,0.5549738219895288
U1,67,0.1,13.438356164383562,0.9452054794520548,0.47154026784144165,0.5716696875197518,0.03018316440284252,0.3150684931506849,0.16894002258777618,0.273972602739726
U1,67,0.2,10.382352941176471,0.9411764705882353,0.10952127544604917,0.20978233331329377,0.00682280445471406,0.20588235294117646,0.20189344882965088,0.3014705882352941
U1,67,0.3,9.351219512195122,0.9512195121951219,0.03194964927188689,0.28917197003401746,0.0013831385876983404,0.2097560975609756,0.22214119136333466,0.751219512195122
U1,67,0.4,8.026415094339622,0.9509433962264151,0.6269965456253561,0.6983529290492629,0.06576061248779297,0.2943396226415094,0.21059550344944,0.1320754716981132
U1,67,0.5,7.306060606060606,0.8909090909090909,0.21523052158459896,0.3041001505900921,0.02420864626765251,0.37575757575757573,0.2619589567184448,0.19393939393939394
U1,67,0.6,6.005347593582887,0.9224598930481284,0.03935223895873831,0.15667645580400624,0.0006587164243683219,0.3770053475935829,0.30116257071495056,0.7112299465240641
U1,67,0.7,5.621951219512195,0.9146341463414634,0.14755296074766946,0.3192043441212073,0.003974946681410074,0.3195121951219512,0.3020326793193817,0.424390243902439
U1,68,0.1,10.34375,0.9375,0.5049763535191774,0.5680042397691624,0.04090925306081772,0.25,0.20647069811820984,0.0625
U1,68,0.2,10.606896551724137,0.9448275862068966,0.2395487122264723,0.4047180457765547,0.020758038386702538,0.33793103448275863,0.21038807928562164,0.46206896551724136
U1,68,0.3,10.775401069518717,0.9518716577540107,0.09581393935675465,0.17375869875644687,0.009803222492337227,0.25668449197860965,0.1857098937034607,0.1657754010695187
U1,68,0.4,8.072289156626505,0.927710843373494,0.5051966262107116,0.5580970484954699,0.04697106406092644,0.3293172690763052,0.22997048497200012,0.10843373493975904
U1,68,0.5,7.919093851132686,0.9158576051779935,0.6529854441449655,0.6717439808861425,0.16012893617153168,0.48220064724919093,0.23774538934230804,0.15857605177993528
U1,68,0.6,6.430167597765363,0.8938547486033519,0.4556576354275922,0.4766872849235919,0.07027149945497513,0.4441340782122905,0.28885719180107117,0.12290502793296089
U1,68,0.7,5.556064073226545,0.8878718535469108,0.17214226769946042,0.29444978602911737,0.025781508535146713,0.35469107551487417,0.31432855129241943,0.28604118993135014
