variant,seed,rate,epoch,weighted_f1,mask_sha256
local-base,67,0.2,47,0.8276144980810854,d4de19b8066688ec953048bd5a48e6801bb74e0f996e6925d3dfe61ec7f2749b
local-base,67,0.3,91,0.7973048369760358,b315c6423a325d0f1e96b67a0180f6cca096ac5b0af07a5a2ea25dc71992afc2
local-base,67,0.4,47,0.7549605540221114,1b356cc608391cbd9278382ed79ac43467164c30c1b81911a83b3089da0b0773
local-base,67,0.5,96,0.7392653003197722,1392c5ca7ea69bfecd51c8ac6242fb63dea6c4c502dc502c5a6ffef78506dd36
local-base,67,0.6,59,0.7601462622982208,c02627907826577103b5c80ee1dc9781dff97318ab1ab9bf314d9d512ff0e84f
local-base,67,0.7,84,0.7604543939931451,28672f7c125402f18ac7ababd2e84c827c2e492604eaf222576db811eca679a6
local-gap,67,0.0,40,0.8762992480177516,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-gap,67,0.1,40,0.8566362718833138,22cc6734bd5d1cdf62e460b35f7219921326d3add5f98d0b0a3fc6c6b4125e5f
local-gap,67,0.2,40,0.842701512911462,d4de19b8066688ec953048bd5a48e6801bb74e0f996e6925d3dfe61ec7f2749b
local-gap,67,0.3,40,0.8072972320632297,b315c6423a325d0f1e96b67a0180f6cca096ac5b0af07a5a2ea25dc71992afc2
local-gap,67,0.4,40,0.7586557597075022,1b356cc608391cbd9278382ed79ac43467164c30c1b81911a83b3089da0b0773
local-gap,67,0.5,41,0.7507739353169856,1392c5ca7ea69bfecd51c8ac6242fb63dea6c4c502dc502c5a6ffef78506dd36
local-gap,67,0.6,40,0.7560975609756098,c02627907826577103b5c80ee1dc9781dff97318ab1ab9bf314d9d512ff0e84f
local-gap,67,0.7,38,0.7638863836918536,28672f7c125402f18ac7ababd2e84c827c2e492604eaf222576db811eca679a6
full,68,0.0,39,0.8763666879250922,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
full,68,0.1,28,0.8518645315768139,32212bb916d970b6161f1a9ba78184e0d2dfb9a26afc4524236d89ba92b875f9
full,68,0.2,47,0.8201219512195121,4dfce66a007f8145edeb09d292491049bf8f455a278a9c538b40300daa09217b
full,68,0.3,47,0.8171602091149379,09469d38640b521a8f086ccc132e392a1c11c47c849ae1b8b59fd668e269e450
full,68,0.4,47,0.7860132524808703,2a6f7108d237a4b20a461339761887323cb3303c4fc2ff64e59b162cdc539586
full,68,0.5,26,0.7785733982814211,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
full,68,0.6,31,0.7538740677467974,7d15093ebf1dd7b009443e57f6a174566d81cfff4d484fcd0853a159c71419ed
full,68,0.7,48,0.711713877667324,26385cc44d44ee1648e11e86c4580cb52a5a0766c621c993671de8adb1e8c39e
local-only,68,0.0,42,0.8737756912967359,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-only,68,0.1,42,0.842162952851538,32212bb916d970b6161f1a9ba78184e0d2dfb9a26afc4524236d89ba92b875f9
local-only,68,0.2,76,0.814429957716917,4dfce66a007f8145edeb09d292491049bf8f455a278a9c538b40300daa09217b
local-only,68,0.3,47,0.8162437857628337,09469d38640b521a8f086ccc132e392a1c11c47c849ae1b8b59fd668e269e450
local-only,68,0.4,34,0.7665833516443273,2a6f7108d237a4b20a461339761887323cb3303c4fc2ff64e59b162cdc539586
local-only,68,0.5,38,0.7615620410237075,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
local-only,68,0.6,38,0.7357035762523568,7d15093ebf1dd7b009443e57f6a174566d81cfff4d484fcd0853a159c71419ed
local-only,68,0.7,38,0.672465366376508,26385cc44d44ee1648e11e86c4580cb52a5a0766c621c993671de8adb1e8c39e
local-base,68,0.0,38,0.8735965423465424,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-base,68,0.1,43,0.848403915777439,32212bb916d970b6161f1a9ba78184e0d2dfb9a26afc4524236d89ba92b875f9
local-base,68,0.2,67,0.8179245543162046,4dfce66a007f8145edeb09d292491049bf8f455a278a9c538b40300daa09217b
local-base,68,0.3,64,0.8194212173123459,09469d38640b521a8f086ccc132e392a1c11c47c849ae1b8b59fd668e269e450
local-base,68,0.4,42,0.7837382663849741,2a6f7108d237a4b20a461339761887323cb3303c4fc2ff64e59b162cdc539586
local-base,68,0.5,42,0.7697605868320797,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
local-base,68,0.6,42,0.7662185088223163,7d15093ebf1dd7b009443e57f6a174566d81cfff4d484fcd0853a159c71419ed
local-base,68,0.7,61,0.6900400532387037,26385cc44d44ee1648e11e86c4580cb52a5a0766c621c993671de8adb1e8c39e
local-gap,68,0.0,27,0.8746649050245099,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-gap,68,0.1,27,0.8486361280301621,32212bb916d970b6161f1a9ba78184e0d2dfb9a26afc4524236d89ba92b875f9
local-gap,68,0.2,27,0.8199399700868877,4dfce66a007f8145edeb09d292491049bf8f455a278a9c538b40300daa09217b
local-gap,68,0.3,43,0.8098654465791358,09469d38640b521a8f086ccc132e392a1c11c47c849ae1b8b59fd668e269e450
local-gap,68,0.4,76,0.7801805907389044,2a6f7108d237a4b20a461339761887323cb3303c4fc2ff64e59b162cdc539586
local-gap,68,0.5,45,0.7817868275485675,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
local-gap,68,0.6,29,0.7739972302895212,7d15093ebf1dd7b009443e57f6a174566d81cfff4d484fcd0853a159c71419ed
local-gap,68,0.7,46,0.6935223705513114,26385cc44d44ee1648e11e86c4580cb52a5a0766c621c993671de8adb1e8c39e
full,69,0.0,46,0.8723122621224397,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
full,69,0.1,92,0.8445121951219512,28cece4ea0be0867695e89603fcbea08a094799411c6104e45b88b3534830426
full,69,0.2,46,0.8113335637404957,062dca8a99c7c2648dd293bba5e17b9529a933adb81b864eda13beaf7750beff
full,69,0.3,36,0.8198435447925007,535634836d79923d29eaee712d800cade0a657585a3afaee1bc278560a6540ac
full,69,0.4,37,0.7815094651794455,1ae1944a68e2a0b8bbfd8e8acdcf4b76a7f18e028b10b4d31075abdc6025a949
full,69,0.5,58,0.769131872046005,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
full,69,0.6,91,0.7627137164249103,c6bdc8d6f5ea9809281252f88a49e37f545a0b3d62ab8eb8f0fdd4e10b151ee2
