group,seed,rate,pattern,count,weighted_f1
PAM-E,68,0.0,AV,0,None
PAM-E,68,0.0,AT,0,None
PAM-E,68,0.0,ATV,686,86.85640950043523
PAM-E,68,0.1,V,3,66.66666666666666
PAM-E,68,0.1,T,8,73.33333333333334
PAM-E,68,0.1,TV,75,88.02171945701357
PAM-E,68,0.1,A,4,85.71428571428571
PAM-E,68,0.1,AV,57,64.31989063568011
PAM-E,68,0.1,AT,50,85.93526691887348
PAM-E,68,0.1,ATV,489,84.79155658354595
PAM-E,68,0.2,V,29,64.72148541114058
PAM-E,68,0.2,T,19,78.94736842105263
PAM-E,68,0.2,TV,97,81.15491780440234
PAM-E,68,0.2,A,25,60.779220779220786
PAM-E,68,0.2,AV,91,75.69466248037678
PAM-E,68,0.2,AT,83,89.13394501358188
PAM-E,68,0.2,ATV,342,85.26711303217786
PAM-E,68,0.3,V,41,63.814960338053226
PAM-E,68,0.3,T,63,85.63423127726854
PAM-E,68,0.3,TV,102,84.31372549019608
PAM-E,68,0.3,A,49,65.4451027722917
PAM-E,68,0.3,AV,97,73.44694078372586
PAM-E,68,0.3,AT,96,88.5720041441234
PAM-E,68,0.3,ATV,238,84.09615983145395
PAM-E,68,0.4,V,70,64.36563436563436
PAM-E,68,0.4,T,68,89.73934102351667
PAM-E,68,0.4,TV,108,87.84188921175222
PAM-E,68,0.4,A,87,73.4894653384704
PAM-E,68,0.4,AV,92,54.27221172022685
PAM-E,68,0.4,AT,96,83.53576248313091
PAM-E,68,0.4,ATV,165,86.69172932330827
PAM-E,68,0.5,V,105,61.98078650908839
PAM-E,68,0.5,T,117,85.51517626242004
PAM-E,68,0.5,TV,90,86.5432098765432
PAM-E,68,0.5,A,116,70.75969183866849
PAM-E,68,0.5,AV,88,66.08554488989272
PAM-E,68,0.5,AT,92,85.80312917682207
PAM-E,68,0.5,ATV,78,84.61538461538461
PAM-E,68,0.6,V,152,60.526315789473685
PAM-E,68,0.6,T,150,84.0
PAM-E,68,0.6,TV,67,87.93942376031927
PAM-E,68,0.6,A,154,67.78976891652948
PAM-E,68,0.6,AV,52,72.46963562753037
PAM-E,68,0.6,AT,73,86.24971590322113
PAM-E,68,0.6,ATV,38,97.35104452253157
PAM-E,68,0.7,V,203,57.18654116178688
PAM-E,68,0.7,T,137,87.02894538132394
PAM-E,68,0.7,TV,44,82.01624083977023
PAM-E,68,0.7,A,188,56.224113475177305
PAM-E,68,0.7,AV,46,64.87232574189096
PAM-E,68,0.7,AT,46,87.08592132505176
PAM-E,68,0.7,ATV,22,81.81818181818183
PAM-E,69,0.0,V,0,None
PAM-E,69,0.0,T,0,None
PAM-E,69,0.0,TV,0,None
PAM-E,69,0.0,A,0,None
PAM-E,69,0.0,AV,0,None
PAM-E,69,0.0,AT,0,None
PAM-E,69,0.0,ATV,686,85.9143704506064
PAM-E,69,0.1,V,7,79.12087912087912
PAM-E,69,0.1,T,7,71.42857142857143
PAM-E,69,0.1,TV,52,82.76601447333155
PAM-E,69,0.1,A,9,68.05555555555557
PAM-E,69,0.1,AV,58,57.029177718832905
PAM-E,69,0.1,AT,49,85.52803129074316
PAM-E,69,0.1,ATV,504,85.58147379390904
PAM-E,69,0.2,V,24,83.33333333333334
PAM-E,69,0.2,T,23,91.30434782608695
PAM-E,69,0.2,TV,80,82.45580808080808
PAM-E,69,0.2,A,29,62.988505747126446
PAM-E,69,0.2,AV,87,66.79941590335856
PAM-E,69,0.2,AT,96,80.47216310070574
PAM-E,69,0.2,ATV,347,83.72737793418999
PAM-E,69,0.3,V,46,71.06918238993711
PAM-E,69,0.3,T,45,82.47413405308141
PAM-E,69,0.3,TV,102,80.58245037145294
PAM-E,69,0.3,A,50,59.95477159656264
PAM-E,69,0.3,AV,94,72.15806255819
PAM-E,69,0.3,AT,105,87.01727642276424
PAM-E,69,0.3,ATV,244,84.49971544917591
PAM-E,69,0.4,V,79,59.93050384710846
PAM-E,69,0.4,T,78,84.51923076923077
PAM-E,69,0.4,TV,96,88.44163465642339
PAM-E,69,0.4,A,90,64.58602953376473
PAM-E,69,0.4,AV,101,64.80021915235002
PAM-E,69,0.4,AT,91,85.60552504214476
PAM-E,69,0.4,ATV,151,82.63481551561023
PAM-E,69,0.5,V,125,68.96279349789283
PAM-E,69,0.5,T,133,90.04511278195488
PAM-E,69,0.5,TV,88,75.38153685285
PAM-E,69,0.5,A,123,71.57857958744877
PAM-E,69,0.5,AV,77,68.8839615668884
PAM-E,69,0.5,AT,70,82.01298701298701
PAM-E,69,0.5,ATV,70,82.15743440233237
PAM-E,69,0.6,V,151,69.12145333503645
