seed,rate,no_jepa_regression_wf1,binary_wf1,delta,selected_epoch
66,0.0,0.8746649050245099,0.8660371413744532,-0.008627763650056686,73
67,0.0,0.8697969823904403,0.8689648165323722,-0.0008321658580681124,61
68,0.0,0.8747369905986095,0.8707341416894285,-0.0040028489091810115,31
69,0.0,0.8737267460601196,0.8663328431621115,-0.00739390289800812,41
70,0.0,0.8732449084626344,0.8721796719034804,-0.0010652365591539148,25
66,0.1,0.8606961736398836,0.8438926098076391,-0.01680356383224446,66
67,0.1,0.8488926185751124,0.8488926185751124,0.0,69
68,0.1,0.8488101920216966,0.853963676256132,0.0051534842344354015,32
69,0.1,0.8420110330509841,0.8377629476905707,-0.004248085360413434,43
70,0.1,0.8476335075957818,0.8498663839934347,0.0022328763976529054,37
66,0.2,0.8260436999144509,0.8128017628499015,-0.013241937064549458,68
67,0.2,0.8363056295303274,0.8329225241067046,-0.0033831054236227454,61
68,0.2,0.8244712235973529,0.8186758073517656,-0.005795416245587326,61
69,0.2,0.8152124569154068,0.8210348092851011,0.005822352369694306,33
70,0.2,0.8086129345275687,0.812632420607084,0.0040194860795153,22
66,0.3,0.8113878258762106,0.798774165114921,-0.012613660761289558,68
67,0.3,0.8024740002329799,0.7999028352413201,-0.002571164991659769,44
68,0.3,0.8075530803714405,0.8065391659926799,-0.0010139143787605276,49
69,0.3,0.8187597950614899,0.8151551208378849,-0.003604674223604998,32
70,0.3,0.8067080146634045,0.7965294273601267,-0.010178587303277808,51
66,0.4,0.810784375345543,0.7858614508556863,-0.02492292448985678,60
67,0.4,0.7554871885657127,0.7589026718112564,0.003415483245543638,64
68,0.4,0.7913060294566705,0.7901433716175331,-0.001162657839137382,39
69,0.4,0.777832185337731,0.7813376391603636,0.003505453822632565,29
70,0.4,0.7955250507766353,0.7801805907389044,-0.015344460037730823,28
66,0.5,0.7735113573070099,0.7669330109990555,-0.006578346307954397,60
67,0.5,0.7533865557120616,0.7471869874641247,-0.006199568247936882,63
68,0.5,0.7791195202278631,0.782913392814871,0.003793872587007918,35
69,0.5,0.7656345683027924,0.7645264524658264,-0.0011081158369660171,29
70,0.5,0.7545129435759259,0.7533591070176435,-0.001153836558282384,21
66,0.6,0.7541366879345974,0.757110139036173,0.0029734511015755416,60
67,0.6,0.7547981029909067,0.7685794947652168,0.013781391774310148,37
68,0.6,0.7590882070755458,0.7764461038628939,0.017357896787348115,34
69,0.6,0.7564421181799231,0.754154989593503,-0.0022871285864201063,30
70,0.6,0.7522913864161006,0.7654938880287531,0.013202501612652462,26
66,0.7,0.7549917143504451,0.7554437171209947,0.0004520027705495755,65
67,0.7,0.7597623996659827,0.7590928657104582,-0.0006695339555244928,50
68,0.7,0.7089495785328294,0.684365227010398,-0.024584351522431325,92
69,0.7,0.7619083633039142,0.7570258020883405,-0.004882561215573733,33
70,0.7,0.7389963411751944,0.735529374120411,-0.003466967054783443,28
