dataset,seed,rate,modality,head_records,conversations,mean_decay_damage,mean_write_damage,mean_paired_difference,median_paired_difference,fraction_paired_positive,conversation_mean_paired,positive_conversation_count
IEMOCAPFour,66,0.1,visual,888,29,0.01647599356517464,0.3038889142760151,0.28741292071084046,0.20602399297058582,0.9256756756756757,0.29220627453853276,29
IEMOCAPFour,66,0.1,text,1096,31,0.016506986925378442,0.25860606164188826,0.2420990747165098,0.17788808979094028,0.9087591240875912,0.23358403052138624,30
IEMOCAPFour,66,0.1,audio,1024,30,0.01763763455892331,0.3012754517058056,0.2836378171468823,0.1973675712943077,0.931640625,0.2917821631887706,29
IEMOCAPFour,66,0.3,audio,2904,31,0.01416352384572351,0.23647984333455654,0.22231631948883304,0.13516307342797518,0.8422865013774105,0.23181082297969827,31
IEMOCAPFour,66,0.3,visual,2728,30,0.014601171430121134,0.22869304326005127,0.21409187182993014,0.13572174217551947,0.8544721407624634,0.2122667768053033,30
IEMOCAPFour,66,0.3,text,2872,31,0.014642722225971105,0.2153381704836617,0.2006954482576906,0.12938351277261972,0.8377437325905293,0.19804665395478932,31
IEMOCAPFour,66,0.5,audio,4264,31,0.012212667335523729,0.18496284150238032,0.1727501741668566,0.09186192415654659,0.7863508442776735,0.17409355315393407,31
IEMOCAPFour,66,0.5,text,4368,30,0.012014761238551662,0.18173930049603532,0.16972453925748365,0.08901097439229488,0.774496336996337,0.17026522465890379,30
IEMOCAPFour,66,0.5,visual,4408,31,0.011348937309140883,0.16655091435404262,0.15520197704490174,0.08197164442390203,0.786524500907441,0.1726746091428922,31
IEMOCAPFour,66,0.7,visual,5584,31,0.008960784673604068,0.13320635245525195,0.12424556778164789,0.052367459051311016,0.7317335243553008,0.13446533959860957,31
IEMOCAPFour,66,0.7,text,5296,31,0.010306830793334975,0.15265097413363296,0.142344143340298,0.06756971310824156,0.7416918429003021,0.15319359392473567,31
IEMOCAPFour,66,0.7,audio,5296,30,0.009554698347399613,0.14985709676337555,0.14030239841597594,0.06788668874651194,0.7518882175226587,0.14261266388162558,30
IEMOCAPFour,67,0.1,text,936,30,0.01725176697732228,0.25530892604878413,0.23805715907146183,0.163211933337152,0.9038461538461539,0.20857456711697764,30
IEMOCAPFour,67,0.1,visual,856,29,0.01751609068912254,0.28210692040874646,0.26459082971962394,0.1912612821906805,0.9462616822429907,0.28412292754084134,29
IEMOCAPFour,67,0.1,audio,848,28,0.018034457316938438,0.2755860498148667,0.25755159249792825,0.20481520611792803,0.9398584905660378,0.24774449529957693,28
IEMOCAPFour,67,0.3,visual,2880,31,0.014019888158913495,0.21966309613198973,0.20564320797307623,0.13582797814160585,0.8621527777777778,0.21015996448968086,31
IEMOCAPFour,67,0.3,audio,2608,30,0.015022217010382128,0.21705994706178094,0.20203773005139883,0.1390933282673359,0.8711656441717791,0.2142860498307725,30
IEMOCAPFour,67,0.3,text,2696,31,0.014234655959191746,0.20526072249446584,0.1910260665352741,0.11909081228077412,0.8252967359050445,0.18967435198597807,31
IEMOCAPFour,67,0.5,audio,4272,31,0.012185060149250545,0.1753735588894013,0.16318849874015073,0.09843732323497534,0.822565543071161,0.17029998735301502,31
IEMOCAPFour,67,0.5,text,4360,31,0.01221619221411748,0.17747408580077692,0.16525789358665943,0.09144128207117319,0.791743119266055,0.1739695439144944,31
IEMOCAPFour,67,0.5,visual,4264,31,0.011241745880165436,0.17529588065103158,0.16405413477086614,0.09575358498841524,0.7985459662288931,0.16882769640375148,31
IEMOCAPFour,67,0.7,audio,5528,31,0.009679143519212213,0.14047156562139151,0.1307924221021793,0.06332961190491915,0.7498191027496383,0.1324956420100881,31
IEMOCAPFour,67,0.7,visual,5592,31,0.00947845971577525,0.14434149457263,0.13486303485685477,0.06845197640359402,0.7607296137339056,0.14122436190059529,31
IEMOCAPFour,67,0.7,text,5248,31,0.01086347060712486,0.14998791252050644,0.13912444191338158,0.06731979642063379,0.7553353658536586,0.14249910259903223,31
IEMOCAPFour,68,0.1,audio,872,27,0.017093700435815738,0.3032489290456672,0.2861552286098515,0.22743818257004023,0.9461009174311926,0.2847009793390102,27
IEMOCAPFour,68,0.1,text,1000,30,0.017900582699105144,0.27677854482643305,0.25887796212732794,0.2047639898955822,0.934,0.2500835925497382,30
IEMOCAPFour,68,0.1,visual,1144,28,0.016601809657055076,0.24724746501346775,0.23064565535641268,0.17518266383558512,0.9195804195804196,0.22557907397004162,28
IEMOCAPFour,68,0.3,visual,2744,31,0.013030366286494207,0.1926919488706721,0.1796615825841779,0.11610313784331083,0.831997084548105,0.18561563488627544,31
