run,dataset,seed,rate,modality,head,distance_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,0,1,117,0.3068938887654207,0.3623790099707424,0.32970425486564636,0.9914529914529915,0.6258793752313903,0.6423519009725907
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,0,2-3,11,0.30551843074235047,0.14937473291700537,0.06601828336715698,0.6363636363636364,0.2496396450503963,0.14545454545454545
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,1,1,117,0.3806029822136092,0.3421198951605803,0.273779958486557,1,0.7125264860710007,0.7814818145034392
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,1,2-3,11,0.21045434271747415,0.07570702921260487,0.03872296214103699,0.7272727272727273,0.4000101977847465,0.35454545454545455
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,2,1,117,0.32878687783566296,0.3807662603660272,0.3247767984867096,0.9829059829059829,0.5247495069466286,0.5520088717049558
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,2,2-3,11,0.32605480470440606,0.3170792203057896,0.2112956941127777,0.9090909090909091,0.6724781826974626,0.7181818181818181
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,3,1,117,0.25368363399886423,0.15946079074190214,0.13652309775352478,0.9829059829059829,0.3969388400333476,0.3807789716614965
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,3,2-3,11,0.2947759400545196,0.16386975347995758,0.05109933018684387,0.5454545454545454,0.3739935606869166,0.18181818181818182
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,4,1,117,0.3236298240307305,0.26590069370646763,0.18073421716690063,1,0.8139933366116888,0.8468132296302957
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,4,2-3,11,0.2706594060767781,0.1056101538918235,0.11661650240421295,0.7272727272727273,0.36097641144873294,0.33636363636363636
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,5,1,117,0.35794038341468215,0.4427731823430866,0.3376005291938782,1,0.6832904330693862,0.8027843965891891
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,5,2-3,11,0.2186460830271244,0.17912138998508453,0.06537115573883057,0.6363636363636364,0.6506488521026951,0.7363636363636363
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,6,1,117,0.25895350778268444,0.19244834331747812,0.1173291802406311,0.9743589743589743,0.7485119650791595,0.8451347989629696
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,6,2-3,11,0.251646391031417,0.08749317581003363,0.04247439652681351,0.7272727272727273,0.8923059479730765,0.8181818181818182
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,7,1,117,0.2986880178348376,0.3748161272169688,0.243273064494133,0.9914529914529915,0.7834571148279229,0.828455394206417
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,audio,7,2-3,11,0.2453510971231894,0.15704810043627565,0.09358777105808258,0.9090909090909091,0.3356067600208346,0.20909090909090908
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,0,1,118,0.39145270318298014,0.30075486746253605,0.23382305353879929,0.9915254237288136,0.6660145471491312,0.7106555790503946
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,0,2-3,19,0.3998780183886227,0.05565759147468366,0.00929945707321167,0.631578947368421,0.1435376951570586,-0.008771929824561403
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,1,1,118,0.29229635069683446,0.28381037983601376,0.24482034146785736,0.9915254237288136,0.6903685365614214,0.7574090914070973
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,1,2-3,19,0.27023141752732427,0.10378792979999592,0.041321128606796265,0.7368421052631579,0.4647758231142747,0.45087719298245615
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,2,1,118,0.3990862159595146,0.2957619644259497,0.22635199129581451,1,0.7251624685060165,0.7207133179216928
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,2,2-3,19,0.4156850427389145,0.13340720848033302,0.12806984782218933,0.7368421052631579,0.644313627876546,0.7210526315789474
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,3,1,118,0.39584652962699785,0.37403666670828806,0.3559732288122177,0.9915254237288136,0.6295468704939886,0.6424864600338179
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,3,2-3,19,0.41926672427277817,0.06901222977199052,0.034354180097579956,0.5789473684210527,0.30585870299575824,0.23333333333333334
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,4,1,118,0.25859490160088416,0.2373553673121131,0.17915744334459305,0.9915254237288136,0.7893242562876217,0.8453869161745533
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,4,2-3,19,0.1896164330996965,0.08262138421598234,0.03333611786365509,0.5789473684210527,0.4566463834547774,0.2807017543859649
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,5,1,118,0.2515889903435768,0.2361372325537821,0.17452789843082428,0.9830508474576272,0.6909551731240664,0.7624416128902669
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,5,2-3,19,0.23323537683800646,0.10823645638792138,0.06410349905490875,0.6842105263157895,0.333924538145166,0.1912280701754386
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,6,1,118,0.31617211097440984,0.302507412706707,0.21251048147678375,0.9830508474576272,0.7127363710053195,0.818296027667912
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,6,2-3,19,0.3279738390916272,0.1338075403320162,0.06967724859714508,0.8947368421052632,0.7369080956650054,0.6578947368421053
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,7,1,118,0.36092728352710857,0.243879144048413,0.19583849608898163,0.9830508474576272,0.706131719145328,0.7553493366055679
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,text,7,2-3,19,0.3925211064909634,0.1067099449665923,0.04577721655368805,0.7894736842105263,0.4824840667083285,0.3526315789473684
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,0,1,97,0.30344280398921253,0.44598639226451364,0.33577510714530945,1,0.7561640444288725,0.8598779718072797
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,0,2-3,14,0.21320787045572484,0.09154781832226686,0.0656546950340271,0.8571428571428571,0.46192695187335175,0.5692307692307692
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,1,1,97,0.3045359566500506,0.2972324072892211,0.25579676032066345,1,0.7287903065059047,0.7395460761624237
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,1,2-3,14,0.2486882715352944,0.07307267721210207,0.03749784827232361,0.6428571428571429,0.713530576495282,0.5076923076923077
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,2,1,97,0.3928315645640658,0.5079408344841495,0.3941613733768463,1,0.7530907656112834,0.7761808331580055
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,2,2-3,14,0.4146548935345241,0.19118072944028036,0.09462260454893112,0.7142857142857143,0.5810449514859641,0.6395604395604395
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,3,1,97,0.3836969679471144,0.29149793965991627,0.23922938108444214,1,0.7593371220620968,0.774957921312855
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,3,2-3,14,0.3899489782218422,0.017406689269202098,0.01375068724155426,0.6428571428571429,0.13249722848371756,0.2703296703296703
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,4,1,97,0.3046735826226854,0.3074135736360685,0.21735571324825287,1,0.7471986603942317,0.797811908268462
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,4,2-3,14,0.26929542794823647,0.04297489779336112,-0.004624031484127045,0.35714285714285715,0.4131151090932912,0.05054945054945055
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,5,1,97,0.33373530086168307,0.22948654289789422,0.20050382614135742,0.979381443298969,0.6596783780004329,0.7370871028823901
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,5,2-3,14,0.20521194328154838,0.06344781949051789,0.026104135438799858,0.8571428571428571,0.496219870715442,0.37142857142857144
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,6,1,97,0.23552697649244794,0.23388966843101783,0.20193278789520264,1,0.5783168203930332,0.6174521354933726
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,6,2-3,14,0.20763421976672752,0.10445889431451048,0.06957144290208817,0.7857142857142857,0.6777361773314826,0.6175824175824176
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,7,1,97,0.2777237891382778,0.3635740000370544,0.29708725214004517,0.979381443298969,0.7547352822299429,0.7689880075741636
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,visual,7,2-3,14,0.2756850929664714,0.14321648010185786,0.07439277693629265,0.7857142857142857,0.5546754186934421,0.4197802197802198
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,0,1,262,0.302681180954207,0.3395965999589508,0.3005944937467575,0.9809160305343512,0.673400154982855,0.7522228349732486
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,0,2-3,97,0.28322540972497046,0.13668373407623202,0.021236509084701538,0.711340206185567,0.3605435864275368,0.35371081422259626
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,0,4-7,4,0.1002073265844956,-0.03031400591135025,-0.002690613269805908,0.25,-0.9686333198902074,-0.4
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,1,1,262,0.34159672848937167,0.3030455788412622,0.2515663355588913,0.9885496183206107,0.783715008334967,0.8495881946119501
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,1,2-3,97,0.2811981425764634,0.0955007833611105,0.04505482316017151,0.7216494845360825,0.5072112207040347,0.4571454870608037
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,1,4-7,4,0.4312369227409363,0.059818871319293976,0.05560477077960968,1,0.7720369761832614,0.8
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,2,1,262,0.30486795542235595,0.35112201475417454,0.2865145057439804,0.9885496183206107,0.6683268999172187,0.7412273458661491
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,2,2-3,97,0.2665981773248653,0.10906199964973115,0.034864962100982666,0.6391752577319587,0.5389368792549437,0.46709972648853354
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,2,4-7,4,0.3410767763853073,0.05616430193185806,0.01882360875606537,0.5,-0.09572369576563985,0.0
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,3,1,262,0.24360421013072817,0.15992502374787823,0.13674254715442657,0.9923664122137404,0.5767876876118716,0.6730091402213444
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,3,2-3,97,0.22477243121559778,0.028583433325450446,0.012696519494056702,0.6288659793814433,0.21221021616192207,0.15938617715127287
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,3,4-7,4,0.23565350100398064,0.03642022982239723,0.00445159524679184,0.5,-0.22591015094401148,0.0
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,4,1,262,0.33039252126575197,0.2792134131980306,0.22728518396615982,0.9847328244274809,0.832017490884911,0.8771526494031016
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,4,2-3,97,0.2767657276012541,0.06335228051721435,0.029117755591869354,0.6804123711340206,0.4731914265572696,0.45092573111718914
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,4,4-7,4,0.4098092243075371,0.059991516172885895,0.06113216280937195,0.75,0.32938237276976573,0.4
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,5,1,262,0.30977308798851516,0.3937108577264629,0.23934867233037949,0.9618320610687023,0.7224439670269711,0.8641147310128641
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,5,2-3,97,0.26570526220518903,0.12749802824301817,0.05730468034744263,0.7319587628865979,0.46690376606687745,0.45949926362297494
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,5,4-7,4,0.3689338453114033,0.022148877382278442,0.004836618900299072,0.5,-0.6039711049798361,-0.6
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,6,1,262,0.2165838561513113,0.15716391810365304,0.09694882854819298,0.9618320610687023,0.7888377334856282,0.8246493390462636
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,6,2-3,97,0.18597216416419166,0.057166501918097135,0.013817757368087769,0.6494845360824743,0.5085985793370531,0.2984825373448348
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,6,4-7,4,0.125241843983531,0.015789244323968887,0.0016084983944892883,0.75,-0.4215464792569228,-0.4
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,7,1,262,0.2781155594262003,0.34847190226108293,0.22556864470243454,0.9885496183206107,0.7825722991324087,0.8512829905541816
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,7,2-3,97,0.2632406709965357,0.14884080895289933,0.04909869655966759,0.7422680412371134,0.5054532845744824,0.5232747738270566
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,audio,7,4-7,4,0.1901988796889782,0.10984393954277039,0.04809069633483887,0.5,0.3234752568083604,-0.2
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,0,1,265,0.38086581599881064,0.291110487570459,0.2627057135105133,0.9962264150943396,0.6647871072875708,0.7801364474651465
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,0,2-3,89,0.33599358127358253,0.0551209081424756,0.029688119888305664,0.6292134831460674,0.2244459321273513,0.27701736465781407
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,0,4-7,5,0.41537316888570786,0.07522190362215042,0.10560113191604614,0.8,0.06454192790432875,0.0
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,1,1,265,0.27439892014383144,0.2916048769470093,0.20677359402179718,0.9962264150943396,0.7054691232706934,0.7911683152993977
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,1,2-3,89,0.20405572648631054,0.06425597757268488,0.014171808958053589,0.651685393258427,0.4044836911767897,0.3469016002723868
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,1,4-7,5,0.25187128186225893,0.07059637606143951,0.051242828369140625,0.8,0.6714651403245667,0.7
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,2,1,265,0.38011433506068193,0.2644364542626547,0.19188396632671356,0.9962264150943396,0.7487815947605773,0.7972117257122222
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,2,2-3,89,0.3664251522820317,0.052525632501987926,0.016247395426034927,0.6179775280898876,0.3491966385011678,0.33306094654409263
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,2,4-7,5,0.1918475866317749,0.028450825810432435,0.04640422761440277,0.6,0.8402674637858432,0.9
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,3,1,265,0.360837376131764,0.356582182912894,0.2877046763896942,0.9924528301886792,0.6969813457690193,0.7483808148157701
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,3,2-3,89,0.32135254805489033,0.08911146487245399,0.03427889943122864,0.6067415730337079,0.2633182591645567,0.1846782431052094
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,3,4-7,5,0.3110410153865814,0.14093671590089799,0.09233143925666809,1,0.9805661789713207,0.9
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,4,1,265,0.22103705253838649,0.21846598248999075,0.12705044448375702,0.9773584905660377,0.7897445095370134,0.8679258179754704
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,4,2-3,89,0.23322062826391016,0.0859798841345846,0.021236509084701538,0.6067415730337079,0.336037588772315,0.25926115083418455
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,text,4,4-7,5,0.2552277736365795,0.1601278930902481,0.04875485599040985,1,0.6565118602286522,0.8
